Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
INTC,Intel Corporation,31.94,+7.04 +28.28% 349.705M 97.088M 149.181B -- +17.79%,17.67,32.38
OPEN,Opendoor Technologies Inc.,10.00,-0.21 -2.03% 175.259M 324.026M 7.361B -- +366.21%,0.51,10.87
NVDA,NVIDIA Corporation,176.30,+6.01 +3.53% 109.232M 174.199M 4.292T 50.09 +44.47%,86.62,184.48
SNAP,Snap Inc.,8.29,+0.30 +3.69% 97.733M 58.991M 14B -- -20.66%,6.90,13.28
PLUG,Plug Power Inc.,2.0650,+0.0550 +2.74% 89.71M 64.496M 2.385B -- -2.91%,0.69,3.32
BBAI,"BigBear.ai Holdings, Inc.",6.32,+0.30 +4.99% 73.609M 118.252M 2.343B -- +281.01%,1.36,10.36
RGTI,"Rigetti Computing, Inc.",25.23,"+3.24 +14.71% 67.121M 42.854M 8.177B -- +2,598.16%",0.71,25.56
ETNB,"89bio, Inc.",14.99,+6.91 +85.52% 66.535M 1.484M 2.223B -- -2.53%,4.16,15.06
GRAB,Grab Holdings Limited,6.34,+0.24 +3.85% 55.931M 40.12M 25.825B 316.75 +66.67%,3.36,6.50
AAL,American Airlines Group Inc.,12.61,+0.13 +1.04% 56.153M 69.469M 8.32B 15.01 +12.33%,8.50,19.10
TSLA,"Tesla, Inc.",424.97,-0.89 -0.21% 54.356M 91.998M 1.371T 251.46 +74.59%,212.11,488.54
AMD,"Advanced Micro Devices, Inc.",154.66,-4.50 -2.83% 53.936M 55.932M 250.991B 92.61 +1.54%,76.48,186.65
NIO,NIO Inc.,7.38,-0.07 -1.01% 49.733M 75.802M 16.652B -- +37.96%,3.02,7.71
SOUN,"SoundHound AI, Inc.",15.77,+0.65 +4.27% 49.265M 55.151M 6.427B -- +201.80%,4.45,24.98
BMNR,"Bitmine Immersion Technologies, Inc.",61.03,+3.96 +6.94% 45.554M 42.538M 10.589B -- +636.39%,3.92,161.00
QBTS,D-Wave Quantum Inc.,23.81,"+1.27 +5.63% 43.848M 42.089M 8.143B -- +2,247.92%",0.87,23.93
SKX,"Skechers U.S.A., Inc.",63.13,-0.07 -0.11% 41.046M 3.869M 9.487B 14.41 +2.55%,44.50,78.85
PLTR,Palantir Technologies Inc.,175.12,+6.79 +4.04% 40.985M 69.741M 415.45B 564.91 +357.05%,35.71,190.00
CLSK,"CleanSpark, Inc.",13.33,+1.89 +16.52% 39.423M 23.183M 3.747B 15.50 +26.69%,6.45,17.97
MARA,"MARA Holdings, Inc.",18.93,+1.59 +9.17% 38.334M 50.766M 7.013B 10.18 +12.23%,9.81,30.28
QS,QuantumScape Corporation,11.65,+1.39 +13.58% 35.173M 47.434M 6.596B -- +73.02%,3.40,15.03
SOFI,"SoFi Technologies, Inc.",28.00,+0.86 +3.15% 34.099M 72.63M 33.523B 55.99 +231.38%,7.57,28.11
DNN,Denison Mines Corp.,2.5150,-0.0250 -0.98% 35.002M 76.926M 2.265B -- +60.76%,1.08,2.61
F,Ford Motor Company,11.73,+0.07 +0.56% 31.267M 67.013M 46.664B 15.03 +6.78%,8.44,11.99
QUBT,Quantum Computing Inc.,18.52,"+0.81 +4.58% 28.28M 19.093M 2.961B -- +2,373.46%",0.64,27.15
IONQ,"IonQ, Inc.",68.29,+2.85 +4.35% 26.781M 20.844M 20.328B -- +747.67%,7.50,70.43
BTG,B2Gold Corp.,4.3000,-0.0300 -0.69% 25.41M 37.646M 5.689B -- +30.82%,2.20,4.60
BBD,Banco Bradesco S.A.,3.2900,-0.0200 -0.60% 24.557M 34.782M 32.018B 9.40 +20.36%,1.84,3.34
PSLV,Sprott Physical Silver Trust,14.17,+0.08 +0.57% 25.225M 26.024M 7.863B 6.21 +35.87%,9.60,14.56
ONDS,Ondas Holdings Inc.,6.36,+0.26 +4.26% 20.969M 35.327M 2.079B -- +691.18%,0.57,6.86
NOK,Nokia Oyj,4.7750,+0.0750 +1.60% 20.737M 21.806M 25.685B 25.13 +10.59%,3.91,5.48
JOBY,"Joby Aviation, Inc.",14.57,+0.41 +2.90% 20.653M 35.992M 12.472B -- +173.36%,4.78,20.95
NU,Nu Holdings Ltd.,16.03,+0.07 +0.47% 20.537M 62.03M 77.487B 34.12 +7.84%,9.01,16.15
AAPL,Apple Inc.,238.04,-0.95 -0.40% 20.351M 55.329M 3.533T 36.07 +4.42%,169.21,260.10
HOOD,"Robinhood Markets, Inc.",123.47,+4.83 +4.07% 19.856M 45.823M 109.725B 62.68 +420.12%,22.05,123.61
CIFR,Cipher Mining Inc.,11.73,-0.65 -5.29% 19.612M 36.28M 4.611B -- +322.53%,1.86,12.69
AMZN,"Amazon.com, Inc.",232.86,+1.24 +0.54% 18.956M 42.278M 2.483T 35.55 +21.99%,161.38,242.52
UEC,Uranium Energy Corp.,11.86,-0.38 -3.10% 19.56M 13.486M 5.27B -- +130.08%,3.85,13.25
RIVN,"Rivian Automotive, Inc.",14.32,+0.22 +1.52% 18.221M 40.301M 17.382B -- +7.30%,9.50,17.15
SBET,"SharpLink Gaming, Inc.",18.10,+0.98 +5.73% 18.203M 40.695M 3.513B -- +112.94%,2.28,124.12
HIMS,"Hims & Hers Health, Inc.",54.48,+4.13 +8.20% 17.831M 35.692M 12.314B 68.96 +197.58%,15.73,72.98
ACHR,Archer Aviation Inc.,9.20,+0.20 +2.27% 17.18M 33.498M 5.937B -- +195.08%,2.82,13.92
RIOT,"Riot Platforms, Inc.",17.93,+0.31 +1.76% 17.062M 40.283M 6.627B -- +144.04%,6.19,18.04
HBAN,Huntington Bancshares Incorporated,17.84,+0.30 +1.74% 16.84M 31.116M 26.034B 13.32 +17.25%,11.92,18.45
RXRX,"Recursion Pharmaceuticals, Inc.",4.8950,+0.1850 +3.93% 16.603M 23.935M 2.137B -- -32.13%,3.79,12.36
WBD,"Warner Bros. Discovery, Inc.",18.24,+0.25 +1.39% 16.504M 70.686M 45.158B 58.84 +114.17%,7.25,19.60
NVO,Novo Nordisk A/S,61.91,+3.71 +6.37% 16.035M 16.448M 268.275B 15.79 -56.85%,45.05,135.20
TIC,Acuren Corporation,13.14,+2.20 +20.11% 15.936M 2.35M 2.636B -- -8.83%,8.76,14.28
ABEV,Ambev S.A.,2.3300,-0.0300 -1.28% 15.927M 32.441M 36.33B 13.71 -1.26%,1.76,2.64
SMR,NuScale Power Corporation,39.93,+3.80 +10.51% 15.935M 13.346M 5.346B -- +275.96%,9.20,53.50
PFE,Pfizer Inc.,24.19,+0.14 +0.56% 15.833M 42.018M 137.509B 12.80 -18.91%,20.92,30.43
JD,"JD.com, Inc.",34.94,-0.30 -0.84% 15.776M 12.161M 49.552B 9.73 +22.62%,28.17,47.82
KEY,KeyCorp,19.08,+0.37 +1.95% 15.761M 26.829M 20.916B -- +7.90%,12.73,20.04
WULF,TeraWulf Inc.,11.07,-0.28 -2.42% 15.642M 53.834M 4.518B -- +154.48%,2.06,11.63
VALE,Vale S.A.,10.86,-0.02 -0.22% 15.582M 39.636M 46.344B 8.90 +1.12%,8.06,12.05
GOOGL,Alphabet Inc.,250.38,+0.85 +0.34% 15.105M 39.178M 3.03T 26.72 +53.90%,140.53,253.99
ITUB,Itaú Unibanco Holding S.A.,7.24,-0.03 -0.35% 15.016M 28.871M 73.102B 9.66 +19.00%,4.42,7.36
BAC,Bank of America Corporation,51.97,+0.57 +1.12% 14.976M 38.813M 384.976B 15.24 +25.76%,33.07,51.99
MU,"Micron Technology, Inc.",169.74,+9.75 +6.10% 14.946M 22.369M 189.966B 30.64 +79.26%,61.54,169.84
OKLO,Oklo Inc.,107.75,"+12.46 +13.07% 14.607M 16.7M 15.904B -- +1,341.60%",6.42,107.89
IREN,IREN Limited,36.68,-1.22 -3.22% 14.602M 29.908M 9.976B 94.05 +386.52%,5.13,38.50
ORCL,Oracle Corporation,299.83,-1.58 -0.53% 14.411M 17.545M 852.017B 69.40 +79.85%,118.86,345.72
CMCSA,Comcast Corporation,31.69,-0.74 -2.27% 14.14M 21.382M 117.024B 5.26 -19.47%,31.03,45.31
