Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
ONDS,Ondas Holdings Inc.,7.74,+1.18 +18.07% 106.424M 59.931M 2.854B -- +820.06%,0.57,11.70
NVDA,NVIDIA Corporation,190.26,+3.40 +1.82% 103.238M 184.081M 4.632T 55.02 +31.61%,86.62,212.19
OPEN,Opendoor Technologies Inc.,8.42,-0.14 -1.64% 91.628M 263.557M 6.507B -- +415.66%,0.51,10.87
TSLA,"Tesla, Inc.",409.36,+7.37 +1.83% 66.969M 87.549M 1.361T 303.37 +25.34%,214.25,488.54
SOFI,"SoFi Technologies, Inc.",28.97,+0.58 +2.04% 49.158M 73.325M 34.935B 57.09 +108.29%,8.60,32.73
BBAI,"BigBear.ai Holdings, Inc.",6.26,-0.08 -1.26% 48.561M 110.73M 2.733B -- +272.94%,1.68,10.36
RGTI,"Rigetti Computing, Inc.",26.40,"+1.20 +4.76% 46.708M 80.836M 8.713B -- +1,687.23%",1.28,58.15
PLUG,Plug Power Inc.,2.42,-0.07 -2.77% 44.028M 116.081M 3.369B -- +33.16%,0.69,4.58
NU,Nu Holdings Ltd.,16.02,+0.43 +2.76% 41.622M 44.687M 77.414B 34.91 +10.88%,9.01,16.55
INTC,Intel Corporation,36.03,+0.12 +0.32% 40.475M 123.564M 171.839B 841.35 +47.47%,17.67,42.48
PLTR,Palantir Technologies Inc.,176.54,+4.40 +2.56% 40.458M 62.838M 420.779B 442.31 +161.73%,58.85,207.52
LNW,"Light & Wonder, Inc.",86.22,0.00 0.00% 38.855M 1.954M 7.029B 19.49 -8.19%,69.56,113.95
CRWV,"CoreWeave, Inc.",79.85,+1.51 +1.93% 37.741M 30.085M 39.534B -- +95.85%,33.52,187.00
PFE,Pfizer Inc.,25.45,-0.34 -1.33% 34.971M 63.612M 144.689B 14.83 +3.99%,20.92,27.69
IREN,IREN Limited,49.90,+1.25 +2.57% 34.343M 39.587M 14.145B 28.85 +355.95%,5.13,76.87
ACHR,Archer Aviation Inc.,8.20,+0.24 +3.02% 34.015M 52.701M 5.341B -- +93.67%,4.05,14.62
QBTS,D-Wave Quantum Inc.,24.75,"+1.36 +5.81% 33.699M 52.601M 8.666B -- +1,326.22%",1.42,46.75
CIFR,Cipher Mining Inc.,15.73,+0.80 +5.39% 32.368M 48.665M 6.217B -- +125.19%,1.86,25.52
NIO,NIO Inc.,6.28,+0.04 +0.64% 30.507M 78.973M 15.821B -- +38.98%,3.02,8.02
AMD,"Advanced Micro Devices, Inc.",252.66,+4.70 +1.90% 29.38M 58.18M 411.341B 124.36 +83.81%,76.48,267.08
CRCL,Circle Internet Group,83.61,+1.27 +1.54% 26.86M 11.74M 20.934B -- -1.07%,64.00,298.99
DNN,Denison Mines Corp.,2.53,+0.04 +1.43% 26.051M 84.662M 2.266B -- +19.14%,1.08,3.42
F,Ford Motor Company,13.30,+0.02 +0.19% 25.629M 89.27M 53.013B 11.37 +20.62%,8.44,13.97
APLD,Applied Digital Corporation,24.58,+1.52 +6.61% 24.912M 30.845M 6.876B -- +218.95%,3.31,40.20
MTSR,"Metsera, Inc.",70.50,-0.25 -0.35% 24.518M 3.175M 7.419B -- +166.04%,12.30,83.86
SNAP,Snap Inc.,8.63,+0.05 +0.58% 24.174M 92.93M 14.838B -- -19.06%,6.90,13.28
BMNR,"Bitmine Immersion Technologies, Inc.",35.34,-1.23 -3.36% 23.587M 44.659M 10.063B -- +371.87%,3.92,161.00
MARA,"MARA Holdings, Inc.",12.61,-0.17 -1.33% 23.38M 56.532M 4.769B 6.89 -39.35%,9.81,30.28
WULF,TeraWulf Inc.,11.88,+0.19 +1.67% 23.367M 46.635M 4.972B -- +62.67%,2.06,17.05
AAPL,Apple Inc.,275.26,+2.30 +0.84% 23.349M 50.521M 4.067T 36.90 +21.31%,169.21,277.32
RIVN,"Rivian Automotive, Inc.",15.75,-0.64 -3.90% 23.291M 50.403M 19.308B -- +62.92%,9.55,18.13
CLSK,"CleanSpark, Inc.",11.61,-0.37 -3.09% 22.867M 30.387M 3.459B 14.31 -14.61%,6.45,23.61
MU,"Micron Technology, Inc.",254.45,+17.50 +7.39% 21.348M 23.951M 285.611B 31.77 +145.95%,61.54,257.07
HOOD,"Robinhood Markets, Inc.",125.93,+4.40 +3.62% 21.069M 36.216M 113.236B 55.18 +276.02%,29.66,153.86
ORCL,Oracle Corporation,225.39,+7.82 +3.59% 21.061M 24.156M 642.54B 54.68 +18.41%,118.86,345.72
SMCI,"Super Micro Computer, Inc.",37.26,+2.17 +6.17% 20.602M 29.096M 22.24B 30.88 +88.86%,17.25,66.44
GRAB,Grab Holdings Limited,5.49,-0.05 -0.99% 20.558M 50.529M 22.417B 292.68 +17.12%,3.36,6.62
CMCSA,Comcast Corporation,27.52,-0.45 -1.61% 20.535M 27.289M 100.28B 4.56 -34.77%,25.75,44.03
NBIS,Nebius Group N.V.,87.15,-1.48 -1.67% 20.26M 18.756M 21.887B 225.39 +403.58%,17.39,141.10
