Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,164.97,+0.05,+0.03%,102.516M,211.8M,4.023T,53.21,+28.40%
NIO,NIO Inc.,4.0794,+0.1794,+4.60%,94.241M,36.03M,8.754B,--,-15.77%
MARA,"MARA Holdings, Inc.",19.27,+0.13,+0.68%,71.736M,45.172M,6.782B,--,-22.13%
TSLA,"Tesla, Inc.",314.58,+1.07,+0.34%,58.117M,112.275M,1.013T,178.74,+24.09%
LCID,"Lucid Group, Inc.",2.2550,-0.0350,-1.53%,56.478M,128.227M,6.878B,--,-36.57%
NU,Nu Holdings Ltd.,13.03,+0.20,+1.60%,55.115M,61.229M,62.886B,29.62,-3.82%
PLTR,Palantir Technologies Inc.,147.59,+5.49,+3.86%,54.709M,90.537M,348.3B,641.70,+395.64%
SOFI,"SoFi Technologies, Inc.",21.31,+0.10,+0.50%,52.305M,68.306M,23.55B,49.55,+189.22%
HBAN,Huntington Bancshares Incorporated,17.04,-0.35,-2.01%,49.948M,24.059M,24.824B,13.11,+26.66%
F,Ford Motor Company,11.84,+0.06,+0.51%,45.329M,99.849M,47.082B,9.47,-17.22%
RIOT,"Riot Platforms, Inc.",12.47,+0.05,+0.36%,43.855M,36.009M,4.453B,--,+8.19%
AAL,American Airlines Group Inc.,12.31,+0.09,+0.78%,43.256M,59.966M,8.122B,12.31,+14.96%
KVUE,Kenvue Inc.,21.85,+0.51,+2.41%,41.039M,19.049M,41.96B,39.03,+17.84%
WBD,"Warner Bros. Discovery, Inc.",12.02,+0.30,+2.51%,39.089M,47.466M,29.751B,--,+58.09%
HOOD,"Robinhood Markets, Inc.",99.54,+1.20,+1.22%,37.558M,43.515M,87.836B,56.88,+310.78%
CLSK,"CleanSpark, Inc.",12.53,-0.12,-0.96%,35.566M,27.639M,3.52B,--,-30.87%
SOUN,"SoundHound AI, Inc.",11.23,-0.34,-2.94%,34.13M,34.645M,4.512B,--,+105.51%
QS,QuantumScape Corporation,9.98,+0.76,+8.18%,33.677M,23.756M,5.581B,--,+7.08%
AMD,"Advanced Micro Devices, Inc.",146.54,+0.12,+0.09%,33.395M,45.148M,237.608B,106.19,-18.58%
IREN,IREN Limited,17.22,+0.99,+6.10%,33.3M,19.901M,4.165B,--,+35.31%
ABEV,Ambev S.A.,2.3500,0.0000,0.00%,32.384M,32.864M,36.937B,14.69,+9.81%
INTC,Intel Corporation,23.35,-0.08,-0.34%,30.116M,81.597M,101.853B,--,-32.01%
CIFR,Cipher Mining Inc.,5.99,+0.12,+2.07%,29.969M,27.362M,2.224B,--,-1.84%
PSLV,Sprott Physical Silver Trust,12.94,-0.01,-0.08%,25.781M,30.889M,6.818B,4.26,+23.22%
HIMS,"Hims & Hers Health, Inc.",51.11,+3.22,+6.73%,25.048M,46.679M,11.441B,75.17,+109.68%
BMNR,"Bitmine Immersion Technologies, Inc.",44.47,+3.85,+9.49%,24.969M,12.148M,2.295B,--,+424.13%
SNAP,Snap Inc.,9.51,+0.40,+4.45%,24.007M,37.752M,16.007B,--,-43.80%
MU,"Micron Technology, Inc.",119.55,-4.98,-4.00%,23.749M,21.296M,133.792B,21.54,-4.84%
KHC,The Kraft Heinz Company,27.73,+0.59,+2.16%,23.725M,13.102M,32.814B,12.66,-15.95%
OSCR,"Oscar Health, Inc.",14.90,+0.52,+3.62%,23.608M,16.541M,3.795B,37.25,-10.12%
AAPL,Apple Inc.,209.21,-1.95,-0.92%,23.375M,53.871M,3.125T,32.59,-9.91%
STLA,Stellantis N.V.,9.91,-0.15,-1.54%,23.231M,16.554M,30.044B,4.59,-50.22%
ACHR,Archer Aviation Inc.,10.55,+0.04,+0.38%,22.955M,35.001M,5.792B,--,+108.12%
AMZN,"Amazon.com, Inc.",225.24,+0.22,+0.10%,22.235M,43.791M,2.391T,36.68,+16.76%
RKLB,Rocket Lab Corporation,41.77,+2.74,+7.02%,22.142M,20.642M,19.274B,--,+582.34%
RIG,Transocean Ltd.,2.7950,-0.0550,-1.93%,22.029M,40.686M,2.469B,--,-48.37%
GOOGL,Alphabet Inc.,181.60,+1.41,+0.78%,21.792M,40.402M,2.21T,20.27,-3.40%
QBTS,D-Wave Quantum Inc.,15.64,+0.83,+5.62%,21.727M,66.513M,4.888B,--,"+1,013.53%"
BAC,Bank of America Corporation,46.96,+0.23,+0.49%,20.901M,41.103M,353.697B,14.02,+11.55%
VALE,Vale S.A.,9.90,-0.24,-2.42%,19.43M,35.143M,42.24B,7.17,-11.90%
NBIS,Nebius Group N.V.,51.54,+7.24,+16.35%,19.374M,12.028M,12.358B,--,+121.50%
RGTI,"Rigetti Computing, Inc.",12.80,+0.62,+5.09%,18.938M,48.586M,4.131B,--,+923.53%
BTG,B2Gold Corp.,3.5000,+0.0100,+0.29%,20.056M,51.345M,4.638B,--,+15.18%
AG,First Majestic Silver Corp.,9.24,-0.03,-0.29%,18.699M,24.511M,4.49B,--,+43.50%
CORZ,"Core Scientific, Inc.",13.47,+0.96,+7.71%,18.362M,16.953M,4.092B,--,+13.62%
BBD,Banco Bradesco S.A.,2.9142,+0.0142,+0.49%,18.192M,40.866M,28.563B,9.71,+25.00%
RIVN,"Rivian Automotive, Inc.",12.67,-0.36,-2.73%,18.133M,29.596M,15.184B,--,-25.54%
SMCI,"Super Micro Computer, Inc.",50.21,+0.97,+1.97%,18.009M,45.94M,29.966B,27.29,-45.15%
JOBY,"Joby Aviation, Inc.",12.41,+0.38,+3.11%,17.973M,22.236M,10.447B,--,+73.24%
GRAB,Grab Holdings Limited,5.01,+0.01,+0.20%,17.837M,34.83M,20.661B,501.00,+40.85%
ITUB,Itaú Unibanco Holding S.A.,6.27,-0.03,-0.42%,17.273M,29.609M,64.327B,8.96,+12.50%
MP,MP Materials Corp.,48.09,+2.98,+6.61%,17.184M,11.38M,7.861B,--,+194.84%
PROK,ProKidney Corp.,3.3401,-1.1999,-26.37%,17.147M,11.828M,1.333B,--,+89.96%
ERIC,Telefonaktiebolaget LM Ericsson (publ),7.97,-0.07,-0.93%,17.018M,22.885M,26.915B,159.30,+23.88%
APLD,Applied Digital Corporation,9.55,+0.36,+3.98%,16.551M,52.982M,2.148B,--,+35.80%
HL,Hecla Mining Company,6.18,-0.14,-2.29%,16.563M,22.035M,3.906B,51.46,+4.98%
PCG,PG&E Corporation,13.34,-0.09,-0.63%,16.316M,22.665M,29.306B,12.23,-24.05%
T,AT&T Inc.,27.15,+0.18,+0.67%,15.699M,32.472M,195.501B,16.66,+45.16%
OKLO,Oklo Inc.,60.64,+4.56,+8.13%,15.413M,18.877M,8.937B,--,+543.12%
PFE,Pfizer Inc.,25.48,-0.17,-0.66%,15.277M,42.934M,144.864B,18.46,-11.86%
RXRX,"Recursion Pharmaceuticals, Inc.",5.22,-0.07,-1.23%,14.814M,25.079M,2.261B,--,-35.61%
GGB,Gerdau S.A.,2.9700,-0.0100,-0.34%,14.638M,13.496M,5.816B,10.61,-12.09%
CLF,Cleveland-Cliffs Inc.,9.58,-0.29,-2.95%,14.037M,31.412M,4.738B,--,-39.11%
CNH,CNH Industrial N.V.,13.30,-0.16,-1.23%,13.898M,19.225M,16.611B,16.62,+31.45%
GOOG,Alphabet Inc.,182.74,+1.43,+0.79%,13.865M,27.017M,2.21T,20.40,-3.66%
AGNC,AGNC Investment Corp.,9.32,-0.07,-0.80%,13.816M,27.358M,9.515B,25.90,-9.35%
SMR,NuScale Power Corporation,41.33,+3.85,+10.26%,13.533M,12.249M,5.512B,--,+137.07%
AUR,"Aurora Innovation, Inc.",5.69,+0.46,+8.80%,13.241M,23.462M,10.065B,--,+13.45%
MSTR,Strategy Incorporated,446.23,+11.65,+2.68%,13.132M,12.966M,125.371B,--,+169.71%
QUBT,Quantum Computing Inc.,18.89,+1.46,+8.37%,13.078M,27.221M,2.983B,--,"+2,393.56%"
BCS,Barclays PLC,18.67,+0.27,+1.47%,12.608M,14.366M,66.984B,9.15,+56.73%
FAST,Fastenal Company,44.68,+1.41,+3.26%,12.327M,5.852M,51.259B,44.68,+27.58%
VRNA,Verona Pharma plc,104.74,-0.10,-0.09%,11.39M,2.786M,8.9B,--,+387.58%
IONQ,"IonQ, Inc.",42.35,+0.54,+1.30%,11.183M,22.04M,12.024B,--,+367.15%
KEY,KeyCorp,18.32,-0.01,-0.05%,11.047M,13.49M,20.078B,--,+18.26%
FSM,Fortuna Mining Corp.,6.61,-0.30,-4.31%,10.984M,16.036M,2.037B,12.72,+31.12%
HAL,Halliburton Company,22.12,-0.95,-4.14%,10.656M,15.29M,19.021B,9.26,-34.49%
SAN,"Banco Santander, S.A.",8.53,+0.10,+1.25%,10.637M,6.122M,127.01B,8.98,+75.99%
CCL,Carnival Corporation & plc,29.34,+0.68,+2.39%,10.501M,24.866M,39.788B,15.36,+56.44%
NOK,Nokia Oyj,4.9627,-0.0173,-0.35%,10.295M,17.154M,26.834B,19.09,+27.04%
CDE,"Coeur Mining, Inc.",9.55,-0.04,-0.42%,10.268M,15.343M,6.109B,32.93,+46.19%
RUN,Sunrun Inc.,10.27,+0.16,+1.53%,9.856M,23.539M,2.344B,--,-35.44%
WFC,Wells Fargo & Company,83.30,+0.75,+0.91%,9.706M,16.723M,271.252B,14.99,+42.99%
COIN,"Coinbase Global, Inc.",395.05,+7.99,+2.06%,9.594M,13.294M,100.621B,74.54,+59.38%
BABA,Alibaba Group Holding Limited,108.28,+1.56,+1.46%,9.394M,13.808M,259.243B,14.51,+36.80%
CNC,Centene Corporation,30.81,-0.64,-2.02%,9.060M,8.187M,15.324B,4.54,-52.36%
VZ,Verizon Communications Inc.,41.63,+0.01,+0.02%,9.007M,17.648M,175.564B,9.91,+2.03%
CMCSA,Comcast Corporation,35.42,+0.42,+1.21%,8.976M,21.054M,132.229B,8.72,-10.14%
UBER,"Uber Technologies, Inc.",94.07,-1.32,-1.38%,8.904M,21.801M,196.723B,16.48,+31.95%
AES,The AES Corporation,12.52,-0.07,-0.56%,8.897M,18.107M,8.913B,6.80,-25.94%
ASTS,"AST SpaceMobile, Inc.",47.79,+2.21,+4.85%,8.776M,12.951M,16.172B,--,+238.13%
HLN,Haleon plc,9.91,-0.05,-0.45%,8.725M,15.892M,45.245B,23.06,+13.44%
AVTR,"Avantor, Inc.",13.30,-0.28,-2.10%,8.556M,12.643M,9.06B,12.78,-34.77%
AMCR,Amcor plc,9.61,-0.05,-0.47%,8.739M,34.783M,22.031B,17.17,-1.83%
INFY,Infosys Limited,18.00,-0.19,-1.07%,8.488M,11.286M,76.274B,23.68,-10.44%
PYPL,"PayPal Holdings, Inc.",73.64,+2.28,+3.19%,8.464M,9.573M,71.608B,16.55,+18.01%
