Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,176.55,-4.38 -2.42% 139.959M 191.055M 4.298T 45.49 +34.77%,86.62,212.19
BBAI,"BigBear.ai Holdings, Inc.",6.57,-0.17 -2.60% 124.273M 124.773M 2.866B -- +167.46%,2.36,10.36
PLUG,Plug Power Inc.,2.43,+0.07 +2.87% 94.824M 137.179M 3.378B -- -2.88%,0.69,4.58
RIVN,"Rivian Automotive, Inc.",18.66,+2.23 +13.54% 87.739M 47.962M 22.869B -- +14.34%,10.36,18.60
TSLA,"Tesla, Inc.",451.92,+5.05 +1.13% 74.133M 86.31M 1.503T 311.53 +2.44%,214.25,488.54
ONDS,Ondas Holdings Inc.,9.35,+0.32 +3.60% 70.217M 79.269M 3.482B -- +544.29%,0.57,11.70
AVGO,Broadcom Inc.,360.32,-46.05 -11.33% 67.099M 23.078M 1.702T 106.08 +80.77%,138.10,414.61
FRMI,Fermi Inc.,10.71,-4.54 -29.77% 55.67M 5.787M 6.576B -- -53.12%,12.88,36.99
INTC,Intel Corporation,38.17,-1.33 -3.38% 52.231M 116.218M 182.095B 905.76 +94.25%,17.67,44.02
ORCL,Oracle Corporation,190.24,-8.61 -4.33% 44.479M 25.94M 542.349B 41.87 +14.68%,118.86,345.72
K,Kellanova,83.44,-0.01 -0.01% 42.706M 3.433M 29.031B 22.81 +3.57%,76.48,83.65
DNN,Denison Mines Corp.,2.61,-0.15 -5.43% 40.343M 83.141M 2.342B -- +32.69%,1.08,3.42
SOFI,"SoFi Technologies, Inc.",27.25,+0.18 +0.68% 38.786M 73.404M 34.354B 49.97 +66.58%,8.60,32.73
WULF,TeraWulf Inc.,14.96,-0.87 -5.50% 36.962M 41.238M 6.263B -- +124.86%,2.06,17.05
OPEN,Opendoor Technologies Inc.,6.77,-0.28 -3.97% 36.612M 159.389M 6.457B -- +267.19%,0.51,10.87
BMNR,"Bitmine Immersion Technologies, Inc.",35.64,-2.74 -7.14% 34.452M 46.711M 15.177B 3.02 +395.23%,3.92,161.00
F,Ford Motor Company,13.74,+0.11 +0.84% 34.238M 92.678M 54.767B 11.46 +31.18%,8.44,13.97
PFE,Pfizer Inc.,25.82,+0.02 +0.08% 33.615M 68.099M 146.807B 14.98 +0.86%,20.92,27.69
VALE,Vale S.A.,12.70,+0.09 +0.68% 33.613M 34.057M 54.364B 10.07 +43.52%,8.06,13.62
PLTR,Palantir Technologies Inc.,183.78,-3.76 -2.00% 32.63M 51.839M 438.028B 435.25 +146.54%,63.40,207.52
MARA,"MARA Holdings, Inc.",11.78,-0.06 -0.49% 31.981M 53.23M 4.456B 5.61 -47.91%,9.71,25.58
ACHR,Archer Aviation Inc.,8.45,-0.11 -1.28% 30.533M 60.492M 6.204B -- +2.03%,5.48,14.62
NFLX,"Netflix, Inc.",95.61,+1.53 +1.62% 30.432M 42.256M 405.152B 38.75 +2.40%,82.11,134.12
AAL,American Airlines Group Inc.,15.10,+0.14 +0.97% 30.371M 65.186M 9.971B 15.53 -11.58%,8.50,19.10
CLSK,"CleanSpark, Inc.",14.81,-0.01 -0.10% 28.459M 36.199M 3.958B 12.97 +23.29%,6.45,23.61
CRWV,"CoreWeave, Inc.",79.88,-7.50 -8.58% 27.829M 29.662M 39.806B -- +118.45%,33.52,187.00
CVE,Cenovus Energy Inc.,17.97,+0.25 +1.40% 27.681M 15.56M 33.895B 14.38 +16.20%,10.23,18.75
IREN,IREN Limited,41.86,-2.08 -4.73% 27.444M 42.046M 12.083B 22.09 +235.16%,5.13,76.87
RKLB,Rocket Lab Corporation,63.86,+0.33 +0.52% 26.22M 22.133M 34.111B -- +160.16%,14.71,73.97
KVUE,Kenvue Inc.,17.35,+0.03 +0.17% 25.843M 41.211M 33.296B 23.16 -22.02%,14.02,25.17
AMD,"Advanced Micro Devices, Inc.",211.32,-10.10 -4.56% 25.01M 56.939M 344.046B 115.93 +74.48%,76.48,267.08
HOOD,"Robinhood Markets, Inc.",120.86,-2.52 -2.04% 24.983M 32.509M 108.676B 56.74 +206.92%,29.66,153.86
QBTS,D-Wave Quantum Inc.,27.14,-0.84 -3.00% 24.492M 52.999M 9.69B -- +459.60%,3.71,46.75
PL,Planet Labs PBC,18.83,+1.36 +7.78% 24.043M 11.296M 5.798B -- +335.66%,2.79,17.98
NU,Nu Holdings Ltd.,16.98,+0.16 +0.92% 23.861M 39.57M 82.254B 32.35 +40.87%,9.01,17.84
SNAP,Snap Inc.,7.45,-0.18 -2.42% 23.81M 83.487M 12.818B -- -32.45%,6.90,13.28
CIFR,Cipher Mining Inc.,17.92,-0.96 -5.11% 23.687M 50.324M 7.078B -- +207.99%,1.86,25.52
RGTI,"Rigetti Computing, Inc.",26.70,-0.17 -0.65% 23.412M 81.712M 8.813B -- +275.42%,5.95,58.15
BTG,B2Gold Corp.,4.64,-0.04 -0.96% 23.29M 48.268M 6.193B 30.01 +78.63%,2.20,5.94
BAC,Bank of America Corporation,55.08,+0.52 +0.96% 22.875M 35.645M 550.203B 14.77 +19.47%,33.07,54.83
BBD,Banco Bradesco S.A.,3.45,+0.04 +1.17% 22.777M 49.11M 36.659B 9.10 +68.81%,1.84,3.77
GOOGL,Alphabet Inc.,309.70,-2.73 -0.87% 22.766M 36.84M 3.751T 31.59 +64.59%,140.53,328.83
WBD,"Warner Bros. Discovery, Inc.",29.91,+0.42 +1.42% 22.653M 47.575M 74.129B 152.12 +144.32%,7.52,29.81
SOUN,"SoundHound AI, Inc.",11.94,-0.09 -0.75% 21.765M 45.51M 5.016B -- -28.86%,6.52,24.98
T,AT&T Inc.,24.56,+0.26 +1.05% 21.749M 49.163M 175.578B 7.92 +2.84%,21.38,29.79
ABEV,Ambev S.A.,2.55,+0.05 +1.80% 21.711M 40.942M 39.683B 13.33 +16.82%,1.76,2.64
AMZN,"Amazon.com, Inc.",226.88,-3.40 -1.48% 21.623M 48.143M 2.425T 32.75 +1.24%,161.38,258.60
NIO,NIO Inc.,5.11,-0.02 -0.30% 21.519M 63.751M 12.933B -- +13.75%,3.02,8.02
GRAB,Grab Holdings Limited,5.20,+0.03 +0.48% 21.119M 54.439M 21.273B 257.84 +0.97%,3.36,6.62
AG,First Majestic Silver Corp.,15.97,-0.84 -5.03% 21.05M 20.655M 7.829B 98.98 +178.77%,5.09,17.20
AAPL,Apple Inc.,278.21,+0.18 +0.06% 20.776M 49.115M 4.129T 37.37 +12.05%,169.21,288.62
IBRX,"ImmunityBio, Inc.",2.46,+0.27 +12.53% 20.457M 10.115M 2.428B -- -23.69%,1.83,4.27
SMR,NuScale Power Corporation,19.13,-2.09 -9.85% 20.118M 24.011M 5.411B -- +0.43%,11.08,57.42
RIG,Transocean Ltd.,4.15,-0.13 -3.15% 19.996M 48.832M 4.566B -- +10.88%,1.97,4.56
NOK,Nokia Oyj,6.26,-0.10 -1.49% 19.225M 48.261M 34.742B 33.69 +41.96%,4.00,8.19
CMG,"Chipotle Mexican Grill, Inc.",36.22,+1.35 +3.86% 18.99M 22.461M 48.56B 30.06 -46.01%,29.75,66.43
HL,Hecla Mining Company,18.82,-0.53 -2.76% 18.658M 21.881M 12.608B 55.53 +258.33%,4.46,19.68
MU,"Micron Technology, Inc.",242.50,-15.96 -6.18% 18.074M 25.673M 272.897B 34.74 +152.16%,61.54,264.75
HPE,Hewlett Packard Enterprise Company,23.94,-0.60 -2.46% 17.963M 31.819M 31.583B -- +12.41%,11.97,26.44
CDE,"Coeur Mining, Inc.",17.23,-0.25 -1.43% 17.651M 17.431M 11.065B 21.64 +166.46%,4.58,23.62
APLD,Applied Digital Corporation,29.52,-1.24 -4.02% 17.584M 30.377M 8.245B -- +245.62%,3.31,40.20
PSLV,Sprott Physical Silver Trust,20.36,-0.65 -3.07% 17.473M 27.822M 11.83B -- +105.38%,9.60,21.27
CMCSA,Comcast Corporation,27.40,-0.20 -0.74% 16.501M 31.266M 101.148B 4.58 -30.86%,25.75,40.20
PCG,PG&E Corporation,15.24,+0.41 +2.80% 16.254M 23.672M 33.507B 12.69 -24.91%,12.97,20.43
EOSE,"Eos Energy Enterprises, Inc.",15.52,-0.92 -5.57% 16.093M 24.193M 5.032B -- +383.53%,3.07,19.86
ASTS,"AST SpaceMobile, Inc.",77.61,-7.14 -8.43% 15.869M 13.113M 28.514B -- +260.95%,17.50,102.79
AKRO,"Akero Therapeutics, Inc.",54.65,0.00 0.00% 15.308M 2.607M 4.499B -- +89.17%,21.34,58.40
LULU,lululemon athletica inc.,207.38,+20.38 +10.90% 15.03M 4.08M 24.855B 12.74 -52.25%,159.25,423.32
SMCI,"Super Micro Computer, Inc.",32.90,-1.12 -3.29% 14.057M 28.392M 19.64B 27.76 -6.67%,25.71,66.44
HBAN,Huntington Bancshares Incorporated,17.73,-0.18 -1.03% 14.014M 31.475M 27.913B 12.28 +4.31%,11.92,18.03
JOBY,"Joby Aviation, Inc.",15.26,-0.31 -1.96% 13.927M 38.362M 13.909B -- +100.00%,4.96,20.95
RIOT,"Riot Platforms, Inc.",15.53,-0.22 -1.40% 13.614M 27.157M 5.774B 38.71 +21.25%,6.19,23.94
EXK,Endeavour Silver Corp.,8.97,-0.44 -4.73% 13.566M 15.31M 2.637B -- +140.05%,2.95,10.37
PBR,Petróleo Brasileiro S.A. - Petrobras,12.23,+0.08 +0.62% 13.51M 22.234M 78.782B 5.31 -10.73%,11.03,14.98
GOOG,Alphabet Inc.,310.92,-2.78 -0.88% 13.258M 23.592M 3.753T 31.59 +63.91%,142.66,328.67
QUBT,Quantum Computing Inc.,12.69,-0.14 -1.09% 13.169M 38.914M 2.844B -- +91.35%,4.37,27.15
RXRX,"Recursion Pharmaceuticals, Inc.",4.39,-0.19 -4.15% 13.028M 43.348M 2.288B -- -34.10%,3.79,12.36
NCLH,Norwegian Cruise Line Holdings Ltd.,20.80,+0.25 +1.19% 12.747M 15.873M 9.467B 13.77 -23.32%,14.21,29.29
VZ,Verizon Communications Inc.,40.67,+0.45 +1.12% 12.7M 27.386M 171.482B 8.51 -4.87%,37.59,47.36
BE,Bloom Energy Corporation,97.43,"-11.56 -10.61% 12.587M 15.199M 23.043B 1,536.51 +325.91%",15.15,147.86
LUV,Southwest Airlines Co.,41.30,+0.55 +1.36% 12.386M 9.574M 21.667B 59.89 +23.38%,23.82,41.14
PATH,UiPath Inc.,17.54,-0.49 -2.72% 12.227M 25.639M 9.38B 44.45 +28.69%,9.38,19.84
NGD,New Gold Inc.,8.38,-0.17 -2.00% 12.426M 20.885M 6.634B 24.73 +208.66%,2.43,8.77
MSFT,Microsoft Corporation,478.84,-4.63 -0.96% 11.979M 22.457M 3.56T 34.04 +8.09%,344.79,555.45
ITUB,Itaú Unibanco Holding S.A.,7.30,+0.03 +0.41% 11.902M 24.933M 78.205B 9.65 +51.75%,4.42,8.13
MRVL,"Marvell Technology, Inc.",85.27,-4.16 -4.65% 11.884M 20.558M 73.481B 32.53 -25.95%,47.09,127.48
CLF,Cleveland-Cliffs Inc.,12.84,-0.57 -4.29% 11.729M 27.339M 7.306B -- +31.34%,5.63,16.70
FCX,Freeport-McMoRan Inc.,47.55,-0.56 -1.16% 11.667M 19.403M 68.271B 32.49 +15.68%,27.66,49.12
B,Barrick Mining Corporation,43.28,+0.13 +0.30% 11.481M 21.138M 74.037B 20.05 +157.15%,15.11,43.94
SPR,"Spirit AeroSystems Holdings, Inc.",39.50,+0.09 +0.23% 11.352M 1.55M 4.642B -- +19.81%,27.00,42.33
TSM,Taiwan Semiconductor Manufacturing Company Limited,294.05,-10.80 -3.54% 11.275M 13.073M 1.526T 24.83 +51.67%,134.25,313.98
KEY,KeyCorp,20.57,-0.12 -0.58% 11.252M 21.776M 22.561B 23.73 +14.12%,12.73,20.82
PINS,"Pinterest, Inc.",26.14,-0.74 -2.75% 11.165M 13.256M 17.777B 9.65 -12.30%,23.68,40.90
CRCL,Circle Internet Group,83.93,-4.64 -5.23% 11.054M 13.969M 21.373B -- +6.42%,64.00,298.99
NBIS,Nebius Group N.V.,90.57,-3.71 -3.94% 11.022M 19.308M 22.824B 190.05 +206.60%,18.31,141.10
ET,Energy Transfer LP,16.62,+0.21 +1.25% 10.806M 14.384M 57.046B 13.14 -13.81%,14.60,21.45
BTE,Baytex Energy Corp.,3.0350,-0.00 -0.16% 10.72M 23.804M 2.337B 15.71 +21.60%,1.36,3.32
NVTS,Navitas Semiconductor Corporation,8.78,-0.40 -4.36% 10.628M 40.012M 2.024B -- +166.86%,1.52,17.79
BMY,Bristol-Myers Squibb Company,52.51,+1.31 +2.55% 10.591M 16.509M 106.867B 17.24 -8.21%,42.52,63.33
OKLO,Oklo Inc.,92.34,-10.66 -10.34% 10.542M 19.521M 14.415B -- +455.86%,17.14,193.84
UBER,"Uber Technologies, Inc.",85.57,+0.13 +0.15% 10.485M 18.526M 178.439B 10.79 +42.57%,59.33,101.99
KO,The Coca-Cola Company,70.28,+1.17 +1.70% 10.443M 16.578M 302.48B 23.25 +9.49%,60.62,74.38
IONQ,"IonQ, Inc.",52.01,-0.54 -1.03% 10.023M 29.791M 18.425B -- +55.34%,17.88,84.64
SNDK,Sandisk Corporation,208.53,-33.08 -13.69% 9.878M 11.035M 30.561B -- +571.14%,27.89,284.76
WU,The Western Union Company,9.65,+0.04 +0.42% 9.648M 10.451M 3.117B 4.08 -10.69%,7.85,11.95
CCL,Carnival Corporation & plc,27.78,-0.06 -0.20% 9.621M 22.496M 37.673B 13.56 +7.49%,15.07,32.80
QS,QuantumScape Corporation,12.10,-0.69 -5.41% 9.548M 40.011M 7.275B -- +161.55%,3.40,19.07
OWL,Blue Owl Capital Inc.,15.50,-0.61 -3.79% 9.532M 13.868M 24.23B 213.58 -33.89%,13.25,26.73
WMT,Walmart Inc. Common Stock,116.43,+0.91 +0.78% 9.503M 18.004M 928.239B 39.58 +22.57%,79.81,116.27
NKE,"NIKE, Inc.",67.50,-0.24 -0.36% 9.406M 15.153M 99.771B 33.77 -12.31%,52.28,82.44
VRT,Vertiv Holdings Co,163.03,-15.63 -8.75% 9.307M 7.497M 62.334B 68.55 +42.04%,53.60,202.45
MSTR,Strategy Inc,180.84,-2.46 -1.34% 9.132M 15.597M 51.965B 6.75 -55.15%,155.61,457.22
NVO,Novo Nordisk A/S,50.22,-0.08 -0.15% 9.096M 16.775M 223.129B 13.25 -52.98%,43.08,109.88
META,"Meta Platforms, Inc.",645.73,-6.98 -1.07% 8.766M 17.692M 1.628T 28.73 +5.22%,479.80,796.25
KDP,Keurig Dr Pepper Inc.,29.43,-0.03 -0.12% 8.549M 18.309M 39.99B 25.50 -12.16%,25.03,36.12
DIS,The Walt Disney Company,111.52,+0.06 +0.05% 8.517M 10.094M 200.506B 15.89 -1.66%,80.10,124.69
UEC,Uranium Energy Corp.,13.14,-1.01 -7.17% 8.44M 14.882M 6.349B -- +79.57%,3.85,17.80
CCC,CCC Intelligent Solutions Holdings Inc.,7.68,+0.46 +6.42% 8.411M 6.883M 5.004B -- -40.48%,6.96,12.33
TTD,"The Trade Desk, Inc.",36.74,-0.28 -0.77% 8.308M 13.953M 17.961B 44.54 -72.04%,36.78,136.42
AMCR,Amcor plc,8.27,-0.06 -0.66% 8.287M 23.553M 19.102B 25.57 -15.86%,7.67,10.45
AGNC,AGNC Investment Corp.,10.34,+0.04 +0.42% 8.204M 21.168M 11.095B 14.75 +7.52%,7.85,10.67
CORZ,"Core Scientific, Inc.",16.84,-0.56 -3.22% 8.175M 15.505M 5.221B -- +11.90%,6.20,23.63
GGB,Gerdau S.A.,3.64,-0.01 -0.14% 7.983M 17.745M 7.227B 13.26 +11.96%,2.27,3.72
