Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,181.70,+1.78 +0.99% 123.313M 191.084M 4.416T 43.81 +28.28%,86.62,212.19
HBI,Hanesbrands Inc.,6.47,0.00 0.00% 112.068M 8.619M 2.289B 5.52 -25.37%,3.96,8.98
INTC,Intel Corporation,42.92,+2.92 +7.29% 100.739M 110.901M 204.752B 900.87 +78.06%,17.67,42.48
PLUG,Plug Power Inc.,2.07,+0.15 +7.81% 65.168M 128.67M 2.88B -- -4.95%,0.69,4.58
ABTC,American Bitcoin Corp,2.22,-1.36 -37.99% 65.021M 4.797M 2.059B 23.45 +6.23%,0.63,14.65
ONDS,Ondas Holdings Inc.,8.33,+0.75 +9.90% 63.075M 73.983M 3.103B -- +851.07%,0.57,11.70
TSLA,"Tesla, Inc.",424.31,-5.83 -1.36% 46.239M 89.413M 1.411T 296.85 +22.40%,214.25,488.54
BBD,Banco Bradesco S.A.,3.66,+0.05 +1.24% 44.798M 47.881M 38.944B 9.76 +77.45%,1.84,3.77
SOFI,"SoFi Technologies, Inc.",30.10,+1.07 +3.68% 40.504M 72.069M 36.297B 54.82 +82.81%,8.60,32.73
OPEN,Opendoor Technologies Inc.,7.11,-0.04 -0.51% 39.306M 214.168M 6.784B -- +230.56%,0.51,10.87
BMNR,"Bitmine Immersion Technologies, Inc.",32.25,+3.31 +11.44% 38.383M 45.593M 12.386B 2.47 +273.42%,3.92,161.00
F,Ford Motor Company,12.89,-0.27 -2.09% 35.155M 91.978M 51.34B 11.35 +21.63%,8.44,13.97
AAL,American Airlines Group Inc.,14.20,+0.24 +1.69% 34.207M 69.124M 9.371B 13.45 -3.52%,8.50,19.10
BBAI,"BigBear.ai Holdings, Inc.",5.92,-0.13 -2.20% 33.997M 118.195M 2.583B -- +113.78%,2.12,10.36
IREN,IREN Limited,44.53,-3.96 -8.17% 31.708M 40.979M 12.623B 24.04 +275.02%,5.13,76.87
