Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
WBA,"Walgreens Boots Alliance, Inc.",11.98,0.00,0.00%,451.754M,16.121M,10.369B,--,+33.56%
OPEN,Opendoor Technologies Inc.,4.7600,+0.3100,+6.97%,242.238M,248.812M,3.503B,--,+129.38%
NVDA,NVIDIA Corporation,169.40,-4.71,-2.71%,160.904M,174.658M,4.124T,48.12,+61.28%
NIO,NIO Inc.,6.44,+0.06,+0.97%,93.165M,63.058M,15.403B,--,+53.73%
AAL,American Airlines Group Inc.,13.17,-0.20,-1.46%,60.917M,62.465M,8.693B,15.68,+26.13%
SNAP,Snap Inc.,7.09,-0.05,-0.67%,57.7M,44.273M,11.985B,--,-19.41%
SOFI,"SoFi Technologies, Inc.",24.92,-0.62,-2.44%,55.694M,73.925M,29.836B,49.83,+239.18%
RGTI,"Rigetti Computing, Inc.",15.14,-1.09,-6.69%,50.981M,44.583M,4.909B,--,"+1,853.07%"
PLTR,Palantir Technologies Inc.,157.77,+1.06,+0.68%,50M,74.97M,374.284B,525.90,+413.63%
BTG,B2Gold Corp.,4.2550,+0.1250,+3.03%,47.537M,38.885M,5.629B,--,+54.10%
CIFR,Cipher Mining Inc.,8.19,+0.55,+7.27%,46.641M,32.9M,3.223B,--,+138.75%
SOUN,"SoundHound AI, Inc.",12.60,-0.42,-3.23%,45.585M,45.658M,5.137B,--,+185.53%
MARA,"MARA Holdings, Inc.",15.86,-0.12,-0.72%,42.497M,47.141M,5.877B,8.53,+4.72%
IREN,IREN Limited,28.69,+2.21,+8.36%,40.105M,26.328M,7.804B,73.57,+283.77%
TSLA,"Tesla, Inc.",330.09,-3.78,-1.13%,39.473M,98.508M,1.065T,197.66,+58.53%
DNN,Denison Mines Corp.,2.2499,-0.0701,-3.02%,39.382M,102.647M,2.017B,--,+51.63%
INTC,Intel Corporation,24.12,-0.23,-0.95%,36.315M,104.324M,105.563B,--,+21.14%
NU,Nu Holdings Ltd.,14.81,+0.01,+0.03%,34.096M,63.802M,71.543B,31.50,-0.27%
F,Ford Motor Company,11.70,-0.07,-0.55%,35.445M,75.9M,46.584B,15.01,+7.19%
RIOT,"Riot Platforms, Inc.",13.93,+0.17,+1.24%,32.47M,40.084M,5.149B,--,+102.95%
PSLV,Sprott Physical Silver Trust,13.70,+0.22,+1.66%,31.587M,26.668M,7.604B,6.01,+41.30%
BAC,Bank of America Corporation,50.17,-0.57,-1.11%,30.524M,38.419M,371.644B,14.71,+24.67%
WULF,TeraWulf Inc.,9.52,+0.07,+0.74%,29.933M,54.939M,3.733B,--,+147.38%
WBD,"Warner Bros. Discovery, Inc.",11.48,-0.16,-1.42%,28.774M,61.148M,28.409B,37.02,+58.15%
BABA,Alibaba Group Holding Limited,137.10,+2.10,+1.56%,29.442M,13.941M,340.614B,15.89,+64.09%
HOOD,"Robinhood Markets, Inc.",101.05,-2.98,-2.86%,27.633M,44.951M,89.801B,51.29,+437.07%
AMD,"Advanced Micro Devices, Inc.",160.51,-2.12,-1.30%,27.724M,56.995M,260.482B,95.54,+18.76%
RIVN,"Rivian Automotive, Inc.",13.54,-0.03,-0.22%,26.78M,34.118M,16.43B,--,+3.19%
PFE,Pfizer Inc.,24.76,+0.00,+0.02%,25.862M,40.562M,140.803B,13.10,-12.51%
AG,First Majestic Silver Corp.,9.45,+0.31,+3.39%,26.16M,20.968M,4.621B,--,+73.11%
BMNR,"Bitmine Immersion Technologies, Inc.",42.58,-1.04,-2.38%,25.793M,34.971M,7.388B,--,+462.84%
CRWV,"CoreWeave, Inc.",92.26,-10.78,-10.46%,25.314M,21.45M,45.076B,--,+157.60%
KHC,The Kraft Heinz Company,26.01,-1.96,-7.01%,25.343M,14.851M,30.785B,--,-21.41%
GOOGL,Alphabet Inc.,209.23,-3.68,-1.73%,23.517M,36.878M,2.534T,22.28,+35.30%
ITUB,Itaú Unibanco Holding S.A.,7.05,-0.08,-1.15%,22.83M,28.389M,71.667B,9.53,+19.91%
MRVL,"Marvell Technology, Inc.",63.15,+0.29,+0.46%,22.242M,20.189M,54.446B,--,-10.21%
AMZN,"Amazon.com, Inc.",225.37,-3.63,-1.59%,22.457M,41.536M,2.403T,34.41,+29.93%
KGC,Kinross Gold Corporation,21.28,+0.39,+1.84%,21.427M,18.566M,25.942B,17.17,+143.02%
AAPL,Apple Inc.,228.85,-3.29,-1.42%,20.819M,54.241M,3.396T,34.73,+4.21%
