Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,2.9201,-0.2899,-9.00%,1.013B,137.631M,2.129B,--,+24.42%
LCID,"Lucid Group, Inc.",3.1102,+0.2902,+10.29%,231.952M,148.618M,9.487B,--,-18.85%
NVDA,NVIDIA Corporation,167.89,-3.49,-2.03%,159.257M,200.302M,4.095T,54.16,+39.80%
NIO,NIO Inc.,5.0000,+0.4800,+10.62%,120.426M,41.343M,10.985B,--,+0.89%
QS,QuantumScape Corporation,13.91,+1.39,+11.10%,95.529M,32.733M,7.775B,--,+55.53%
NOK,Nokia Oyj,4.4850,-0.2650,-5.58%,77.257M,17.519M,24.289B,17.25,+28.03%
WBD,"Warner Bros. Discovery, Inc.",12.86,+0.06,+0.47%,76.877M,52.898M,31.817B,--,+48.49%
OSCR,"Oscar Health, Inc.",14.79,+1.17,+8.59%,72.513M,20.217M,3.767B,36.98,-12.64%
TSLA,"Tesla, Inc.",332.99,+4.50,+1.37%,69.664M,110.475M,1.073T,191.37,+33.33%
F,Ford Motor Company,11.20,-0.11,-0.93%,69.298M,95.522M,44.557B,8.96,-18.22%
CIFR,Cipher Mining Inc.,6.87,+0.62,+9.92%,67.741M,29.459M,2.55B,--,+1.96%
WULF,TeraWulf Inc.,5.24,+0.25,+5.01%,65.274M,46.374M,2.041B,--,-9.60%
VALE,Vale S.A.,10.38,+0.24,+2.42%,63.979M,36.776M,44.289B,7.52,-5.94%
SOFI,"SoFi Technologies, Inc.",21.08,-0.08,-0.38%,56.636M,69.07M,23.301B,49.02,+184.79%
RIOT,"Riot Platforms, Inc.",14.19,+0.17,+1.22%,49.233M,38.678M,5.07B,--,+20.97%
AAL,American Airlines Group Inc.,12.51,+0.19,+1.54%,48.228M,60.323M,8.25B,12.51,+17.56%
ACHR,Archer Aviation Inc.,11.07,-0.78,-6.54%,45.711M,38.877M,6.08B,--,+159.87%
CLF,Cleveland-Cliffs Inc.,11.44,+0.78,+7.36%,44.416M,32.658M,5.661B,--,-32.87%
PLTR,Palantir Technologies Inc.,149.28,-2.51,-1.65%,44.409M,86.591M,352.287B,649.04,+426.87%
INTC,Intel Corporation,23.30,+0.03,+0.15%,43.905M,79.437M,101.613B,--,-29.41%
