Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
INTC,Intel Corporation,30.77,+5.88 +23.60% 438.374M 97.088M 143.727B -- +17.79%,17.67,32.38
OPEN,Opendoor Technologies Inc.,10.01,-0.20 -1.96% 210.396M 324.026M 7.367B -- +366.21%,0.51,10.87
NVDA,NVIDIA Corporation,176.34,+6.05 +3.55% 132.814M 174.199M 4.293T 50.24 +44.47%,86.62,184.48
SNAP,Snap Inc.,8.35,+0.36 +4.44% 132.107M 58.991M 14.102B -- -20.66%,6.90,13.28
PLUG,Plug Power Inc.,2.0930,+0.0830 +4.13% 104.565M 64.496M 2.417B -- -2.91%,0.69,3.32
BBAI,"BigBear.ai Holdings, Inc.",6.22,+0.20 +3.32% 96.269M 118.252M 2.306B -- +281.01%,1.36,10.36
RGTI,"Rigetti Computing, Inc.",26.02,"+4.03 +18.35% 84.298M 42.854M 8.436B -- +2,598.16%",0.71,26.06
AAL,American Airlines Group Inc.,12.55,+0.07 +0.58% 78.623M 69.469M 8.282B 14.94 +12.33%,8.50,19.10
ETNB,"89bio, Inc.",14.98,+6.90 +85.33% 69.463M 1.484M 2.221B -- -2.53%,4.16,15.06
SOUN,"SoundHound AI, Inc.",15.85,+0.73 +4.84% 68.384M 55.151M 6.462B -- +201.80%,4.45,24.98
TSLA,"Tesla, Inc.",423.52,-2.33 -0.55% 65.899M 91.998M 1.366T 255.14 +74.59%,212.11,488.54
AMD,"Advanced Micro Devices, Inc.",157.06,-2.10 -1.32% 63.505M 55.932M 254.884B 94.05 +1.54%,76.48,186.65
GRAB,Grab Holdings Limited,6.34,+0.24 +3.85% 61.502M 40.12M 25.825B 316.75 +66.67%,3.36,6.50
NIO,NIO Inc.,7.43,-0.02 -0.26% 61.352M 75.802M 17.621B -- +37.96%,3.02,7.71
QBTS,D-Wave Quantum Inc.,24.49,"+1.94 +8.63% 55.383M 42.089M 8.374B -- +2,247.92%",0.87,24.53
BMNR,"Bitmine Immersion Technologies, Inc.",60.47,+3.40 +5.96% 55.31M 42.538M 10.491B -- +636.39%,3.92,161.00
MARA,"MARA Holdings, Inc.",19.13,+1.79 +10.32% 54.238M 50.766M 7.087B 10.28 +12.23%,9.81,30.28
