Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
WBA,"Walgreens Boots Alliance, Inc.",11.98,0.00,0.00%,451.754M,16.94M,10.369B,--,+29.51%
NVDA,NVIDIA Corporation,180.96,-0.65,-0.36%,217.647M,177.79M,4.413T,58.18,+54.43%
OPEN,Opendoor Technologies Inc.,4.2800,+0.2600,+6.47%,189.248M,240.002M,3.15B,--,+91.43%
RGTI,"Rigetti Computing, Inc.",16.93,+1.54,+10.04%,65.177M,44.086M,5.49B,--,"+1,646.88%"
LCID,"Lucid Group, Inc.",2.0950,+0.0150,+0.72%,62.621M,138.462M,6.437B,--,-47.47%
AAL,American Airlines Group Inc.,13.24,+0.11,+0.84%,55.572M,62.069M,8.736B,15.76,+26.37%
TSLA,"Tesla, Inc.",344.35,-5.25,-1.50%,53.218M,99.23M,1.111T,204.97,+69.48%
SOUN,"SoundHound AI, Inc.",12.61,+0.70,+5.88%,52.798M,43.944M,5.141B,--,+146.07%
SOFI,"SoFi Technologies, Inc.",26.19,+1.23,+4.95%,50.9M,73.409M,31.367B,52.39,+210.83%
NIO,NIO Inc.,6.38,+0.04,+0.63%,49.909M,61.537M,14.978B,--,+60.91%
INTC,Intel Corporation,24.92,+0.07,+0.30%,44.29M,104.647M,109.096B,--,+23.45%
SNAP,Snap Inc.,7.09,+0.10,+1.43%,44.114M,42.54M,11.981B,--,-24.19%
NU,Nu Holdings Ltd.,14.94,+0.30,+2.02%,43.968M,64.029M,72.171B,31.78,+2.88%
PLTR,Palantir Technologies Inc.,157.11,+0.39,+0.25%,42.506M,77.485M,372.718B,523.70,+405.55%
CRWV,"CoreWeave, Inc.",103.86,+6.93,+7.15%,38.848M,21.399M,50.746B,--,+142.32%
F,Ford Motor Company,11.69,-0.22,-1.85%,36.085M,79.971M,46.525B,14.99,+7.20%
SNOW,Snowflake Inc.,247.29,+46.90,+23.40%,34.758M,4.194M,82.509B,--,+75.57%
WULF,TeraWulf Inc.,9.52,+0.39,+4.23%,33.258M,54.425M,3.732B,--,+117.38%
BBD,Banco Bradesco S.A.,3.1250,+0.1050,+3.48%,31.066M,36.146M,30.691B,9.19,+8.24%
RIOT,"Riot Platforms, Inc.",13.92,+0.37,+2.75%,29.613M,39.864M,5.146B,--,+76.43%
BMNR,"Bitmine Immersion Technologies, Inc.",46.59,+0.56,+1.22%,30.052M,34.923M,8.083B,--,+493.94%
MARA,"MARA Holdings, Inc.",16.03,+0.18,+1.14%,29.136M,46.29M,5.938B,8.62,-6.71%
AMD,"Advanced Micro Devices, Inc.",168.23,+1.10,+0.66%,28.916M,56.516M,273.01B,100.74,+14.87%
PFE,Pfizer Inc.,24.55,-0.52,-2.09%,27.491M,40.423M,139.552B,12.99,-12.71%
