Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
PROK,ProKidney Corp.,4.4500,+3.8435,+633.72%,314.996M,1.137M,13.294B,--,-75.72%
LCID,"Lucid Group, Inc.",2.3100,+0.2000,+9.48%,191.703M,128.196M,7.046B,--,-31.72%
SOUN,"SoundHound AI, Inc.",12.66,+1.28,+11.25%,110.396M,31.542M,5.086B,--,+174.88%
NVDA,NVIDIA Corporation,159.96,+1.72,+1.09%,108.13M,227.563M,3.901T,51.60,+20.44%
SOFI,"SoFi Technologies, Inc.",19.77,+0.53,+2.73%,101.023M,66.401M,21.848B,45.97,+201.57%
INTC,Intel Corporation,23.68,+1.68,+7.63%,94.852M,86.428M,103.284B,--,-36.40%
TSLA,"Tesla, Inc.",296.04,+2.10,+0.71%,86.712M,116.733M,953.533B,168.20,+12.05%
NU,Nu Holdings Ltd.,13.53,+0.18,+1.31%,69.182M,60.076M,65.298B,30.76,+1.60%
BAC,Bank of America Corporation,47.31,-1.35,-2.76%,68.053M,43.633M,356.371B,14.12,+17.48%
QS,QuantumScape Corporation,8.10,+1.09,+15.60%,66.601M,20.671M,4.529B,--,+32.26%
F,Ford Motor Company,11.69,+0.10,+0.91%,57.809M,106.991M,46.506B,9.36,-10.16%
WBD,"Warner Bros. Discovery, Inc.",11.39,+0.36,+3.31%,57.379M,46.966M,28.167B,--,+50.14%
HOOD,"Robinhood Markets, Inc.",91.36,-2.10,-2.25%,52.535M,44.122M,80.618B,52.21,+313.54%
PLTR,Palantir Technologies Inc.,139.33,+0.21,+0.15%,52.413M,95.282M,328.805B,580.54,+407.92%
AAL,American Airlines Group Inc.,11.63,+0.04,+0.39%,44.963M,59.671M,7.673B,11.63,+5.56%
RIG,Transocean Ltd.,2.9350,+0.2250,+8.30%,42.269M,42.116M,2.592B,--,-45.91%
RXRX,"Recursion Pharmaceuticals, Inc.",5.41,+0.49,+9.84%,41.83M,25.813M,2.201B,--,-33.74%
BTG,B2Gold Corp.,3.5200,-0.1600,-4.35%,41.347M,52.388M,4.664B,--,+31.90%
VALE,Vale S.A.,10.01,+0.07,+0.70%,40.214M,35.437M,43.844B,7.25,-14.01%
PFE,Pfizer Inc.,25.60,+0.36,+1.45%,38.752M,44.966M,145.574B,18.55,-8.95%
CORZ,"Core Scientific, Inc.",13.82,-1.01,-6.81%,37.36M,15.604M,4.116B,--,+55.13%
FCX,Freeport-McMoRan Inc.,46.43,+1.30,+2.88%,35.614M,13.587M,66.683B,38.06,-11.16%
OSCR,"Oscar Health, Inc.",16.47,-0.34,-2.02%,35.453M,14.102M,4.195B,41.17,+6.73%
AMZN,"Amazon.com, Inc.",219.63,-3.84,-1.72%,35.245M,45.774M,2.332T,35.71,+12.10%
NIO,NIO Inc.,3.4750,+0.0650,+1.91%,35.153M,35.486M,7.799B,--,-24.22%
STLA,Stellantis N.V.,10.12,+0.32,+3.24%,34.642M,17.173M,30.096B,4.66,-49.61%
CIFR,Cipher Mining Inc.,6.05,+0.26,+4.40%,34.042M,25.269M,2.244B,--,+32.49%
RGTI,"Rigetti Computing, Inc.",13.31,-0.44,-3.24%,32.996M,48.962M,4.294B,--,"+1,222.12%"
QBTS,D-Wave Quantum Inc.,16.02,-0.74,-4.39%,32.874M,66.72M,5.007B,--,"+1,396.43%"
GRAB,Grab Holdings Limited,4.8100,-0.1600,-3.22%,32.366M,35.428M,19.836B,481.00,+38.83%
ACHR,Archer Aviation Inc.,10.36,+0.34,+3.42%,30.884M,34.355M,5.69B,--,+134.11%
HL,Hecla Mining Company,5.59,-0.57,-9.25%,30.284M,22.179M,3.536B,46.58,+16.89%
AMD,"Advanced Micro Devices, Inc.",138.09,+3.29,+2.44%,30.156M,46.359M,223.891B,100.79,-23.88%
GOOGL,Alphabet Inc.,174.04,-2.75,-1.56%,29.161M,40.991M,2.116T,19.42,-6.45%
MARA,"MARA Holdings, Inc.",17.33,+0.58,+3.49%,28.78M,44.892M,6.101B,--,-11.98%
AAPL,Apple Inc.,209.61,-0.34,-0.16%,28.596M,59.191M,3.131T,32.65,-8.19%
RUN,Sunrun Inc.,9.99,-1.11,-10.04%,28.507M,23.001M,2.284B,--,-15.90%
JOBY,"Joby Aviation, Inc.",11.44,+0.78,+7.36%,28.17M,21.284M,9.631B,--,+108.61%
CNH,CNH Industrial N.V.,13.74,+0.27,+2.04%,28.148M,18.421M,17.173B,17.18,+42.24%
HIMS,"Hims & Hers Health, Inc.",48.43,+0.01,+0.02%,26.971M,46.247M,10.84B,71.22,+134.03%
ABEV,Ambev S.A.,2.4150,+0.0250,+1.05%,27.121M,32.458M,39.418B,14.21,+14.90%
AMCR,Amcor plc,9.84,+0.16,+1.63%,26.056M,37.066M,22.542B,17.57,+1.26%
IREN,IREN Limited,16.89,-0.06,-0.35%,25.488M,19.285M,4.085B,--,+32.22%
BBD,Banco Bradesco S.A.,3.0550,+0.0150,+0.49%,25.381M,41.219M,30.516B,9.85,+31.03%
AG,First Majestic Silver Corp.,8.02,-0.66,-7.65%,24.054M,24.361M,3.901B,--,+37.50%
AZEK,The AZEK Company Inc.,54.35,-0.51,-0.93%,26.82M,3.828M,7.818B,52.77,+30.59%
SMCI,"Super Micro Computer, Inc.",48.98,+1.87,+3.97%,23.814M,46.723M,29.232B,26.62,-47.40%
IONQ,"IonQ, Inc.",44.78,-0.42,-0.92%,23.183M,21.917M,11.717B,--,+469.99%
RKLB,Rocket Lab Corporation,38.51,-0.37,-0.94%,21.829M,20.688M,17.772B,--,+665.35%
CLF,Cleveland-Cliffs Inc.,8.91,+0.43,+5.01%,21.248M,31.139M,4.41B,--,-44.07%
CCL,Carnival Corporation & plc,28.97,-0.34,-1.18%,21.324M,25.973M,39.273B,15.16,+63.74%
EQX,Equinox Gold Corp.,5.84,-0.06,-0.93%,21.717M,14.479M,4.424B,8.23,+1.55%
RIVN,"Rivian Automotive, Inc.",13.12,+0.38,+2.94%,20.874M,30.133M,15.723B,--,-18.84%
NGD,New Gold Inc.,4.7450,-0.2950,-5.85%,20.665M,25.806M,3.768B,26.36,+124.00%
IAG,IAMGOLD Corporation,6.93,-0.57,-7.67%,20.237M,16.779M,3.996B,4.74,+84.28%
ITUB,Itaú Unibanco Holding S.A.,6.82,-0.02,-0.29%,20.152M,29.81M,70.887B,9.47,+23.14%
MU,"Micron Technology, Inc.",124.25,+4.33,+3.61%,19.961M,22.855M,139.051B,22.39,-8.56%
BCS,Barclays PLC,18.32,+0.12,+0.69%,19.89M,14.399M,64.749B,8.93,+62.85%
KGC,Kinross Gold Corporation,15.20,-0.84,-5.26%,19.928M,21.169M,18.759B,15.52,+86.85%
CLSK,"CleanSpark, Inc.",11.58,+0.25,+2.23%,19.086M,27.3M,3.254B,--,-25.56%
SNAP,Snap Inc.,9.28,+0.10,+1.03%,18.899M,38.347M,15.517B,--,-45.13%
KEY,KeyCorp,18.54,+0.25,+1.37%,18.145M,13.679M,20.319B,--,+27.99%
DDOG,"Datadog, Inc.",145.21,-7.20,-4.72%,18.058M,5.386M,50.149B,308.96,+20.36%
GOOG,Alphabet Inc.,175.03,-2.53,-1.42%,17.748M,27.326M,2.119T,19.51,-6.76%
SAND,Sandstorm Gold Ltd.,9.86,-0.38,-3.66%,17.38M,5.975M,2.898B,98.65,+83.51%
PCG,PG&E Corporation,13.66,+0.02,+0.15%,17.14M,22.507M,30.02B,12.53,-21.34%
PSLV,Sprott Physical Silver Trust,12.47,-0.07,-0.60%,16.18M,33.801M,6.568B,4.10,+19.54%
MRNA,"Moderna, Inc.",32.56,+2.66,+8.90%,16.118M,10.73M,12.592B,--,-74.24%
HBAN,Huntington Bancshares Incorporated,17.53,-0.01,-0.06%,16.05M,24.323M,25.538B,13.48,+35.24%
U,Unity Software Inc.,29.48,+1.62,+5.83%,15.857M,11.748M,12.256B,--,+79.51%
T,AT&T Inc.,28.40,-0.01,-0.04%,15.827M,33.491M,204.501B,17.42,+51.12%
BMNR,"Bitmine Immersion Technologies, Inc.",114.25,+6.77,+6.30%,15.733M,11.459M,4.891B,--,"+1,286.84%"
PBR,Petróleo Brasileiro S.A. - Petrobras,13.11,+0.28,+2.22%,15.665M,24.83M,82.448B,9.79,-15.31%
UBER,"Uber Technologies, Inc.",97.01,+0.33,+0.34%,15.666M,22.097M,202.864B,16.99,+35.56%
ORCL,Oracle Corporation,233.89,+1.63,+0.70%,15.019M,12.481M,656.954B,53.89,+65.10%
AGNC,AGNC Investment Corp.,9.45,+0.10,+1.01%,15.192M,30.629M,9.648B,26.26,-3.90%
RIOT,"Riot Platforms, Inc.",11.61,+0.06,+0.52%,14.995M,35.746M,4.148B,--,+26.37%
NOK,Nokia Oyj,5.13,0.00,0.00%,14.864M,17.367M,28.011B,19.73,+32.90%
NEE,"NextEra Energy, Inc.",72.73,-2.02,-2.70%,14.294M,13.13M,149.724B,27.24,+3.65%
DOW,Dow Inc.,28.97,+1.49,+5.44%,14.095M,10.675M,20.481B,72.44,-46.72%
HAL,Halliburton Company,22.30,+1.41,+6.73%,13.998M,15.198M,19.167B,9.33,-36.37%
NKE,"NIKE, Inc.",74.03,-2.50,-3.27%,13.792M,19.303M,109.26B,34.27,+5.62%
ENVX,Enovix Corporation,13.40,+0.37,+2.80%,13.669M,5.29M,2.572B,--,-24.33%
CNC,Centene Corporation,32.58,-0.47,-1.41%,13.818M,7.311M,16.214B,4.81,-49.73%
OKLO,Oklo Inc.,53.66,-2.28,-4.08%,13.546M,18.764M,7.914B,--,+628.39%
QUBT,Quantum Computing Inc.,19.07,-0.81,-4.07%,13.486M,27.038M,3.013B,--,"+3,369.46%"
DVN,Devon Energy Corporation,34.94,+2.26,+6.93%,13.471M,8.715M,22.438B,7.96,-29.05%
HBM,Hudbay Minerals Inc.,10.85,-0.05,-0.50%,12.972M,7.722M,4.303B,27.82,+17.71%
CVE,Cenovus Energy Inc.,14.60,+0.56,+3.95%,12.865M,12.571M,26.622B,13.03,-27.10%
XOM,Exxon Mobil Corporation,113.98,+2.87,+2.58%,12.266M,17.498M,491.213B,15.12,+0.15%
ERIC,Telefonaktiebolaget LM Ericsson (publ),8.53,-0.02,-0.18%,12.245M,23.962M,28.544B,170.70,+35.07%
