Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
RIVN,"Rivian Automotive, Inc.",15.42,+2.92 +23.36% 195.031M 43.714M 18.711B -- +28.73%,9.50,17.15
NVDA,NVIDIA Corporation,195.21,-3.48 -1.75% 145.693M 177.943M 4.75T 57.68 +36.45%,86.62,212.19
PFE,Pfizer Inc.,24.64,+0.34 +1.40% 96.194M 54.796M 140.092B -- -11.18%,20.92,27.99
PLUG,Plug Power Inc.,2.64,+0.12 +4.76% 86.324M 106.457M 3.075B -- +27.92%,0.69,4.58
TSLA,"Tesla, Inc.",462.26,+18.00 +4.05% 84.085M 86.794M 1.537T 315.06 +53.97%,214.25,488.54
OPEN,Opendoor Technologies Inc.,7.23,+0.31 +4.48% 72.748M 262.065M 5.366B -- +288.76%,0.51,10.87
PLTR,Palantir Technologies Inc.,188.00,-2.70 -1.42% 72.677M 62.156M 446B -- +243.49%,51.61,207.52
PINS,"Pinterest, Inc.",25.83,-7.08 -21.51% 72.127M 10.638M 17.563B 12.07 -2.52%,23.68,40.90
F,Ford Motor Company,13.12,+0.34 +2.62% 72.106M 88.141M 52.297B 11.22 +14.30%,8.44,13.97
SNAP,Snap Inc.,7.32,-0.15 -2.07% 68.158M 91.495M 12.361B -- -36.75%,6.90,13.28
DNN,Denison Mines Corp.,2.70,-0.04 -1.46% 67.406M 83.897M 2.431B -- +34.31%,1.08,3.42
BBAI,"BigBear.ai Holdings, Inc.",6.12,+0.39 +6.81% 65.366M 110.755M 2.671B -- +260.38%,1.51,10.36
INTC,Intel Corporation,38.33,+1.31 +3.52% 61.753M 128.69M 182.705B 885.89 +47.82%,17.67,42.48
AMD,"Advanced Micro Devices, Inc.",255.82,+5.77 +2.31% 61.621M 60.24M 415.156B 153.37 +72.33%,76.48,267.08
ACHR,Archer Aviation Inc.,9.58,+0.02 +0.21% 61.431M 46.25M 6.202B -- +197.82%,3.14,14.62
SMCI,"Super Micro Computer, Inc.",42.03,-5.47 -11.52% 60.352M 30.299M 24.977B 30.96 +108.81%,17.25,66.44
BITF,Bitfarms Ltd.,4.06,+0.22 +5.73% 59.86M 83.449M 2.255B -- +80.28%,0.67,6.60
ONDS,Ondas Holdings Inc.,6.00,+0.04 +0.67% 59.057M 53.672M 2.211B -- +661.17%,0.57,11.70
CIFR,Cipher Mining Inc.,24.69,+2.18 +9.71% 56.956M 45.81M 9.757B -- +222.96%,1.86,25.11
AAL,American Airlines Group Inc.,13.42,+0.77 +6.09% 56.669M 71.798M 8.858B 15.53 -9.64%,8.50,19.10
RXRX,"Recursion Pharmaceuticals, Inc.",4.96,-0.04 -0.80% 56.002M 39.116M 2.165B -- -28.26%,3.79,12.36
SOFI,"SoFi Technologies, Inc.",30.05,+0.67 +2.30% 53.816M 69.762M 36.191B 54.75 +148.69%,8.60,32.57
TEVA,Teva Pharmaceutical Industries Limited,24.62,+4.17 +20.36% 53.677M 10.013M 28.459B -- +17.38%,12.47,22.80
T,AT&T Inc.,24.55,+0.11 +0.47% 51.858M 43.309M 174.076B 8.04 +9.50%,21.38,29.79
KVUE,Kenvue Inc.,16.27,+0.30 +1.88% 50.737M 34.482M 31.17B 19.22 -29.02%,14.02,25.17
BAC,Bank of America Corporation,52.44,-1.10 -2.05% 46.916M 34.436M 523.834B 14.60 +17.90%,33.07,54.00
WBD,"Warner Bros. Discovery, Inc.",22.76,+0.16 +0.71% 44.278M 53.236M 56.349B 72.34 +169.69%,7.52,22.62
MARA,"MARA Holdings, Inc.",17.13,+0.51 +3.07% 42.252M 55.053M 6.346B -- -13.98%,9.81,30.28
IREN,IREN Limited,76.34,+9.71 +14.57% 41.42M 37.187M 20.763B 155.77 +503.53%,5.13,75.73
BTG,B2Gold Corp.,4.03,+0.03 +0.87% 40.417M 47.68M 5.35B -- +25.79%,2.20,5.94
RIG,Transocean Ltd.,3.89,-0.01 -0.13% 40.2M 43.01M 4.29B -- -16.49%,1.97,4.74
VALE,Vale S.A.,12.32,+0.38 +3.18% 40.187M 30.339M 52.591B 9.05 +10.56%,8.06,12.24
QS,QuantumScape Corporation,17.08,+1.64 +10.59% 39.489M 40.052M 10.267B -- +206.35%,3.40,19.07
U,Unity Software Inc.,42.40,+6.53 +18.20% 39.27M 11.372M 17.915B -- +65.53%,15.33,46.94
FUBO,fuboTV Inc.,4.07,+0.39 +10.73% 38.412M 15.395M 5.259B 10.90 +160.99%,1.21,6.45
WULF,TeraWulf Inc.,15.36,+0.35 +2.33% 38.019M 49.883M 6.3B -- +95.70%,2.06,17.05
GRAB,Grab Holdings Limited,5.64,-0.14 -2.51% 37.342M 46.549M 22.992B -- +37.09%,3.36,6.62
RGTI,"Rigetti Computing, Inc.",37.31,"+2.13 +6.06% 36.119M 79.912M 12.096B -- +2,831.67%",1.13,58.15
AMCR,Amcor plc,8.11,+0.24 +3.11% 35.542M 24.553M 18.732B 24.69 -22.84%,7.67,10.71
CMCSA,Comcast Corporation,27.94,+0.50 +1.82% 35.491M 25.192M 101.81B 4.63 -39.21%,25.75,45.22
NVO,Novo Nordisk A/S,48.44,+0.19 +0.39% 35.258M 15.153M 214.568B 12.66 -54.20%,45.05,112.52
NIO,NIO Inc.,7.28,+0.12 +1.75% 33.283M 78.191M 17.714B -- +43.20%,3.02,8.02
HIMS,"Hims & Hers Health, Inc.",43.76,+0.97 +2.27% 33.193M 28.219M 9.891B -- +82.71%,19.15,72.98
AMZN,"Amazon.com, Inc.",250.27,+0.95 +0.38% 31.884M 45.865M 2.675T 34.93 +20.39%,161.38,258.60
RIOT,"Riot Platforms, Inc.",18.97,-0.31 -1.58% 31.85M 33.897M 7.053B 49.18 +57.35%,6.19,23.94
NU,Nu Holdings Ltd.,16.17,+0.37 +2.34% 31.767M 45.184M 78.139B 34.31 +5.12%,9.01,16.50
NCLH,Norwegian Cruise Line Holdings Ltd.,18.61,-0.18 -0.93% 31.492M 15.185M 8.474B -- -32.31%,14.21,29.29
NOK,Nokia Oyj,6.84,+0.03 +0.44% 31.47M 42.588M 36.793B 37.23 +48.69%,3.91,8.19
HTZ,"Hertz Global Holdings, Inc.",6.67,-0.06 -0.89% 31.369M 11.175M 2.073B -- +117.80%,2.97,9.39
PCG,PG&E Corporation,16.31,+0.15 +0.90% 30.788M 23.67M 35.837B 13.43 -20.20%,12.97,21.72
JOBY,"Joby Aviation, Inc.",14.99,+0.23 +1.59% 30.726M 41.407M 13.361B -- +191.12%,4.87,20.95
BMNR,"Bitmine Immersion Technologies, Inc.",41.63,+2.17 +5.50% 30.667M 51.023M 11.854B -- +409.16%,3.92,161.00
AAPL,Apple Inc.,270.33,+0.29 +0.11% 29.793M 54.007M 3.994T 36.24 +21.25%,169.21,277.32
QBTS,D-Wave Quantum Inc.,31.07,"+1.33 +4.46% 28.692M 53.305M 10.625B -- +2,531.86%",1.09,46.75
NVTS,Navitas Semiconductor Corporation,9.86,-0.60 -5.74% 28.575M 36.843M 2.101B -- +354.78%,1.52,17.79
BBD,Banco Bradesco S.A.,3.53,+0.12 +3.48% 28.344M 47.062M 37.456B 9.02 +41.49%,1.84,3.55
RKT,"Rocket Companies, Inc.",16.26,-0.50 -2.95% 27.733M 35.178M 45.792B -- +6.41%,10.06,22.56
CMG,"Chipotle Mexican Grill, Inc.",31.99,+0.25 +0.77% 27.527M 20.659M 42.293B 28.07 -44.98%,31.01,66.74
MU,"Micron Technology, Inc.",237.50,+19.47 +8.93% 27.438M 23.345M 266.586B 29.48 +94.97%,61.54,237.62
NGD,New Gold Inc.,6.80,+0.16 +2.33% 27.378M 18.005M 5.393B 23.40 +146.84%,2.43,7.71
GOOGL,Alphabet Inc.,284.31,+6.77 +2.44% 26.983M 33.413M 3.433T 27.74 +57.24%,140.53,291.59
GGB,Gerdau S.A.,3.60,+0.17 +5.12% 26.434M 16.224M 6.815B 12.82 -2.01%,2.27,3.62
AG,First Majestic Silver Corp.,10.66,-0.90 -7.79% 26.341M 21.337M 5.236B 334.45 +76.22%,5.09,15.69
SOUN,"SoundHound AI, Inc.",15.71,+0.58 +3.82% 26.065M 61.897M 6.404B -- +165.91%,5.41,24.98
HOOD,"Robinhood Markets, Inc.",142.48,+5.68 +4.15% 25.924M 36.879M 126.618B 74.70 +358.14%,26.74,153.86
ABEV,Ambev S.A.,2.42,+0.03 +1.46% 25.771M 39.785M 37.977B 12.46 +8.14%,1.76,2.64
ITUB,Itaú Unibanco Holding S.A.,7.50,+0.12 +1.63% 25.531M 27.586M 74.574B 9.86 +27.64%,4.42,7.52
PATH,UiPath Inc.,14.55,+0.27 +1.93% 25.172M 21.396M 7.724B 429.81 +8.52%,9.38,18.74
CPNG,"Coupang, Inc.",30.24,-1.90 -5.90% 24.911M 11.284M 55.12B 162.18 +33.88%,19.02,34.08
