Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
PROK,ProKidney Corp.,4.6750,+0.9450,+25.34%,191.091M,6.78M,2.269B,--,+49.20%
NVDA,NVIDIA Corporation,162.85,+2.85,+1.78%,116.239M,219.648M,3.973T,52.55,+18.60%
LCID,"Lucid Group, Inc.",2.3033,+0.0033,+0.14%,80.663M,129.106M,7.026B,--,-26.98%
VRNA,Verona Pharma plc,104.79,+17.93,+20.65%,55.160M,1.29M,8.905B,--,+384.44%
SOUN,"SoundHound AI, Inc.",12.90,+0.19,+1.46%,49.009M,32.746M,5.182B,--,+150.69%
TSLA,"Tesla, Inc.",294.73,-3.08,-1.03%,48.682M,114.799M,949.475B,167.49,+13.12%
AAL,American Airlines Group Inc.,11.43,-0.15,-1.34%,46.497M,58.298M,7.535B,11.43,+3.86%
AES,The AES Corporation,13.05,+1.98,+17.84%,42.648M,16.715M,9.284B,7.09,-38.23%
PLTR,Palantir Technologies Inc.,140.44,+0.73,+0.52%,41.200M,93.16M,331.284B,638.09,+391.59%
SOFI,"SoFi Technologies, Inc.",19.98,+0.03,+0.13%,39.846M,66.689M,22.074B,46.44,+203.65%
F,Ford Motor Company,11.89,+0.20,+1.76%,38.496M,104.899M,47.281B,9.51,-11.31%
QS,QuantumScape Corporation,8.35,+0.16,+2.02%,38.228M,21.579M,4.663B,--,+51.20%
INTC,Intel Corporation,23.34,-0.25,-1.07%,34.953M,84.682M,101.787B,--,-32.35%
NU,Nu Holdings Ltd.,13.77,+0.18,+1.29%,30.973M,59.912M,66.425B,31.29,+2.88%
WBD,"Warner Bros. Discovery, Inc.",11.63,+0.22,+1.93%,30.344M,46.944M,28.761B,--,+55.87%
QBTS,D-Wave Quantum Inc.,16.23,+0.24,+1.53%,29.862M,66.438M,5.073B,--,"+1,210.66%"
HOOD,"Robinhood Markets, Inc.",93.16,+1.89,+2.07%,28.883M,43.647M,82.207B,53.23,+308.92%
GRAB,Grab Holdings Limited,5.04,+0.24,+5.00%,28.324M,35.112M,20.785B,504.00,+34.08%
HIMS,"Hims & Hers Health, Inc.",50.40,+1.44,+2.94%,28.202M,46.175M,11.29B,74.18,+142.26%
CORZ,"Core Scientific, Inc.",13.75,-0.27,-1.91%,28.193M,15.932M,4.176B,--,+43.50%
CIFR,Cipher Mining Inc.,6.24,+0.21,+3.48%,27.671M,25.653M,2.316B,--,+36.12%
AG,First Majestic Silver Corp.,8.40,+0.41,+5.07%,26.188M,24.268M,4.079B,--,+22.55%
RXRX,"Recursion Pharmaceuticals, Inc.",5.66,+0.30,+5.69%,26.085M,25.975M,2.303B,--,-25.86%
AMD,"Advanced Micro Devices, Inc.",138.50,+0.68,+0.49%,25.06M,45.331M,224.564B,101.84,-25.08%
CNH,CNH Industrial N.V.,13.71,+0.01,+0.07%,25.029M,18.501M,17.129B,17.14,+43.01%
AAPL,Apple Inc.,208.61,-1.40,-0.66%,24.665M,56.833M,3.116T,32.44,-9.86%
MARA,"MARA Holdings, Inc.",17.88,+0.35,+2.03%,24.21M,44.517M,6.291B,--,-7.25%
BTG,B2Gold Corp.,3.5850,+0.0650,+1.85%,24.301M,51.992M,4.746B,--,+23.94%
GOOGL,Alphabet Inc.,177.15,+2.79,+1.60%,23.468M,40.492M,2.154T,19.77,-8.80%
SNAP,Snap Inc.,9.17,-0.15,-1.60%,23.549M,37.615M,15.326B,--,-44.66%
BBD,Banco Bradesco S.A.,3.0600,0.0000,0.00%,22.909M,40.592M,29.987B,9.87,+29.11%
RGTI,"Rigetti Computing, Inc.",13.37,-0.01,-0.07%,22.912M,48.652M,4.315B,--,"+1,138.89%"
BAC,Bank of America Corporation,46.81,-0.34,-0.71%,21.584M,42.417M,352.605B,13.97,+12.96%
ERIC,Telefonaktiebolaget LM Ericsson (publ),8.19,-0.35,-4.10%,21.332M,23.639M,27.563B,163.70,+32.61%
AMZN,"Amazon.com, Inc.",222.57,+3.21,+1.46%,20.634M,44.588M,2.363T,36.25,+9.80%
PFE,Pfizer Inc.,25.45,-0.17,-0.64%,19.278M,44.221M,144.721B,18.45,-9.63%
RIG,Transocean Ltd.,2.8650,-0.0650,-2.22%,18.617M,41.377M,2.531B,--,-41.28%
SMCI,"Super Micro Computer, Inc.",49.10,-0.01,-0.01%,18.512M,46.041M,29.307B,26.69,-45.43%
IONQ,"IonQ, Inc.",45.83,+0.86,+1.91%,18.395M,21.813M,12.64B,--,+432.19%
NIO,NIO Inc.,3.4900,-0.0100,-0.29%,17.811M,34.898M,7.632B,--,-24.24%
VALE,Vale S.A.,9.93,-0.06,-0.65%,17.597M,34.796M,42.54B,7.19,-12.90%
KO,The Coca-Cola Company,69.24,-1.00,-1.43%,17.527M,15.845M,298.006B,27.81,+11.79%
STLA,Stellantis N.V.,10.23,+0.12,+1.24%,16.859M,16.96M,29.566B,4.72,-49.70%
BMNR,"Bitmine Immersion Technologies, Inc.",61.46,-50.04,-44.88%,16.62M,11.682M,3.172B,--,"+1,338.71%"
GOOG,Alphabet Inc.,178.18,+3.02,+1.72%,16.332M,26.953M,2.157T,19.86,-9.08%
RIOT,"Riot Platforms, Inc.",11.81,+0.24,+2.07%,15.641M,35.509M,4.219B,--,+26.31%
ACHR,Archer Aviation Inc.,10.51,+0.14,+1.30%,15.599M,34.357M,5.767B,--,+136.22%
HL,Hecla Mining Company,5.74,+0.15,+2.77%,15.435M,22.138M,3.634B,47.88,+1.27%
ABEV,Ambev S.A.,2.3950,-0.0150,-0.62%,15.128M,32.473M,38.352B,14.09,+13.68%
CLSK,"CleanSpark, Inc.",11.88,+0.28,+2.41%,15.05M,27.164M,3.338B,--,-23.58%
FCX,Freeport-McMoRan Inc.,45.91,-0.36,-0.78%,14.814M,13.694M,65.936B,37.63,-10.31%
OSCR,"Oscar Health, Inc.",16.58,+0.03,+0.21%,14.81M,14.657M,4.224B,41.46,+0.98%
BE,Bloom Energy Corporation,28.87,+4.57,+18.79%,14.508M,5.572M,6.704B,"1,443.33",+89.84%
BABA,Alibaba Group Holding Limited,104.01,-3.98,-3.68%,14.128M,15.102M,250.553B,13.91,+42.07%
T,AT&T Inc.,28.04,-0.25,-0.87%,13.431M,32.611M,201.93B,17.20,+50.96%
MO,"Altria Group, Inc.",57.15,-2.40,-4.02%,13.289M,8.438M,96.258B,9.59,+26.87%
NOK,Nokia Oyj,5.10,-0.05,-0.97%,13.498M,17.176M,27.703B,19.61,+30.05%
IREN,IREN Limited,17.02,+0.13,+0.77%,13.255M,19.311M,4.117B,--,+30.93%
EQX,Equinox Gold Corp.,5.90,+0.03,+0.51%,13.249M,14.62M,4.452B,8.31,-0.68%
JOBY,"Joby Aviation, Inc.",11.60,+0.21,+1.89%,13.069M,21.524M,9.766B,--,+119.46%
PCG,PG&E Corporation,13.44,-0.23,-1.65%,12.659M,22.435M,29.548B,12.33,-22.51%
BCS,Barclays PLC,18.56,+0.25,+1.34%,12.132M,14.42M,65.59B,9.05,+60.61%
VZ,Verizon Communications Inc.,42.66,-0.40,-0.93%,12.15M,18.113M,179.865B,10.16,+4.82%
CNC,Centene Corporation,32.76,+0.16,+0.49%,12.015M,7.523M,16.301B,4.83,-51.10%
CCL,Carnival Corporation & plc,28.95,+0.11,+0.38%,11.85M,25.304M,39.253B,15.16,+62.57%
MRVL,"Marvell Technology, Inc.",71.92,-0.03,-0.04%,11.541M,21.078M,62.009B,--,-3.91%
RUN,Sunrun Inc.,10.72,+0.88,+8.90%,11.67M,23.235M,2.448B,--,-29.31%
U,Unity Software Inc.,29.14,-0.26,-0.88%,11.204M,11.929M,12.113B,--,+91.16%
MU,"Micron Technology, Inc.",122.21,-2.21,-1.78%,11.213M,22.239M,136.769B,22.02,-8.78%
MSFT,Microsoft Corporation,500.91,+4.29,+0.86%,11.079M,21.093M,3.723T,38.65,+6.51%
BA,The Boeing Company,229.15,+10.63,+4.86%,10.993M,8.573M,172.78B,--,+18.94%
FSM,Fortuna Mining Corp.,6.56,+0.30,+4.78%,10.829M,16.105M,2.017B,12.61,+18.56%
RKT,"Rocket Companies, Inc.",13.85,+0.11,+0.76%,10.222M,12.873M,27.514B,692.25,+1.63%
AVGO,Broadcom Inc.,277.84,+6.04,+2.22%,10.205M,23.097M,1.307T,101.03,+55.79%
MBLY,Mobileye Global Inc.,17.57,-1.07,-5.74%,10.193M,3.62M,14.267B,--,-30.32%
CLF,Cleveland-Cliffs Inc.,8.88,0.00,0.00%,10.175M,30.979M,4.393B,--,-42.34%
QUBT,Quantum Computing Inc.,19.12,-0.23,-1.17%,10.133M,27.028M,3.02B,--,"+3,288.79%"
RKLB,Rocket Lab Corporation,38.54,-0.20,-0.52%,9.832M,20.628M,17.784B,--,+655.17%
AMCR,Amcor plc,9.80,-0.02,-0.25%,9.758M,36.765M,22.444B,17.49,+0.72%
HBAN,Huntington Bancshares Incorporated,17.47,-0.01,-0.06%,9.743M,24.221M,25.45B,13.44,+33.74%
GME,GameStop Corp.,23.17,+0.42,+1.87%,9.624M,14.559M,10.365B,43.72,-8.89%
LYFT,"Lyft, Inc.",15.88,-0.58,-3.50%,9.576M,16.306M,6.678B,105.83,+27.22%
RIVN,"Rivian Automotive, Inc.",13.18,+0.05,+0.34%,9.483M,29.882M,15.783B,--,-19.79%
JD,"JD.com, Inc.",31.56,-1.15,-3.50%,8.995M,12.06M,45.528B,7.66,+22.20%
JNPR,"Juniper Networks, Inc.",39.95,+0.02,+0.05%,8.491M,2.852M,13.359B,38.05,+8.15%
MRK,"Merck & Co., Inc.",83.97,+2.60,+3.20%,8.423M,16.276M,210.839B,12.20,-36.08%
PBR,Petróleo Brasileiro S.A. - Petrobras,12.98,-0.15,-1.10%,8.355M,24.485M,79.232B,9.69,-13.28%
WFC,Wells Fargo & Company,81.79,+0.20,+0.25%,8.302M,17.521M,266.159B,14.71,+36.62%
KGC,Kinross Gold Corporation,15.38,+0.19,+1.22%,8.224M,21.152M,18.898B,15.69,+69.72%
INFY,Infosys Limited,18.78,-0.11,-0.58%,8.035M,11.356M,78.613B,24.71,-2.48%
ITUB,Itaú Unibanco Holding S.A.,6.72,-0.09,-1.40%,7.982M,29.337M,69.111B,9.46,+20.82%
IAG,IAMGOLD Corporation,6.95,+0.06,+0.88%,7.941M,16.567M,4.007B,4.76,+64.44%
UNH,UnitedHealth Group Incorporated,302.11,-5.60,-1.82%,7.875M,17.858M,274.052B,12.65,-38.57%
ROIV,Roivant Sciences Ltd.,11.32,+0.47,+4.28%,7.865M,6.259M,7.699B,--,-3.47%
CSCO,"Cisco Systems, Inc.",68.84,+0.25,+0.36%,7.821M,20.828M,272.606B,28.10,+48.24%
AGNC,AGNC Investment Corp.,9.48,+0.06,+0.64%,7.786M,29.458M,9.673B,26.33,-4.85%
KEY,KeyCorp,18.50,+0.02,+0.14%,7.721M,13.609M,20.278B,--,+25.97%
