Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,10.21,+1.29 +14.46% 691.249M 314.24M 7.514B -- +305.45%,0.51,10.87
PLUG,Plug Power Inc.,2.0100,+0.3300 +19.64% 203.967M 61.981M 2.321B -- -20.00%,0.69,3.32
NVDA,NVIDIA Corporation,170.29,-4.55 -2.60% 204.378M 173.394M 4.146T 48.38 +54.26%,86.62,184.48
BBAI,"BigBear.ai Holdings, Inc.",6.01,+0.07 +1.18% 137.67M 119.173M 2.228B -- +280.77%,1.36,10.36
SNAP,Snap Inc.,7.99,+0.25 +3.17% 137.291M 56.93M 13.493B -- -19.96%,6.90,13.28
QBTS,D-Wave Quantum Inc.,22.53,"+3.55 +18.70% 119.274M 40.9M 7.706B -- +1,864.80%",0.87,22.85
NIO,NIO Inc.,7.45,+0.43 +6.13% 118.11M 74.236M 16.822B -- +39.84%,3.02,7.71
AAL,American Airlines Group Inc.,12.48,+0.07 +0.56% 106.817M 68.678M 8.235B 14.86 +12.51%,8.50,19.10
GRAB,Grab Holdings Limited,6.10,-0.22 -3.48% 107.921M 38.92M 24.867B 305.00 +72.68%,3.36,6.42
TSLA,"Tesla, Inc.",425.86,+4.24 +1.01% 103.425M 91.829M 1.374T 251.99 +85.57%,212.11,488.54
LYFT,"Lyft, Inc.",22.84,+2.65 +13.13% 97.169M 18.703M 9.283B 99.30 +65.90%,9.66,23.50
SOUN,"SoundHound AI, Inc.",15.12,+0.43 +2.93% 81.975M 54.18M 6.164B -- +202.89%,4.45,24.98
MARA,"MARA Holdings, Inc.",17.34,-0.19 -1.08% 78.462M 50.089M 6.424B 9.32 +14.28%,9.81,30.28
RGTI,"Rigetti Computing, Inc.",21.99,"+1.99 +9.95% 75.325M 42.097M 7.128B -- +2,339.02%",0.71,22.13
SOFI,"SoFi Technologies, Inc.",27.14,-0.28 -1.02% 70.206M 72.818M 32.499B 54.28 +238.10%,7.57,27.88
DNN,Denison Mines Corp.,2.5304,+0.0304 +1.22% 67.556M 79.06M 2.279B -- +64.47%,1.08,2.61
PLTR,Palantir Technologies Inc.,168.33,-1.93 -1.13% 67.711M 69.567M 399.336B 543.00 +368.00%,35.71,190.00
BBD,Banco Bradesco S.A.,3.3000,+0.0900 +2.80% 64.549M 34.361M 32.115B 9.43 +15.88%,1.84,3.34
F,Ford Motor Company,11.66,+0.05 +0.43% 64.612M 67.242M 46.405B 14.95 +5.74%,8.44,11.99
BMNR,"Bitmine Immersion Technologies, Inc.",57.07,+1.14 +2.04% 61.147M 41.526M 9.901B -- +621.68%,3.92,161.00
INTC,Intel Corporation,24.90,-0.37 -1.46% 57.999M 97.591M 116.29B -- +21.67%,17.67,27.55
JOBY,"Joby Aviation, Inc.",14.16,-0.23 -1.60% 51.991M 35.425M 12.121B -- +176.73%,4.78,20.95
BTG,B2Gold Corp.,4.3400,+0.0200 +0.46% 51.279M 37.598M 5.742B -- +32.52%,2.20,4.60
RIVN,"Rivian Automotive, Inc.",14.11,-0.21 -1.47% 47.112M 39.784M 17.122B -- +11.01%,9.50,17.15
NU,Nu Holdings Ltd.,15.98,+0.09 +0.57% 43.419M 62.426M 77.221B 34.00 +7.00%,9.01,16.15
WBD,"Warner Bros. Discovery, Inc.",17.99,-0.26 -1.42% 48.931M 70.601M 44.539B 58.03 +116.75%,7.25,19.60
IONQ,"IonQ, Inc.",65.42,+3.16 +5.08% 42.539M 20.348M 19.474B -- +695.15%,7.50,66.39
PFE,Pfizer Inc.,24.04,+0.14 +0.59% 42.128M 41.868M 136.681B 12.72 -19.66%,20.92,30.43
RIOT,"Riot Platforms, Inc.",17.62,+0.11 +0.63% 42.87M 40.399M 6.513B -- +144.35%,6.19,17.88
SKX,"Skechers U.S.A., Inc.",63.13,-0.07 -0.11% 41.046M 3.887M 9.487B 14.41 -7.31%,44.50,78.85
ABEV,Ambev S.A.,2.3650,+0.0050 +0.21% 40.656M 32.298M 36.876B 13.91 -1.26%,1.76,2.64
QS,QuantumScape Corporation,10.26,+0.11 +1.05% 40.63M 46.922M 5.806B -- +75.00%,3.40,15.03
UBER,"Uber Technologies, Inc.",92.97,-4.86 -4.97% 40.128M 17.909M 193.881B 15.84 +33.10%,59.33,99.70
AMZN,"Amazon.com, Inc.",231.62,-2.43 -1.04% 39.408M 42.304M 2.47T 35.36 +25.54%,161.38,242.52
WULF,TeraWulf Inc.,11.35,+0.41 +3.75% 39.171M 53.805M 4.63B -- +169.46%,2.06,11.53
ACHR,Archer Aviation Inc.,9.02,-0.09 -1.04% 37.267M 33.41M 5.815B -- +197.71%,2.82,13.92
AMD,"Advanced Micro Devices, Inc.",159.16,-1.30 -0.81% 39.283M 56.06M 258.292B 95.31 +8.21%,76.48,186.65
PSLV,Sprott Physical Silver Trust,14.11,-0.30 -2.08% 36.954M 26.155M 7.83B 6.19 +43.38%,9.60,14.56
NOK,Nokia Oyj,4.6900,+0.0800 +1.74% 34.93M 21.438M 25.228B 24.68 +10.02%,3.91,5.48
AAPL,Apple Inc.,238.99,+0.84 +0.35% 45.855M 55.312M 3.547T 36.21 +7.91%,169.21,260.10
VALE,Vale S.A.,10.88,-0.03 -0.32% 34.092M 39.602M 46.423B 8.91 +3.61%,8.06,12.05
QUBT,Quantum Computing Inc.,17.71,"+0.84 +4.98% 33.823M 19.24M 2.832B -- +2,433.03%",0.64,27.15
RKT,"Rocket Companies, Inc.",21.18,+0.41 +1.97% 31.97M 21.199M 44.704B -- +1.71%,10.06,22.56
BAC,Bank of America Corporation,51.40,+0.74 +1.47% 32.077M 38.802M 380.754B 15.07 +27.86%,33.07,51.63
IREN,IREN Limited,37.90,+1.45 +3.98% 32.157M 29.546M 10.308B 97.18 +372.15%,5.13,38.48
CIFR,Cipher Mining Inc.,12.38,+0.87 +7.56% 32.483M 36.198M 4.869B -- +296.90%,1.86,12.66
HOOD,"Robinhood Markets, Inc.",118.64,+1.26 +1.07% 32.595M 45.852M 105.432B 60.22 +411.46%,22.05,123.44
INFY,Infosys Limited,17.69,+0.63 +3.69% 30.818M 17.053M 73.716B 22.97 -24.11%,15.82,23.63
GOOGL,Alphabet Inc.,249.53,-1.63 -0.65% 33.213M 39.092M 3.019T 26.63 +57.16%,140.53,253.04
RIG,Transocean Ltd.,3.4093,-0.0607 -1.75% 30.077M 28.98M 3.215B -- -24.07%,1.97,4.76
ITUB,Itaú Unibanco Holding S.A.,7.28,+0.14 +1.89% 29.406M 28.801M 73.406B 9.70 +16.70%,4.42,7.36
BABA,Alibaba Group Holding Limited,166.09,+3.88 +2.39% 28.132M 16.61M 395.96B 19.18 +92.15%,80.06,167.32
KEY,KeyCorp,18.71,+0.08 +0.43% 26.94M 26.586M 20.516B -- +12.30%,12.73,20.04
CLSK,"CleanSpark, Inc.",11.44,+0.24 +2.14% 27.373M 23.163M 3.216B 13.30 +26.70%,6.45,17.97
JD,"JD.com, Inc.",35.24,+0.53 +1.53% 27.507M 11.81M 49.97B 9.82 +28.94%,26.67,47.82
B,Barrick Mining Corporation,29.50,+0.66 +2.29% 26.483M 13.882M 50.327B 18.55 +43.77%,15.11,29.89
HBAN,Huntington Bancshares Incorporated,17.54,+0.27 +1.53% 27.781M 31.044M 25.589B 13.09 +19.71%,11.92,18.45
HL,Hecla Mining Company,11.03,-0.32 -2.78% 26.229M 23.131M 7.393B 68.97 +73.81%,4.46,11.90
RXRX,"Recursion Pharmaceuticals, Inc.",4.7100,-0.1300 -2.69% 26.984M 24.046M 2.056B -- -29.96%,3.79,12.36
HIMS,"Hims & Hers Health, Inc.",50.34,-0.55 -1.08% 25.698M 35.956M 11.378B 63.72 +212.02%,15.73,72.98
ROIV,Roivant Sciences Ltd.,15.28,+1.10 +7.76% 26.785M 6.351M 10.434B -- +18.17%,8.73,16.05
AVGO,Broadcom Inc.,346.17,-13.83 -3.84% 28.587M 21.687M 1.635T 88.99 +122.68%,138.10,374.23
