Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
PROK,ProKidney Corp.,4.4650,+0.7350,+19.71%,187.868M,6.78M,2.169B,--,+49.20%
NVDA,NVIDIA Corporation,163.20,+3.20,+2.00%,110.906M,219.648M,3.98T,52.65,+18.60%
LCID,"Lucid Group, Inc.",2.3050,+0.0050,+0.22%,70.404M,129.106M,7.031B,--,-26.98%
VRNA,Verona Pharma plc,104.77,+17.91,+20.62%,53.927M,1.29M,8.903B,--,+384.44%
TSLA,"Tesla, Inc.",295.53,-2.28,-0.77%,46.053M,114.799M,951.891B,167.91,+13.12%
SOUN,"SoundHound AI, Inc.",12.81,+0.10,+0.83%,45.898M,32.746M,5.148B,--,+150.69%
AAL,American Airlines Group Inc.,11.41,-0.16,-1.42%,45.095M,58.298M,7.528B,11.41,+3.86%
AES,The AES Corporation,13.01,+1.94,+17.48%,39.818M,16.715M,9.259B,7.07,-38.23%
PLTR,Palantir Technologies Inc.,140.49,+0.78,+0.56%,38.636M,93.16M,331.546B,638.60,+391.59%
SOFI,"SoFi Technologies, Inc.",19.99,+0.04,+0.21%,37.121M,66.689M,22.098B,46.49,+203.65%
QS,QuantumScape Corporation,8.37,+0.19,+2.32%,36.978M,21.579M,4.678B,--,+51.20%
F,Ford Motor Company,11.85,+0.17,+1.46%,35.708M,104.899M,47.122B,9.48,-11.31%
INTC,Intel Corporation,23.24,-0.35,-1.50%,33.286M,84.682M,101.351B,--,-32.35%
WBD,"Warner Bros. Discovery, Inc.",11.64,+0.23,+2.02%,29.053M,46.944M,28.798B,--,+55.87%
NU,Nu Holdings Ltd.,13.71,+0.12,+0.88%,28.64M,59.912M,66.143B,31.16,+2.88%
QBTS,D-Wave Quantum Inc.,16.17,+0.18,+1.13%,28.188M,66.438M,5.053B,--,"+1,210.66%"
HOOD,"Robinhood Markets, Inc.",93.89,+2.62,+2.87%,27.571M,43.647M,82.846B,53.65,+308.92%
CORZ,"Core Scientific, Inc.",13.81,-0.21,-1.49%,27.282M,15.932M,4.194B,--,+43.50%
HIMS,"Hims & Hers Health, Inc.",50.19,+1.23,+2.51%,26.313M,46.175M,11.234B,73.81,+142.26%
GRAB,Grab Holdings Limited,5.05,+0.24,+5.10%,27.114M,35.112M,20.806B,504.50,+34.08%
AG,First Majestic Silver Corp.,8.43,+0.44,+5.44%,25.134M,24.268M,4.094B,--,+22.55%
RXRX,"Recursion Pharmaceuticals, Inc.",5.57,+0.21,+3.91%,23.737M,25.975M,2.264B,--,-25.86%
CIFR,Cipher Mining Inc.,6.30,+0.27,+4.56%,23.564M,25.653M,2.34B,--,+36.12%
AMD,"Advanced Micro Devices, Inc.",138.30,+0.48,+0.35%,23.182M,45.331M,224.24B,101.69,-25.08%
AAPL,Apple Inc.,208.16,-1.85,-0.88%,23.12M,56.833M,3.109T,32.37,-9.86%
SNAP,Snap Inc.,9.23,-0.09,-0.91%,22.657M,37.615M,15.433B,--,-44.66%
GOOGL,Alphabet Inc.,177.52,+3.16,+1.81%,22.62M,40.492M,2.159T,19.81,-8.80%
CNH,CNH Industrial N.V.,13.64,-0.06,-0.47%,22.383M,18.501M,17.036B,17.04,+43.01%
BBD,Banco Bradesco S.A.,3.0550,-0.0050,-0.16%,21.713M,40.592M,29.938B,9.85,+29.11%
MARA,"MARA Holdings, Inc.",18.00,+0.48,+2.77%,21.659M,44.517M,6.336B,--,-7.25%
BTG,B2Gold Corp.,3.5750,+0.0550,+1.56%,21.433M,51.992M,4.733B,--,+23.94%
RGTI,"Rigetti Computing, Inc.",13.31,-0.07,-0.49%,21.328M,48.652M,4.297B,--,"+1,138.89%"
ERIC,Telefonaktiebolaget LM Ericsson (publ),8.19,-0.34,-3.98%,20.88M,23.639M,27.597B,163.90,+32.61%
BAC,Bank of America Corporation,46.76,-0.39,-0.83%,20.063M,42.417M,352.191B,13.96,+12.96%
AMZN,"Amazon.com, Inc.",222.90,+3.54,+1.61%,19.714M,44.588M,2.366T,36.30,+9.80%
PFE,Pfizer Inc.,25.42,-0.20,-0.78%,18.225M,44.221M,144.523B,18.42,-9.63%
SMCI,"Super Micro Computer, Inc.",49.42,+0.31,+0.62%,17.74M,46.041M,29.492B,26.86,-45.43%
RIG,Transocean Ltd.,2.8500,-0.0800,-2.73%,17.561M,41.377M,2.517B,--,-41.28%
IONQ,"IonQ, Inc.",45.67,+0.70,+1.57%,17.453M,21.813M,12.597B,--,+432.19%
NIO,NIO Inc.,3.4835,-0.0165,-0.47%,17.394M,34.898M,7.617B,--,-24.24%
KO,The Coca-Cola Company,69.19,-1.04,-1.49%,16.958M,15.845M,297.834B,27.79,+11.79%
STLA,Stellantis N.V.,10.22,+0.11,+1.04%,16.46M,16.96M,29.508B,4.71,-49.70%
VALE,Vale S.A.,9.91,-0.07,-0.75%,16.606M,34.796M,42.497B,7.18,-12.90%
BMNR,"Bitmine Immersion Technologies, Inc.",60.04,-51.46,-46.15%,16.153M,11.682M,3.099B,--,"+1,338.71%"
GOOG,Alphabet Inc.,178.49,+3.33,+1.90%,15.579M,26.953M,2.16T,19.90,-9.08%
ABEV,Ambev S.A.,2.3950,-0.0150,-0.62%,14.575M,32.473M,38.352B,14.09,+13.68%
HL,Hecla Mining Company,5.76,+0.16,+2.95%,14.501M,22.138M,3.64B,47.96,+1.27%
BE,Bloom Energy Corporation,28.72,+4.42,+18.16%,14.027M,5.572M,6.668B,"1,435.75",+89.84%
BABA,Alibaba Group Holding Limited,104.10,-3.89,-3.60%,13.556M,15.102M,250.765B,13.92,+42.07%
OSCR,"Oscar Health, Inc.",16.84,+0.30,+1.78%,13.513M,14.657M,4.29B,42.11,+0.98%
ACHR,Archer Aviation Inc.,10.49,+0.12,+1.11%,13.651M,34.357M,5.756B,--,+136.22%
NOK,Nokia Oyj,5.09,-0.06,-1.07%,13.135M,17.176M,27.677B,19.60,+30.05%
FCX,Freeport-McMoRan Inc.,45.69,-0.58,-1.26%,13.105M,13.694M,65.613B,37.45,-10.31%
RIOT,"Riot Platforms, Inc.",11.88,+0.31,+2.64%,13.277M,35.509M,4.243B,--,+26.31%
MO,"Altria Group, Inc.",57.18,-2.36,-3.96%,12.812M,8.438M,96.317B,9.59,+26.87%
T,AT&T Inc.,28.06,-0.24,-0.83%,12.7M,32.611M,202.017B,17.21,+50.96%
IREN,IREN Limited,17.10,+0.21,+1.21%,12.506M,19.311M,4.135B,--,+30.93%
CLSK,"CleanSpark, Inc.",11.88,+0.28,+2.39%,12.447M,27.164M,3.337B,--,-23.58%
EQX,Equinox Gold Corp.,5.91,+0.04,+0.60%,12.784M,14.62M,4.456B,8.32,-0.68%
PCG,PG&E Corporation,13.45,-0.22,-1.61%,11.976M,22.435M,29.559B,12.34,-22.51%
BCS,Barclays PLC,18.51,+0.20,+1.09%,11.785M,14.42M,65.429B,9.03,+60.61%
JOBY,"Joby Aviation, Inc.",11.63,+0.24,+2.06%,12.028M,21.524M,9.783B,--,+119.46%
VZ,Verizon Communications Inc.,42.60,-0.46,-1.07%,11.603M,18.113M,179.612B,10.14,+4.82%
CNC,Centene Corporation,32.55,-0.05,-0.15%,11.336M,7.523M,16.197B,4.80,-51.10%
MRVL,"Marvell Technology, Inc.",71.98,+0.03,+0.04%,11.133M,21.078M,62.061B,--,-3.91%
U,Unity Software Inc.,29.23,-0.17,-0.58%,10.855M,11.929M,12.151B,--,+91.16%
MU,"Micron Technology, Inc.",122.44,-1.97,-1.59%,10.556M,22.239M,137.032B,22.06,-8.78%
MSFT,Microsoft Corporation,500.90,+4.28,+0.86%,10.55M,21.093M,3.723T,38.65,+6.51%
RUN,Sunrun Inc.,10.44,+0.60,+6.05%,10.416M,23.235M,2.384B,--,-29.31%
CCL,Carnival Corporation & plc,28.94,+0.10,+0.34%,10.448M,25.304M,39.236B,15.15,+62.57%
BA,The Boeing Company,228.62,+10.10,+4.62%,10.292M,8.573M,172.381B,--,+18.94%
FSM,Fortuna Mining Corp.,6.57,+0.30,+4.87%,9.994M,16.105M,2.019B,12.63,+18.56%
RKT,"Rocket Companies, Inc.",13.98,+0.24,+1.78%,9.82M,12.873M,27.792B,699.25,+1.63%
QUBT,Quantum Computing Inc.,19.16,-0.19,-0.98%,9.62M,27.028M,3.026B,--,"+3,288.79%"
RKLB,Rocket Lab Corporation,38.60,-0.14,-0.36%,9.458M,20.628M,17.811B,--,+655.17%
AMCR,Amcor plc,9.77,-0.05,-0.46%,9.423M,36.765M,22.398B,17.46,+0.72%
CLF,Cleveland-Cliffs Inc.,8.84,-0.04,-0.49%,9.336M,30.979M,4.371B,--,-42.34%
GME,GameStop Corp.,23.24,+0.49,+2.13%,9.249M,14.559M,10.394B,43.84,-8.89%
LYFT,"Lyft, Inc.",15.88,-0.57,-3.47%,9.212M,16.306M,6.68B,105.87,+27.22%
AVGO,Broadcom Inc.,278.29,+6.49,+2.39%,9.187M,23.097M,1.309T,101.20,+55.79%
MBLY,Mobileye Global Inc.,17.43,-1.21,-6.49%,9.225M,3.62M,14.153B,--,-30.32%
JNPR,"Juniper Networks, Inc.",39.95,+0.02,+0.05%,8.491M,2.852M,13.359B,38.05,+8.15%
HBAN,Huntington Bancshares Incorporated,17.42,-0.06,-0.37%,8.882M,24.221M,25.37B,13.40,+33.74%
RIVN,"Rivian Automotive, Inc.",13.15,+0.02,+0.19%,8.749M,29.882M,15.759B,--,-19.79%
JD,"JD.com, Inc.",31.55,-1.16,-3.53%,8.705M,12.06M,45.513B,7.66,+22.20%
PBR,Petróleo Brasileiro S.A. - Petrobras,12.94,-0.19,-1.41%,7.989M,24.485M,78.988B,9.66,-13.28%
MRK,"Merck & Co., Inc.",83.90,+2.53,+3.11%,7.911M,16.276M,210.638B,12.19,-36.08%
INFY,Infosys Limited,18.76,-0.12,-0.66%,7.597M,11.356M,78.55B,24.69,-2.48%
KGC,Kinross Gold Corporation,15.38,+0.19,+1.25%,7.549M,21.152M,18.904B,15.69,+69.72%
AGNC,AGNC Investment Corp.,9.47,+0.05,+0.53%,7.548M,29.458M,9.663B,26.31,-4.85%
ITUB,Itaú Unibanco Holding S.A.,6.72,-0.09,-1.39%,7.539M,29.337M,69.163B,9.46,+20.82%
ROIV,Roivant Sciences Ltd.,11.24,+0.39,+3.55%,7.44M,6.259M,7.644B,--,-3.47%
IAG,IAMGOLD Corporation,6.97,+0.08,+1.09%,7.373M,16.567M,4.015B,4.77,+64.44%
WFC,Wells Fargo & Company,81.61,+0.02,+0.02%,7.698M,17.521M,265.557B,14.68,+36.62%
KEY,KeyCorp,18.44,+0.06,+0.33%,7.352M,13.609M,20.215B,--,+25.97%
CSCO,"Cisco Systems, Inc.",68.79,+0.20,+0.29%,7.349M,20.828M,272.428B,28.08,+48.24%
DOW,Dow Inc.,29.68,+1.22,+4.29%,7.197M,10.649M,20.976B,74.19,-43.80%
UNH,UnitedHealth Group Incorporated,300.51,-13.51,-4.30%,7.154M,17.858M,272.6B,12.58,-38.57%
OKLO,Oklo Inc.,53.79,-0.16,-0.31%,7.205M,18.713M,7.929B,--,+587.92%
KDP,Keurig Dr Pepper Inc.,33.42,-0.60,-1.78%,7.154M,11.909M,45.397B,30.39,+6.51%
SAN,"Banco Santander, S.A.",8.88,+0.19,+2.13%,7.088M,6.181M,131.938B,9.34,+79.55%
META,"Meta Platforms, Inc.",736.05,+15.38,+2.13%,6.917M,14.061M,1.851T,28.77,+34.78%
UBER,"Uber Technologies, Inc.",96.82,-0.66,-0.68%,6.791M,21.938M,202.467B,16.96,+40.72%
ENVX,Enovix Corporation,13.94,+0.51,+3.76%,6.742M,5.342M,2.677B,--,-23.20%
COIN,"Coinbase Global, Inc.",364.95,+10.12,+2.85%,6.65M,12.929M,92.953B,68.60,+61.61%
UEC,Uranium Energy Corp.,6.05,-0.27,-4.19%,6.407M,12.45M,2.691B,--,-2.47%
ET,Energy Transfer LP,17.66,-0.14,-0.81%,6.376M,13.598M,60.588B,13.38,+9.34%
NGD,New Gold Inc.,4.7908,+0.0508,+1.07%,6.3M,25.737M,3.81B,26.62,+99.16%
NBIS,Nebius Group N.V.,46.38,-0.72,-1.52%,6.272M,11.902M,11.121B,--,+135.50%
AEG,Aegon Ltd.,7.07,+0.01,+0.21%,6.241M,12.079M,11.341B,16.06,+11.02%
NCLH,Norwegian Cruise Line Holdings Ltd.,21.88,+0.24,+1.09%,6.247M,15.472M,9.774B,12.43,+15.41%
PG,The Procter & Gamble Company,156.52,-1.37,-0.87%,6.248M,8.294M,366.967B,24.84,-5.34%
KHC,The Kraft Heinz Company,26.17,-0.26,-0.96%,6.134M,12.228M,30.979B,11.95,-17.20%
ASTS,"AST SpaceMobile, Inc.",44.14,-1.32,-2.91%,6.074M,12.756M,14.935B,--,+282.66%
WMT,Walmart Inc.,97.00,-0.09,-0.09%,5.985M,18.054M,774.101B,41.45,+37.89%
MRNA,"Moderna, Inc.",32.73,+0.19,+0.58%,5.741M,10.833M,12.658B,--,-72.29%
JPM,JPMorgan Chase & Co.,282.85,+0.07,+0.02%,5.677M,9.143M,786.052B,13.87,+36.08%
DAL,"Delta Air Lines, Inc.",50.21,-0.31,-0.61%,5.657M,10.349M,32.785B,8.90,+7.81%
ANET,Arista Networks Inc,106.21,+2.82,+2.73%,5.687M,10.054M,133.398B,44.82,+13.69%
HLN,Haleon plc,10.03,-0.02,-0.15%,5.439M,16.259M,45.466B,23.34,+15.12%
PSLV,Sprott Physical Silver Trust,12.42,-0.05,-0.43%,5.379M,33.005M,6.543B,4.08,+18.99%
SLB,Schlumberger Limited,36.25,-0.29,-0.79%,5.329M,15.164M,48.972B,12.29,-19.30%
SAND,Sandstorm Gold Ltd.,9.84,+0.09,+0.92%,5.402M,6.285M,2.897B,98.40,+71.65%
