Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,164.92,+0.82,+0.50%,190.872M,212.985M,4.022T,53.20,+26.97%
NIO,NIO Inc.,3.9000,+0.2100,+5.69%,138.663M,34.405M,8.346B,--,-24.23%
SOFI,"SoFi Technologies, Inc.",21.20,+0.23,+1.10%,91.476M,67.553M,23.434B,49.30,+200.86%
LCID,"Lucid Group, Inc.",2.2900,-0.0400,-1.72%,84.685M,128.268M,6.985B,--,-45.18%
AAL,American Airlines Group Inc.,12.22,-0.72,-5.56%,83.23M,59.608M,8.059B,12.22,+21.16%
TSLA,"Tesla, Inc.",313.51,+3.64,+1.17%,77.5M,112.621M,1.01T,180.18,+24.83%
WBD,"Warner Bros. Discovery, Inc.",11.73,+0.08,+0.69%,69.408M,46.927M,29.021B,--,+57.43%
F,Ford Motor Company,11.78,-0.13,-1.09%,61.474M,101.926M,46.844B,9.42,-15.11%
NU,Nu Holdings Ltd.,12.83,-0.20,-1.53%,61.016M,61.005M,61.897B,29.16,-2.83%
HOOD,"Robinhood Markets, Inc.",98.34,-0.36,-0.36%,59.925M,43.257M,86.778B,56.19,+343.00%
OSCR,"Oscar Health, Inc.",14.38,-1.15,-7.41%,54.705M,15.636M,3.662B,35.95,-5.99%
QS,QuantumScape Corporation,9.23,+0.14,+1.54%,54.136M,22.962M,5.159B,--,+10.18%
MARA,"MARA Holdings, Inc.",19.14,+0.15,+0.77%,54.212M,44.847M,6.736B,--,-8.52%
PLTR,Palantir Technologies Inc.,142.10,-0.40,-0.28%,51.797M,91.715M,335.343B,617.83,+407.66%
KHC,The Kraft Heinz Company,27.14,+0.67,+2.53%,52.311M,12.366M,32.121B,12.39,-17.46%
AMD,"Advanced Micro Devices, Inc.",146.42,+2.26,+1.57%,49.701M,44.913M,237.405B,106.88,-20.62%
INKT,"MiNK Therapeutics, Inc.",64.17,+56.44,+730.14%,47.239M,"7,585",255.76M,--,-30.98%
AMZN,"Amazon.com, Inc.",225.02,+2.76,+1.24%,50.189M,43.749M,2.389T,36.71,+14.28%
VALE,Vale S.A.,10.14,+0.18,+1.81%,45.456M,34.954M,43.285B,7.35,-13.54%
INTC,Intel Corporation,23.43,-0.39,-1.64%,48.765M,82.473M,102.202B,--,-30.94%
ITUB,Itaú Unibanco Holding S.A.,6.30,-0.07,-1.10%,39.767M,29.349M,67.326B,8.75,+13.20%
MP,MP Materials Corp.,45.11,-0.12,-0.27%,37.029M,11.151M,7.374B,--,+189.56%
BBD,Banco Bradesco S.A.,2.9000,-0.0200,-0.68%,36.819M,40.786M,29.318B,9.35,+24.79%
SOUN,"SoundHound AI, Inc.",11.57,-0.72,-5.86%,37.719M,34.306M,4.648B,--,+98.23%
ACHR,Archer Aviation Inc.,10.51,-0.27,-2.50%,36.668M,34.646M,5.77B,--,+113.47%
BTG,B2Gold Corp.,3.4900,+0.0200,+0.58%,37.068M,51.661M,4.612B,--,+14.14%
T,AT&T Inc.,26.97,-0.65,-2.35%,35.549M,32.211M,194.204B,16.55,+46.84%
AG,First Majestic Silver Corp.,9.27,+0.63,+7.29%,34.329M,24.306M,4.492B,--,+31.11%
PSLV,Sprott Physical Silver Trust,12.95,+0.35,+2.78%,34.178M,30.83M,6.823B,4.26,+19.54%
GOOGL,Alphabet Inc.,180.19,+2.57,+1.45%,34.125M,40.336M,2.193T,20.13,-4.03%
CIFR,Cipher Mining Inc.,5.87,-0.37,-5.93%,34.774M,26.874M,2.179B,--,+33.33%
GRAB,Grab Holdings Limited,5.0000,+0.0800,+1.63%,35.527M,34.759M,20.62B,500.00,+36.29%
HL,Hecla Mining Company,6.32,+0.43,+7.30%,33.623M,21.825M,3.998B,52.67,-2.16%
CLSK,"CleanSpark, Inc.",12.65,-0.25,-1.94%,33.516M,27.403M,3.554B,--,-18.61%
RXRX,"Recursion Pharmaceuticals, Inc.",5.28,-0.43,-7.61%,31.37M,25.127M,2.289B,--,-31.64%
RIOT,"Riot Platforms, Inc.",12.42,-0.17,-1.35%,31.039M,35.96M,4.437B,--,+28.40%
RGTI,"Rigetti Computing, Inc.",12.18,-0.85,-6.52%,29.45M,48.465M,3.931B,--,"+1,106.48%"
JOBY,"Joby Aviation, Inc.",12.04,-0.29,-2.35%,29.228M,21.937M,10.132B,--,+86.54%
QBTS,D-Wave Quantum Inc.,14.81,-1.20,-7.50%,27.637M,66.458M,4.628B,--,"+1,223.14%"
CSX,CSX Corporation,34.10,+0.56,+1.67%,27.199M,14.743M,64.059B,20.30,-0.74%
AAPL,Apple Inc.,211.16,-1.25,-0.59%,39.221M,54.897M,3.154T,32.94,-7.86%
ABEV,Ambev S.A.,2.3500,+0.0100,+0.43%,26.83M,32.776M,38.248B,13.82,+8.84%
STLA,Stellantis N.V.,10.07,-0.30,-2.89%,26.101M,16.86M,29.09B,4.66,-48.94%
BAC,Bank of America Corporation,46.73,-0.24,-0.51%,25.92M,41.356M,351.965B,13.95,+12.94%
RIG,Transocean Ltd.,2.8500,-0.0400,-1.38%,25.804M,40.873M,2.517B,--,-45.47%
SNAP,Snap Inc.,9.11,-0.23,-2.46%,24.926M,37.77M,15.224B,--,-42.27%
SMCI,"Super Micro Computer, Inc.",49.24,-1.12,-2.22%,24.743M,46.085M,29.387B,26.76,-44.66%
NOK,Nokia Oyj,4.9800,-0.0800,-1.58%,24.479M,17.002M,27.154B,19.15,+26.82%
KVUE,Kenvue Inc.,21.34,+0.42,+2.01%,23.346M,18.891M,40.971B,38.11,+14.07%
PFE,Pfizer Inc.,25.65,-0.13,-0.50%,23.368M,43.385M,145.83B,18.59,-10.86%
IREN,IREN Limited,16.23,-0.80,-4.70%,23.223M,19.691M,3.926B,--,+38.34%
IONQ,"IonQ, Inc.",41.81,-4.12,-8.97%,21.795M,21.972M,11.869B,--,+443.55%
