Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,4.6400,+1.0400,+28.89%,383.612M,212.451M,3.415B,--,+60.00%
NIO,NIO Inc.,6.49,+0.95,+17.07%,183.497M,54.086M,13.859B,--,+35.78%
NVDA,NVIDIA Corporation,177.60,+2.62,+1.50%,116.148M,179.997M,4.331T,57.29,+35.26%
LCID,"Lucid Group, Inc.",2.0772,-0.0128,-0.61%,102.766M,138.723M,6.382B,--,-50.24%
INTC,Intel Corporation,24.53,+1.03,+4.40%,87.85M,100.807M,107.39B,--,+14.41%
PLTR,Palantir Technologies Inc.,160.19,+4.01,+2.57%,71.923M,76.647M,380.025B,533.97,+391.44%
SOFI,"SoFi Technologies, Inc.",25.14,+1.81,+7.76%,71.229M,70.96M,30.104B,50.28,+210.24%
TSLA,"Tesla, Inc.",337.42,+17.31,+5.41%,60.096M,100.404M,1.088T,203.27,+45.29%
BMNR,"Bitmine Immersion Technologies, Inc.",54.63,+6.90,+14.46%,60.57M,32.901M,9.478B,--,+515.87%
WULF,TeraWulf Inc.,9.41,+0.22,+2.40%,53.235M,54.324M,3.69B,--,+86.41%
CSX,CSX Corporation,34.82,-1.05,-2.93%,45.895M,17.631M,64.914B,21.36,+6.47%
AAL,American Airlines Group Inc.,13.40,+0.84,+6.64%,40.499M,61.852M,8.845B,15.96,+20.98%
SNAP,Snap Inc.,7.18,+0.12,+1.77%,40.429M,40.942M,12.125B,--,-25.24%
F,Ford Motor Company,11.76,+0.43,+3.75%,39.438M,82.541M,46.783B,15.07,+0.53%
RIVN,"Rivian Automotive, Inc.",12.92,+0.80,+6.60%,37.725M,32.499M,15.678B,--,-13.18%
RIOT,"Riot Platforms, Inc.",13.38,+1.11,+9.05%,36.752M,39.478M,4.946B,--,+44.35%
MARA,"MARA Holdings, Inc.",16.47,+0.95,+6.16%,35.955M,45.683M,6.1B,8.85,-17.01%
SOUN,"SoundHound AI, Inc.",12.54,+0.31,+2.52%,34.829M,43.232M,5.112B,--,+143.14%
NU,Nu Holdings Ltd.,13.85,+0.18,+1.35%,32.644M,64.184M,66.952B,29.48,-5.20%
HOOD,"Robinhood Markets, Inc.",109.71,+3.41,+3.21%,31.065M,44.668M,97.497B,55.69,+403.31%
AMD,"Advanced Micro Devices, Inc.",167.90,+4.19,+2.56%,30.556M,56.25M,272.475B,100.54,+5.63%
BBD,Banco Bradesco S.A.,2.9650,+0.0750,+2.60%,27.145M,37.056M,29.036B,8.72,+0.35%
WBD,"Warner Bros. Discovery, Inc.",11.90,+0.32,+2.76%,26.159M,60.837M,29.474B,38.40,+43.98%
BTG,B2Gold Corp.,3.9750,+0.0750,+1.93%,24.181M,41.157M,5.267B,--,+35.89%
ITUB,Itaú Unibanco Holding S.A.,6.84,+0.20,+3.09%,23.653M,29.213M,69.601B,9.38,+9.01%
BAC,Bank of America Corporation,49.48,+1.22,+2.52%,22.679M,38.455M,366.482B,14.51,+21.35%
VALE,Vale S.A.,10.12,+0.31,+3.21%,22.297M,42.601M,43.221B,8.30,-6.03%
RGTI,"Rigetti Computing, Inc.",14.84,+0.56,+3.96%,22.131M,46.437M,4.809B,--,"+1,377.23%"
QBTS,D-Wave Quantum Inc.,15.51,+0.69,+4.69%,21.97M,51.258M,5.303B,--,"+1,284.11%"
PSLV,Sprott Physical Silver Trust,13.18,+0.25,+1.93%,20.901M,27.289M,6.945B,4.34,+27.39%
AMZN,"Amazon.com, Inc.",227.00,+5.05,+2.28%,19.987M,42.263M,2.421T,34.55,+25.37%
KEY,KeyCorp,18.98,+0.83,+4.57%,19.991M,21.997M,20.812B,--,+6.33%
RIG,Transocean Ltd.,3.0732,+0.2432,+8.59%,19.884M,34.731M,2.898B,--,-43.06%
RKT,"Rocket Companies, Inc.",19.18,+1.60,+9.13%,19.842M,17.44M,40.494B,--,-15.52%
IREN,IREN Limited,21.09,+1.50,+7.66%,19.613M,24.257M,5.101B,--,+127.26%
JOBY,"Joby Aviation, Inc.",14.94,+0.49,+3.43%,19.63M,34.647M,12.793B,--,+182.78%
HIMS,"Hims & Hers Health, Inc.",44.99,+1.03,+2.34%,19.117M,38.753M,10.169B,56.95,+162.76%
APLD,Applied Digital Corporation,16.37,+0.60,+3.80%,18.951M,49.202M,4.281B,--,+246.59%
AAPL,Apple Inc.,228.07,+3.17,+1.41%,19.359M,55.869M,3.385T,34.61,-0.86%
PFE,Pfizer Inc.,25.84,+0.10,+0.39%,18.002M,40.515M,146.914B,13.67,-10.93%
YMM,Full Truck Alliance Co. Ltd.,12.88,+0.78,+6.49%,17.756M,9.31M,13.466B,22.99,+60.56%
HBAN,Huntington Bancshares Incorporated,17.39,+0.73,+4.38%,17.738M,31.207M,25.37B,12.98,+13.88%
PBR,Petróleo Brasileiro S.A. - Petrobras,12.28,+0.34,+2.80%,17.373M,22.88M,76.217B,5.74,-17.01%
CCL,Carnival Corporation & plc,30.86,+1.59,+5.45%,17.022M,22.23M,41.849B,16.16,+76.22%
WMT,Walmart Inc.,97.11,-0.85,-0.87%,17.03M,16.06M,774.979B,36.65,+29.41%
GOOGL,Alphabet Inc.,204.40,+4.65,+2.33%,19.431M,37.397M,2.477T,21.77,+20.61%
INFY,Infosys Limited,17.25,+0.20,+1.20%,16.504M,14.326M,72.14B,22.41,-23.68%
UUUU,Energy Fuels Inc.,10.55,+1.15,+12.18%,16.367M,13.357M,2.436B,--,+91.45%
ACHR,Archer Aviation Inc.,9.78,+0.40,+4.29%,16.07M,38.142M,6.31B,--,+145.55%
T,AT&T Inc.,29.08,-0.36,-1.23%,15.888M,31.537M,207.917B,16.62,+49.21%
IQ,"iQIYI, Inc.",2.4650,+0.1150,+4.89%,15.708M,21.284M,2.374B,61.62,+0.43%
SMCI,"Super Micro Computer, Inc.",43.92,+1.61,+3.81%,15.421M,39.048M,26.212B,26.14,-31.01%
AGNC,AGNC Investment Corp.,9.89,+0.24,+2.54%,15.404M,21.754M,10.298B,32.95,-5.40%
AG,First Majestic Silver Corp.,9.02,+0.31,+3.61%,14.94M,21.63M,4.418B,--,+50.69%
TEM,"Tempus AI, Inc.",81.82,+5.11,+6.66%,13.897M,11.964M,14.214B,38.06,+18.11%
DOW,Dow Inc.,25.11,+1.42,+6.02%,13.484M,14.358M,17.803B,--,-55.74%
MSFT,Microsoft Corporation,506.78,+2.54,+0.50%,13.46M,19.736M,3.767T,37.10,+20.98%
CVE,Cenovus Energy Inc.,16.13,+0.92,+6.05%,13.192M,12.476M,29.121B,15.51,-20.16%
NVO,Novo Nordisk A/S,56.87,+1.42,+2.56%,13.042M,15.192M,253.298B,14.62,-59.52%
COTY,Coty Inc.,3.8950,+0.0850,+2.23%,12.933M,8.732M,3.398B,--,-61.75%
GRAB,Grab Holdings Limited,5.11,+0.10,+2.10%,12.615M,36.422M,20.852B,255.75,+55.11%
CLF,Cleveland-Cliffs Inc.,10.45,+0.39,+3.82%,12.573M,32.757M,5.172B,--,-24.11%
LYFT,"Lyft, Inc.",16.64,+0.83,+5.25%,12.508M,16.153M,6.763B,72.35,+35.36%
PDD,PDD Holdings Inc.,127.09,+4.13,+3.36%,12.178M,7.657M,180.423B,13.62,-12.09%
CIFR,Cipher Mining Inc.,6.18,+0.28,+4.78%,12.162M,31.795M,2.431B,--,+47.50%
XPEV,XPeng Inc.,23.92,+1.17,+5.12%,12.107M,7.153M,20.713B,--,+224.54%
RKLB,Rocket Lab Corporation,44.33,+2.80,+6.74%,11.882M,22.885M,21.385B,--,+496.70%
STLA,Stellantis N.V.,10.11,+0.47,+4.93%,11.787M,20.066M,29.74B,--,-42.62%
GOOG,Alphabet Inc.,205.30,+4.68,+2.34%,12.628M,24.818M,2.477T,21.86,+19.82%
TIGR,UP Fintech Holding Limited,12.69,+1.46,+13.01%,11.602M,5.521M,2.242B,28.20,+179.35%
JHX,James Hardie Industries plc,20.56,+0.77,+3.92%,11.551M,7.846M,11.901B,26.69,-44.61%
HL,Hecla Mining Company,7.89,+0.21,+2.72%,11.516M,21.786M,5.29B,49.34,+24.23%
PCG,PG&E Corporation,15.10,+0.43,+2.90%,11.227M,28.541M,33.176B,13.98,-21.97%
CX,"CEMEX, S.A.B. de C.V.",8.93,+0.14,+1.59%,11.066M,12.653M,12.956B,14.64,+33.59%
OKLO,Oklo Inc.,70.92,+3.73,+5.55%,10.882M,21.138M,10.468B,--,+853.05%
U,Unity Software Inc.,39.34,+3.06,+8.43%,10.773M,15.028M,16.622B,--,+102.91%
AUR,"Aurora Innovation, Inc.",6.09,+0.24,+4.19%,10.708M,22.518M,11.247B,--,+36.05%
NCLH,Norwegian Cruise Line Holdings Ltd.,24.77,+1.41,+6.06%,10.627M,14.781M,11.197B,16.97,+33.49%
CLSK,"CleanSpark, Inc.",9.82,+0.49,+5.31%,10.534M,24.885M,2.762B,11.42,-26.01%
CMCSA,Comcast Corporation,33.99,+0.39,+1.15%,10.498M,20.927M,125.48B,5.64,-15.62%
MSTR,Strategy Inc,356.15,+18.57,+5.50%,10.208M,11.617M,100.942B,24.98,+125.04%
AMCR,Amcor plc,8.73,+0.09,+0.98%,10.266M,26.274M,20.133B,27.30,-22.07%
CORZ,"Core Scientific, Inc.",13.94,+0.15,+1.09%,10.112M,19.362M,4.256B,--,+28.16%
MU,"Micron Technology, Inc.",118.62,+2.83,+2.44%,9.917M,22.035M,132.718B,21.37,+12.58%
IONQ,"IonQ, Inc.",39.56,+2.39,+6.43%,9.89M,22.206M,11.749B,--,+403.66%
RLX,RLX Technology Inc.,2.3900,+0.1500,+6.70%,9.849M,3.182M,2.912B,34.14,+24.44%
STR,Sitio Royalties Corp.,18.12,-0.18,-0.98%,15.913M,1.698M,2.735B,41.18,-17.60%
QS,QuantumScape Corporation,8.16,+0.29,+3.72%,9.601M,42.673M,4.62B,--,+29.02%
ET,Energy Transfer LP,17.61,+0.15,+0.88%,9.751M,13.217M,60.465B,13.65,+8.11%
ZM,Zoom Communications Inc.,81.25,+8.08,+11.05%,9.574M,2.968M,24.591B,24.41,+4.32%
UNH,UnitedHealth Group Incorporated,307.20,+3.85,+1.27%,9.359M,16.624M,278.25B,13.31,-48.10%
HPE,Hewlett Packard Enterprise Company,22.63,+0.81,+3.69%,9.327M,17.905M,29.682B,21.75,+13.59%
VZ,Verizon Communications Inc.,44.65,-0.38,-0.85%,9.282M,17.62M,188.259B,10.38,+9.27%
OSCR,"Oscar Health, Inc.",16.36,+0.94,+6.10%,9.211M,26.347M,4.229B,--,-12.98%
QXO,"QXO, Inc.",20.29,+1.47,+7.81%,9.102M,8.985M,13.68B,2.16,+35.40%
FSM,Fortuna Mining Corp.,7.55,+0.20,+2.65%,8.999M,14.483M,2.323B,13.73,+51.55%
AVGO,Broadcom Inc.,297.59,+7.99,+2.76%,9.029M,20.682M,1.4T,108.21,+74.08%
UPST,"Upstart Holdings, Inc.",69.10,+5.58,+8.78%,8.980M,6.262M,6.652B,--,+51.24%
UBER,"Uber Technologies, Inc.",96.92,+2.69,+2.85%,8.897M,19.616M,202.119B,16.51,+26.82%
UEC,Uranium Energy Corp.,10.52,+0.90,+9.30%,9.213M,15.02M,4.672B,--,+79.14%
NOK,Nokia Oyj,4.3101,+0.0701,+1.65%,8.807M,18.551M,23.184B,22.68,+1.68%
NXE,NexGen Energy Ltd.,7.12,+0.53,+8.12%,8.816M,8.689M,4.07B,--,+2.97%
ABEV,Ambev S.A.,2.2250,+0.0350,+1.60%,8.767M,29.929M,34.848B,13.09,-8.75%
HLN,Haleon plc,9.82,+0.01,+0.15%,8.756M,12.864M,44.715B,21.83,-0.91%
BE,Bloom Energy Corporation,48.56,+3.72,+8.31%,8.724M,8.489M,11.362B,441.41,+277.99%
NGD,New Gold Inc.,5.55,+0.11,+1.96%,8.829M,19.406M,4.416B,27.73,+105.28%
TGT,Target Corporation,98.89,+1.83,+1.89%,8.568M,6.393M,44.935B,11.53,-38.76%
NBIS,Nebius Group N.V.,68.37,+2.19,+3.31%,8.494M,13.976M,16.32B,75.97,+230.90%
COIN,"Coinbase Global, Inc.",320.52,+20.24,+6.74%,8.488M,13.369M,82.353B,30.85,+42.04%
RUN,Sunrun Inc.,15.83,+1.09,+7.39%,8.434M,23.621M,3.653B,--,-31.44%
BABA,Alibaba Group Holding Limited,123.08,+4.99,+4.23%,8.382M,12.717M,294.42B,16.50,+38.26%
RF,Regions Financial Corporation,26.77,+1.03,+4.00%,8.12M,12.21M,23.887B,12.51,+12.85%
FNB,F.N.B. Corporation,16.54,+0.70,+4.42%,8.136M,4.873M,5.94B,12.82,+7.32%
