Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
ORCL,Oracle Corporation,237.32,+7.34,+3.19%,18.441M,12.52M,666.592B,54.68,+63.64%
RXRX,"Recursion Pharmaceuticals, Inc.",5.27,+0.06,+1.15%,16.507M,25.597M,2.142B,--,-28.78%
CNH,CNH Industrial N.V.,13.69,-0.07,-0.51%,16.916M,18.501M,17.105B,17.11,+41.57%
RIG,Transocean Ltd.,2.7700,-0.0300,-1.07%,15.765M,43.131M,2.447B,--,-45.26%
BCS,Barclays PLC,18.26,+0.38,+2.13%,15.535M,14.508M,64.597B,8.86,+59.06%
PCG,PG&E Corporation,13.91,-0.08,-0.57%,15.891M,22.537M,30.57B,12.76,-19.03%
GGB,Gerdau S.A.,3.1300,+0.0800,+2.62%,15.359M,13.248M,5.976B,10.79,-3.40%
PL,Planet Labs PBC,6.85,+0.71,+11.56%,15.259M,7.94M,2.079B,--,+276.37%
AG,First Majestic Silver Corp.,8.46,-0.05,-0.59%,15.114M,24.228M,4.13B,--,+29.36%
NIO,NIO Inc.,3.5100,+0.0300,+0.86%,15.243M,36.887M,7.612B,--,-21.30%
T,AT&T Inc.,28.36,+0.05,+0.18%,21.085M,34.715M,204.213B,17.40,+50.77%
ADT,ADT Inc.,8.47,+0.20,+2.42%,15.209M,18.925M,7.085B,13.03,+15.08%
ERIC,Telefonaktiebolaget LM Ericsson (publ),8.54,0.00,0.00%,14.541M,24.632M,28.524B,170.80,+33.44%
TRIP,"Tripadvisor, Inc.",17.50,+2.51,+16.74%,14.339M,3.514M,2.067B,44.87,-2.29%
RKT,"Rocket Companies, Inc.",14.24,-0.33,-2.26%,14.768M,13.246M,28.299B,712.00,+7.31%
U,Unity Software Inc.,26.13,+1.85,+7.62%,14.006M,11.517M,10.862B,--,+61.80%
MSFT,Microsoft Corporation,498.84,+7.75,+1.58%,13.918M,22.561M,3.708T,38.61,+6.99%
