Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,157.75,+2.66,+1.72%,247.425M,249.8M,3.847T,50.72,+26.91%
LCID,"Lucid Group, Inc.",2.1200,-0.0800,-3.64%,198.063M,127.438M,6.467B,--,-19.70%
PLTR,Palantir Technologies Inc.,130.74,-15.57,-10.64%,192.753M,99.718M,308.535B,544.75,+405.18%
F,Ford Motor Company,10.80,+0.17,+1.60%,117.156M,116.429M,42.947B,8.64,-15.36%
QS,QuantumScape Corporation,6.62,-1.03,-13.46%,108.084M,18.733M,3.7B,--,+35.93%
NKE,"NIKE, Inc.",72.04,+9.50,+15.19%,114.059M,20.814M,106.33B,33.35,-6.23%
NU,Nu Holdings Ltd.,13.25,-0.14,-1.05%,95.325M,61.205M,63.923B,30.11,+7.20%
INTC,Intel Corporation,22.69,+0.19,+0.84%,93.41M,91.331M,98.974B,--,-26.43%
SOFI,"SoFi Technologies, Inc.",17.18,+0.41,+2.44%,91.401M,65.154M,18.99B,39.95,+167.19%
TSLA,"Tesla, Inc.",323.63,-4.86,-1.48%,88.619M,123.22M,1.042T,184.93,+54.21%
WBD,"Warner Bros. Discovery, Inc.",11.30,+0.15,+1.35%,81.866M,47.528M,27.957B,--,+59.15%
HIMS,"Hims & Hers Health, Inc.",49.41,+3.13,+6.76%,80.345M,45.573M,11.06B,72.66,+130.67%
CORZ,"Core Scientific, Inc.",16.65,+0.29,+1.77%,65.386M,15.04M,4.959B,--,+69.04%
VALE,Vale S.A.,9.74,+0.27,+2.85%,63.471M,35.603M,41.578B,7.06,-13.04%
NIO,NIO Inc.,3.4600,+0.0400,+1.17%,62.216M,38.856M,7.626B,--,-22.07%
BTG,B2Gold Corp.,3.5300,-0.1200,-3.29%,61.935M,53.061M,4.677B,--,+31.23%
AMZN,"Amazon.com, Inc.",223.30,+6.18,+2.85%,106.483M,50.409M,2.371T,36.37,+13.24%
AMD,"Advanced Micro Devices, Inc.",143.81,+0.13,+0.09%,60.975M,46.935M,233.174B,104.97,-8.80%
