Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
INTC,Intel Corporation,39.43,+1.15 +3.00% 89.528M 125.9M 187.923B 848.01 +67.02%,17.67,41.12
NVDA,NVIDIA Corporation,190.82,+4.56 +2.45% 68.96M 173.456M 4.646T 53.06 +32.55%,86.62,195.62
BBAI,"BigBear.ai Holdings, Inc.",6.93,-0.12 -1.70% 67.38M 100.328M 3.025B -- +307.51%,1.51,10.36
F,Ford Motor Company,13.37,-0.47 -3.39% 65.873M 85.282M 53.273B 11.83 +21.72%,8.44,13.97
QCOM,QUALCOMM Incorporated,189.89,+20.95 +12.40% 53.101M 7.944M 204.891B 16.31 -1.90%,120.80,182.10
BITF,Bitfarms Ltd.,4.47,-0.14 -3.14% 52.389M 77.296M 2.472B -- +115.42%,0.67,6.60
PLUG,Plug Power Inc.,2.92,-0.03 -1.02% 50.506M 100.923M 3.401B -- +31.70%,0.69,4.58
OPEN,Opendoor Technologies Inc.,8.06,+0.09 +1.13% 49.372M 272.788M 5.981B -- +326.20%,0.51,10.87
HBAN,Huntington Bancshares Incorporated,15.60,-0.47 -2.96% 44.408M 29.259M 22.759B 11.24 +1.90%,11.92,18.45
TSLA,"Tesla, Inc.",456.45,+22.73 +5.24% 43.294M 87.003M 1.518T 299.30 +65.22%,214.25,488.54
RNA,"Avidity Biosciences, Inc.",70.07,+20.92 +42.56% 38.7M 3.056M 10.223B -- +7.50%,21.51,56.00
RGTI,"Rigetti Computing, Inc.",40.94,"+2.10 +5.41% 37.917M 76.653M 13.271B -- +2,489.33%",1.06,58.15
AMD,"Advanced Micro Devices, Inc.",254.05,+1.13 +0.45% 37.737M 63.31M 412.278B 151.45 +58.15%,76.48,253.39
SOFI,"SoFi Technologies, Inc.",29.56,+0.55 +1.88% 36.039M 71.891M 35.391B 59.27 +159.25%,8.60,30.30
QBTS,D-Wave Quantum Inc.,35.40,"+2.75 +8.41% 35.598M 52.061M 12.106B -- +2,620.83%",0.98,46.75
