Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
PROK,ProKidney Corp.,4.3000,+3.6935,+608.99%,280.324M,1.137M,12.846B,--,-75.72%
LCID,"Lucid Group, Inc.",2.3250,+0.2150,+10.19%,137.179M,128.196M,7.092B,--,-31.72%
SOUN,"SoundHound AI, Inc.",12.87,+1.49,+13.09%,91.602M,31.542M,5.17B,--,+174.88%
SOFI,"SoFi Technologies, Inc.",19.94,+0.70,+3.64%,83.633M,66.401M,22.041B,46.37,+201.57%
NVDA,NVIDIA Corporation,159.59,+1.35,+0.85%,81.428M,227.563M,3.892T,51.48,+20.44%
INTC,Intel Corporation,23.55,+1.55,+7.05%,75.356M,86.428M,102.725B,--,-36.40%
TSLA,"Tesla, Inc.",300.85,+6.91,+2.35%,62.106M,116.733M,969.039B,170.94,+12.05%
BAC,Bank of America Corporation,47.28,-1.38,-2.83%,55.469M,43.633M,356.145B,14.11,+17.48%
NU,Nu Holdings Ltd.,13.48,+0.12,+0.86%,50.857M,60.076M,65.009B,30.63,+1.60%
QS,QuantumScape Corporation,8.26,+1.25,+17.78%,50.241M,20.671M,4.615B,--,+32.26%
F,Ford Motor Company,11.69,+0.10,+0.86%,47.028M,106.991M,46.485B,9.35,-10.16%
HOOD,"Robinhood Markets, Inc.",91.99,-1.47,-1.58%,44.583M,44.122M,81.171B,52.56,+313.54%
WBD,"Warner Bros. Discovery, Inc.",11.22,+0.19,+1.77%,43.31M,46.966M,27.747B,--,+50.14%
PLTR,Palantir Technologies Inc.,139.05,-0.07,-0.05%,42.799M,95.282M,328.145B,579.37,+407.92%
RXRX,"Recursion Pharmaceuticals, Inc.",5.46,+0.53,+10.75%,38.169M,25.813M,2.219B,--,-33.74%
AAL,American Airlines Group Inc.,11.61,+0.02,+0.17%,37.039M,59.671M,7.657B,11.61,+5.56%
RIG,Transocean Ltd.,2.9350,+0.2250,+8.30%,31.342M,42.116M,2.592B,--,-45.91%
PFE,Pfizer Inc.,25.47,+0.23,+0.91%,31.158M,44.966M,144.806B,18.46,-8.95%
VALE,Vale S.A.,10.08,+0.14,+1.41%,30.823M,35.437M,44.15B,7.30,-14.01%
BTG,B2Gold Corp.,3.5450,-0.1350,-3.67%,33.281M,52.388M,4.697B,--,+31.90%
STLA,Stellantis N.V.,10.07,+0.27,+2.81%,29.491M,17.173M,29.969B,4.64,-49.61%
NIO,NIO Inc.,3.4600,+0.0500,+1.47%,29.201M,35.486M,7.766B,--,-24.22%
AMZN,"Amazon.com, Inc.",220.36,-3.11,-1.39%,28.489M,45.774M,2.339T,35.83,+12.10%
CORZ,"Core Scientific, Inc.",14.44,-0.39,-2.66%,26.954M,15.604M,4.299B,--,+55.13%
CIFR,Cipher Mining Inc.,6.11,+0.32,+5.47%,26.354M,25.269M,2.267B,--,+32.49%
RGTI,"Rigetti Computing, Inc.",13.53,-0.22,-1.60%,26.336M,48.962M,4.367B,--,"+1,222.12%"
QBTS,D-Wave Quantum Inc.,16.42,-0.34,-2.04%,26.163M,66.72M,5.13B,--,"+1,396.43%"
OSCR,"Oscar Health, Inc.",16.52,-0.28,-1.70%,25.767M,14.102M,4.209B,41.31,+6.73%
FCX,Freeport-McMoRan Inc.,47.23,+2.10,+4.65%,24.971M,13.587M,67.832B,38.71,-11.16%
AMD,"Advanced Micro Devices, Inc.",137.81,+3.01,+2.23%,24.764M,46.359M,223.445B,100.59,-23.88%
AZEK,The AZEK Company Inc.,54.35,-0.51,-0.93%,26.82M,3.828M,7.818B,52.77,+30.59%
GOOGL,Alphabet Inc.,174.07,-2.72,-1.54%,23.614M,40.991M,2.116T,19.43,-6.45%
AAPL,Apple Inc.,209.55,-0.40,-0.19%,23.235M,59.191M,3.13T,32.64,-8.19%
RUN,Sunrun Inc.,9.70,-1.40,-12.65%,23.149M,23.001M,2.217B,--,-15.90%
HL,Hecla Mining Company,5.65,-0.51,-8.32%,22.939M,22.179M,3.572B,47.06,+16.89%
ACHR,Archer Aviation Inc.,10.32,+0.30,+3.04%,22.54M,34.355M,5.669B,--,+134.11%
CNH,CNH Industrial N.V.,13.76,+0.29,+2.15%,22.495M,18.421M,17.192B,17.20,+42.24%
MARA,"MARA Holdings, Inc.",17.27,+0.52,+3.10%,21.812M,44.892M,6.078B,--,-11.98%
ABEV,Ambev S.A.,2.4150,+0.0250,+1.05%,21.3M,32.458M,39.418B,14.21,+14.90%
IREN,IREN Limited,17.08,+0.13,+0.80%,20.988M,19.285M,4.132B,--,+32.22%
AG,First Majestic Silver Corp.,8.10,-0.59,-6.73%,20.337M,24.361M,3.94B,--,+37.50%
GRAB,Grab Holdings Limited,4.8400,-0.1300,-2.62%,19.831M,35.428M,19.96B,484.00,+38.83%
HIMS,"Hims & Hers Health, Inc.",50.34,+1.92,+3.97%,19.758M,46.247M,11.268B,74.03,+134.03%
BBD,Banco Bradesco S.A.,3.0500,+0.0100,+0.33%,19.534M,41.219M,30.466B,9.84,+31.03%
IONQ,"IonQ, Inc.",45.76,+0.56,+1.24%,19.538M,21.917M,11.972B,--,+469.99%
JOBY,"Joby Aviation, Inc.",11.43,+0.77,+7.27%,19.128M,21.284M,9.622B,--,+108.61%
SMCI,"Super Micro Computer, Inc.",48.69,+1.58,+3.35%,19.02M,46.723M,29.059B,26.46,-47.40%
AMCR,Amcor plc,9.80,+0.12,+1.20%,18.393M,37.066M,22.446B,17.49,+1.26%
BCS,Barclays PLC,18.32,+0.13,+0.74%,17.536M,14.399M,64.783B,8.94,+62.85%
IAG,IAMGOLD Corporation,6.94,-0.56,-7.47%,17.089M,16.779M,4.005B,4.75,+84.28%
NGD,New Gold Inc.,4.7850,-0.2550,-5.06%,17.211M,25.806M,3.799B,26.58,+124.00%
CLF,Cleveland-Cliffs Inc.,8.89,+0.40,+4.65%,16.806M,31.139M,4.395B,--,-44.07%
RKLB,Rocket Lab Corporation,39.72,+0.84,+2.16%,16.541M,20.688M,18.328B,--,+665.35%
CCL,Carnival Corporation & plc,28.98,-0.33,-1.13%,16.187M,25.973M,39.293B,15.17,+63.74%
KGC,Kinross Gold Corporation,15.30,-0.75,-4.67%,14.898M,21.169M,18.877B,15.61,+86.85%
KEY,KeyCorp,18.50,+0.20,+1.12%,14.838M,13.679M,20.269B,--,+27.99%
EQX,Equinox Gold Corp.,5.84,-0.07,-1.10%,15.109M,14.479M,4.417B,8.22,+1.55%
MU,"Micron Technology, Inc.",124.50,+4.58,+3.82%,14.844M,22.855M,139.332B,22.43,-8.56%
RIVN,"Rivian Automotive, Inc.",13.23,+0.48,+3.73%,14.798M,30.133M,15.843B,--,-18.84%
CLSK,"CleanSpark, Inc.",11.60,+0.27,+2.38%,14.727M,27.3M,3.259B,--,-25.56%
GOOG,Alphabet Inc.,175.00,-2.56,-1.44%,14.366M,27.326M,2.119T,19.51,-6.76%
DDOG,"Datadog, Inc.",146.15,-6.26,-4.11%,14.25M,5.386M,50.472B,310.95,+20.36%
BMNR,"Bitmine Immersion Technologies, Inc.",116.50,+9.02,+8.39%,14.087M,11.459M,4.987B,--,"+1,286.84%"
SAND,Sandstorm Gold Ltd.,9.90,-0.34,-3.37%,14.073M,5.975M,2.907B,98.95,+83.51%
MRNA,"Moderna, Inc.",32.39,+2.49,+8.33%,13.769M,10.73M,12.526B,--,-74.24%
ITUB,Itaú Unibanco Holding S.A.,6.78,-0.06,-0.88%,13.597M,29.81M,70.471B,9.42,+23.14%
PCG,PG&E Corporation,13.59,-0.05,-0.37%,13.482M,22.507M,29.866B,12.47,-21.34%
