Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
LCID,"Lucid Group, Inc.",3.0901,-0.0299,-0.96%,232.883M,141.931M,9.426B,--,-10.86%
QS,QuantumScape Corporation,14.57,+0.97,+7.13%,114.436M,28.38M,8.144B,--,+67.49%
NVDA,NVIDIA Corporation,172.46,-0.54,-0.32%,101.063M,204.565M,4.206T,55.63,+46.70%
BBAI,"BigBear.ai Holdings, Inc.",8.04,-0.18,-2.19%,93.813M,128.918M,2.341B,--,+455.41%
WBD,"Warner Bros. Discovery, Inc.",12.65,-0.19,-1.52%,77.731M,51.076M,31.285B,--,+48.10%
TSLA,"Tesla, Inc.",327.64,+8.23,+2.58%,66.233M,111.272M,1.055T,186.16,+33.53%
NIO,NIO Inc.,4.3475,-0.0525,-1.19%,55.714M,40.192M,9.188B,--,-1.35%
AAL,American Airlines Group Inc.,12.44,-0.01,-0.12%,55.439M,60.343M,8.201B,12.44,+17.67%
HOOD,"Robinhood Markets, Inc.",107.47,+2.02,+1.92%,54.376M,44.203M,94.834B,61.41,+350.45%
NU,Nu Holdings Ltd.,13.16,-0.83,-5.93%,54.098M,64.851M,63.489B,29.91,+3.86%
JOBY,"Joby Aviation, Inc.",17.85,+0.13,+0.74%,47.752M,25.249M,15.021B,--,+171.36%
OSCR,"Oscar Health, Inc.",13.14,-0.73,-5.26%,47.106M,18.479M,3.346B,32.85,-9.05%
F,Ford Motor Company,11.11,-0.04,-0.34%,44.984M,96.853M,44.187B,8.89,-20.24%
RXRX,"Recursion Pharmaceuticals, Inc.",5.75,+0.23,+4.17%,44.105M,25.544M,2.493B,--,-27.46%
SOFI,"SoFi Technologies, Inc.",21.51,-0.58,-2.63%,44.054M,69.05M,23.776B,50.02,+195.72%
APLD,Applied Digital Corporation,11.77,+0.86,+7.84%,43.355M,50.825M,2.648B,--,+90.73%
INTC,Intel Corporation,23.25,+0.45,+1.97%,41.602M,79.993M,101.41B,--,-30.87%
ACHR,Archer Aviation Inc.,13.49,+0.10,+0.71%,40.254M,37.496M,7.409B,--,+188.79%
RGTI,"Rigetti Computing, Inc.",16.94,-0.20,-1.17%,39.625M,52.418M,5.467B,--,"+1,548.08%"
QBTS,D-Wave Quantum Inc.,18.40,-0.84,-4.38%,36.853M,67.979M,5.748B,--,"+1,786.27%"
AMD,"Advanced Micro Devices, Inc.",157.63,-2.78,-1.73%,35.8M,46.428M,255.581B,115.90,+5.83%
GRAB,Grab Holdings Limited,5.34,+0.09,+1.81%,34.726M,35.65M,22.043B,534.50,+55.33%
PLTR,Palantir Technologies Inc.,152.79,-1.21,-0.78%,34.309M,87.971M,360.559B,664.28,+438.80%
MARA,"MARA Holdings, Inc.",19.34,-0.63,-3.16%,31.106M,46.699M,6.806B,--,-19.25%
HBAN,Huntington Bancshares Incorporated,16.69,-0.29,-1.71%,30.58M,26.213M,24.35B,12.84,+14.27%
RIOT,"Riot Platforms, Inc.",13.26,-0.07,-0.49%,30.554M,36.792M,4.739B,--,+10.81%
SOUN,"SoundHound AI, Inc.",12.52,-0.12,-0.99%,30.12M,36.008M,5.028B,--,+156.39%
RIVN,"Rivian Automotive, Inc.",13.55,+0.65,+5.00%,29.991M,30.411M,16.226B,--,-22.99%
AAPL,Apple Inc.,211.39,+1.37,+0.65%,29.453M,53.222M,3.157T,32.88,-6.37%
IVZ,Invesco Ltd.,19.71,+2.43,+14.06%,25.718M,5.083M,8.821B,15.77,+6.60%
PSLV,Sprott Physical Silver Trust,12.91,+0.06,+0.51%,25.751M,31.035M,6.805B,4.25,+28.63%
