Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,4.2727,-0.4273,-9.09%,195.165M,236.216M,3.146B,--,+119.63%
PSNYW,Polestar Automotive Holding UK PLC,0.3955,+0.2355,+147.19%,111.787M,"85,219",5.476B,--,+30.59%
NVDA,NVIDIA Corporation,181.73,-0.04,-0.02%,110.468M,178.922M,4.432T,58.43,+44.71%
WBA,"Walgreens Boots Alliance, Inc.",11.94,+0.02,+0.21%,70.34M,9.903M,10.339B,--,+27.08%
NIO,NIO Inc.,6.45,-0.25,-3.81%,56.388M,60.534M,13.699B,--,+81.08%
INTC,Intel Corporation,24.94,+0.59,+2.43%,50.438M,103.936M,109.174B,--,+24.17%
PLTR,Palantir Technologies Inc.,157.04,-3.83,-2.38%,47.641M,77.384M,372.546B,506.57,+429.87%
TSLA,"Tesla, Inc.",350.84,-0.83,-0.24%,42.925M,99.642M,1.132T,207.60,+70.92%
LCID,"Lucid Group, Inc.",2.0826,-0.0274,-1.30%,36.771M,138.488M,6.399B,--,-46.45%
BMNR,"Bitmine Immersion Technologies, Inc.",46.61,-3.34,-6.69%,38.098M,34.389M,8.087B,--,+544.52%
SOFI,"SoFi Technologies, Inc.",24.94,-0.68,-2.63%,33.265M,73.441M,29.87B,49.89,+242.06%
AAL,American Airlines Group Inc.,13.07,-0.08,-0.64%,30.709M,62.209M,8.621B,15.55,+29.56%
PSNY,Polestar Automotive Holding UK PLC,1.3383,+0.2283,+20.57%,30.112M,3.017M,2.836B,--,+17.46%
MARA,"MARA Holdings, Inc.",16.00,+0.16,+1.04%,28.253M,46.415M,5.929B,8.60,-7.53%
SOUN,"SoundHound AI, Inc.",12.10,+0.08,+0.68%,26.411M,43.686M,4.934B,--,+147.84%
RGTI,"Rigetti Computing, Inc.",15.77,+0.47,+3.10%,24.829M,44.228M,5.114B,--,"+1,679.07%"
BAC,Bank of America Corporation,50.37,+0.12,+0.23%,22.386M,38.626M,373.051B,14.77,+25.78%
F,Ford Motor Company,11.96,+0.12,+1.01%,21.944M,80.955M,47.599B,15.33,+7.25%
RIVN,"Rivian Automotive, Inc.",13.35,+0.14,+1.10%,21.821M,33.662M,16.205B,--,-4.48%
NU,Nu Holdings Ltd.,14.46,+0.22,+1.57%,21.665M,64.172M,69.896B,30.77,-0.42%
WBD,"Warner Bros. Discovery, Inc.",12.07,+0.27,+2.29%,21.597M,61.234M,29.882B,38.94,+48.06%
ITUB,Itaú Unibanco Holding S.A.,6.89,+0.09,+1.32%,20.388M,28.917M,70.779B,9.31,+10.98%
ABEV,Ambev S.A.,2.1900,-0.0100,-0.45%,19.112M,29.573M,34.681B,12.88,-5.98%
HOOD,"Robinhood Markets, Inc.",104.34,-4.46,-4.10%,18.783M,44.569M,92.724B,52.96,+435.43%
ACHR,Archer Aviation Inc.,9.16,-0.11,-1.23%,18.559M,37.734M,5.906B,--,+160.39%
AMD,"Advanced Micro Devices, Inc.",167.57,+0.95,+0.57%,18.443M,56.365M,271.939B,100.34,+13.84%
KDP,Keurig Dr Pepper Inc.,29.26,+0.31,+1.09%,18.374M,11.212M,39.755B,25.90,-20.07%
DNB,"Dun & Bradstreet Holdings, Inc.",9.15,+0.04,+0.44%,17.827M,4.176M,4.083B,--,-23.37%
QBTS,D-Wave Quantum Inc.,15.57,+0.12,+0.81%,16.928M,47.489M,5.327B,--,"+1,522.90%"
RIOT,"Riot Platforms, Inc.",13.86,+0.17,+1.26%,16.779M,40.023M,5.124B,--,+79.19%
SNAP,Snap Inc.,7.01,-0.01,-0.07%,16.598M,42.349M,11.854B,--,-23.53%
AAPL,Apple Inc.,230.05,+0.74,+0.32%,16.125M,54.876M,3.414T,34.96,+1.25%
JOBY,"Joby Aviation, Inc.",14.78,+0.05,+0.31%,16.193M,35.288M,12.648B,--,+198.18%
WULF,TeraWulf Inc.,9.31,+0.07,+0.80%,15.97M,54.499M,3.653B,--,+121.05%
PFE,Pfizer Inc.,25.03,+0.11,+0.46%,15.983M,40.501M,142.338B,13.25,-13.32%
PSLV,Sprott Physical Silver Trust,13.08,+0.04,+0.29%,15.858M,27.053M,6.89B,4.30,+31.06%
COTY,Coty Inc.,4.0350,+0.3450,+9.35%,14.843M,9.055M,3.52B,--,-61.08%
T,AT&T Inc.,28.97,+0.41,+1.42%,14.279M,31.635M,207.111B,16.55,+44.10%
TIGR,UP Fintech Holding Limited,11.11,-1.70,-13.30%,14.189M,5.901M,1.964B,24.70,+247.43%
MDB,"MongoDB, Inc.",289.92,+75.58,+35.26%,13.968M,2.553M,23.691B,--,-8.93%
BTG,B2Gold Corp.,4.0658,+0.0158,+0.39%,14.103M,40.142M,5.379B,--,+45.68%
HBAN,Huntington Bancshares Incorporated,17.78,+0.29,+1.66%,13.633M,31.168M,25.939B,13.27,+19.47%
NOK,Nokia Oyj,4.3250,+0.0350,+0.82%,13.536M,18.468M,23.265B,22.76,+2.39%
APLD,Applied Digital Corporation,16.31,-0.16,-0.97%,13.491M,48.793M,4.274B,--,+273.47%
MRNA,"Moderna, Inc.",24.66,-0.07,-0.28%,13.404M,9.452M,9.595B,--,-68.44%
CCL,Carnival Corporation & plc,31.97,+0.10,+0.31%,13.316M,22.142M,43.347B,16.74,+91.64%
SATS,EchoStar Corporation,59.45,+8.58,+16.87%,13.199M,4.286M,17.105B,--,+165.92%
ELAN,Elanco Animal Health Incorporated,18.59,+0.69,+3.88%,12.854M,5.58M,9.238B,21.13,+17.53%
RKT,"Rocket Companies, Inc.",18.48,-0.47,-2.46%,12.852M,17.927M,38.995B,--,-3.17%
GOOGL,Alphabet Inc.,207.31,+0.17,+0.08%,12.638M,37.249M,2.512T,22.10,+27.20%
KEY,KeyCorp,19.40,+0.10,+0.52%,12.478M,22.736M,21.273B,--,+15.29%
HIMS,"Hims & Hers Health, Inc.",44.76,-0.59,-1.30%,12.135M,38.523M,10.117B,56.66,+209.77%
UP,Wheels Up Experience Inc.,3.0550,+0.0550,+1.84%,12.041M,2.515M,2.135B,--,+61.29%
GRAB,Grab Holdings Limited,4.9650,-0.0350,-0.70%,11.79M,36.554M,20.24B,248.25,+55.76%
RKLB,Rocket Lab Corporation,46.26,-1.87,-3.89%,11.497M,23.484M,22.316B,--,+690.31%
