Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
SNAP,Snap Inc.,7.78,-1.62,-17.19%,138.601M,35.131M,13.08B,--,+13.27%
AMD,"Advanced Micro Devices, Inc.",164.18,-10.13,-5.81%,108.414M,52.118M,266.201B,98.31,+35.47%
LCID,"Lucid Group, Inc.",2.1950,-0.2250,-9.28%,103.454M,150.767M,6.744B,--,-16.84%
NVDA,NVIDIA Corporation,179.01,+0.76,+0.42%,92.547M,192.99M,4.366T,57.75,+80.22%
SMCI,"Super Micro Computer, Inc.",46.51,-10.74,-18.77%,85.36M,44.966M,27.761B,25.28,+16.22%
AAPL,Apple Inc.,214.60,+11.68,+5.75%,69.072M,53.566M,3.185T,32.56,-3.29%
PLTR,Palantir Technologies Inc.,177.11,+3.84,+2.22%,65.428M,77.297M,420.165B,610.72,+558.32%
TSLA,"Tesla, Inc.",318.90,+10.18,+3.30%,56.797M,106.802M,1.029T,190.96,+60.99%
RIVN,"Rivian Automotive, Inc.",11.69,-0.46,-3.83%,49.757M,33.303M,13.998B,--,-11.86%
PBR,Petróleo Brasileiro S.A. - Petrobras,13.07,+0.16,+1.24%,43.506M,22.117M,79.815B,9.75,-6.72%
DNN,Denison Mines Corp.,2.2700,+0.0300,+1.34%,43.399M,113.496M,2.035B,--,+49.33%
AAL,American Airlines Group Inc.,11.61,-0.03,-0.30%,41.55M,61.396M,7.658B,13.82,+25.70%
INTC,Intel Corporation,20.33,+0.14,+0.69%,40.294M,82.497M,88.984B,--,+6.32%
ZETA,Zeta Global Holdings Corp.,20.00,+4.13,+26.00%,39.525M,7.524M,4.71B,--,-29.62%
F,Ford Motor Company,11.23,+0.16,+1.49%,38.274M,87.817M,44.674B,14.39,+13.20%
PFE,Pfizer Inc.,24.10,-0.65,-2.63%,37.891M,42.386M,137.013B,12.75,-14.21%
U,Unity Software Inc.,31.93,-2.00,-5.91%,37.136M,14.233M,13.275B,--,+143.65%
HIMS,"Hims & Hers Health, Inc.",50.77,-4.75,-8.56%,34.234M,44.622M,11.475B,64.27,+246.13%
NIO,NIO Inc.,4.5968,+0.0968,+2.15%,33.352M,47.783M,10.434B,--,+22.62%
