Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,184.97,-0.60 -0.33% 124.608M 189.964M 4.503T 45.15 +32.78%,86.62,212.19
HBI,HanesBrands Inc.,6.47,0.00 0.00% 112.068M 8.893M 2.289B 5.52 -25.29%,3.96,8.84
WBD,"Warner Bros. Discovery, Inc.",28.26,+1.03 +3.78% 101.228M 54.526M 70.028B 134.35 +161.18%,7.52,28.34
PLUG,Plug Power Inc.,2.21,+0.05 +2.31% 97.248M 135.378M 3.075B -- -11.60%,0.69,4.58
BBAI,"BigBear.ai Holdings, Inc.",6.71,+0.15 +2.29% 92.572M 124.323M 2.929B -- +125.17%,2.36,10.36
ONDS,Ondas Holdings Inc.,9.23,+0.21 +2.33% 81.789M 78.577M 3.439B -- +779.05%,0.57,11.70
OPEN,Opendoor Technologies Inc.,7.41,+0.36 +5.11% 73.237M 181.284M 7.068B -- +254.55%,0.51,10.87
AAL,American Airlines Group Inc.,15.03,+0.17 +1.14% 62.986M 66.679M 9.921B 13.45 -14.51%,8.50,19.10
TSLA,"Tesla, Inc.",445.17,+5.59 +1.27% 60.825M 88.732M 1.481T 313.98 +4.80%,214.25,488.54
SOFI,"SoFi Technologies, Inc.",26.83,-0.78 -2.83% 56.433M 73.603M 32.354B 51.25 +68.32%,8.60,32.73
CFLT,"Confluent, Inc.",29.90,+0.03 +0.10% 53.464M 10.313M 10.46B -- -4.17%,15.64,37.90
BMNR,"Bitmine Immersion Technologies, Inc.",39.18,+3.34 +9.32% 50.521M 46.897M 15.048B 2.54 +405.94%,3.92,161.00
INTC,Intel Corporation,40.51,+0.22 +0.53% 48.86M 115.793M 193.257B 919.75 +101.29%,17.67,44.02
NFLX,"Netflix, Inc.",96.67,-0.15 -0.15% 45.859M 41.885M 409.622B 41.89 +3.26%,82.11,134.12
MARA,"MARA Holdings, Inc.",12.25,+0.20 +1.66% 41.561M 53.901M 4.633B 5.53 -47.36%,9.71,25.58
DNN,Denison Mines Corp.,2.74,+0.01 +0.37% 39.262M 83.647M 2.459B -- +21.78%,1.08,3.42
PFE,Pfizer Inc.,25.33,-0.44 -1.71% 38.224M 68.717M 144.019B 15.13 +0.40%,20.92,27.69
BBD,Banco Bradesco S.A.,3.32,-0.02 -0.60% 37.479M 49.729M 35.278B 9.00 +53.70%,1.84,3.77
BAC,Bank of America Corporation,53.54,-0.36 -0.67% 37.055M 35.102M 534.771B 14.74 +16.19%,33.07,54.83
WVE,Wave Life Sciences Ltd.,21.31,+2.79 +15.06% 36.778M 5.463M 3.563B -- +38.29%,5.28,21.73
ABEV,Ambev S.A.,2.47,0.00 0.00% 35.47M 40.9M 39.351B 13.34 +8.81%,1.76,2.64
KVUE,Kenvue Inc.,17.02,+0.26 +1.55% 33.948M 40.525M 32.663B 22.64 -23.40%,14.02,25.17
WULF,TeraWulf Inc.,15.59,+0.63 +4.21% 33.69M 41.551M 6.527B -- +116.23%,2.06,17.05
CLSK,"CleanSpark, Inc.",14.85,+0.96 +6.91% 32.904M 35.928M 3.97B 12.25 +15.74%,6.45,23.61
CIFR,Cipher Mining Inc.,19.56,+0.08 +0.41% 32.88M 50.526M 7.728B -- +202.79%,1.86,25.52
CRWV,"CoreWeave, Inc.",90.66,+4.42 +5.13% 32.722M 29.729M 45.177B -- +126.65%,33.52,187.00
KEY,KeyCorp,19.98,+0.59 +3.04% 32.479M 22.014M 21.908B 22.27 +9.12%,12.73,20.33
T,AT&T Inc.,24.51,-0.33 -1.33% 31.487M 48.504M 175.256B 8.21 +4.39%,21.38,29.79
RGTI,"Rigetti Computing, Inc.",28.22,-0.04 -0.14% 30.931M 82.766M 9.313B -- +282.38%,5.78,58.15
F,Ford Motor Company,13.08,-0.06 -0.46% 29.434M 92.41M 52.117B 11.14 +25.65%,8.44,13.97
APLD,Applied Digital Corporation,32.77,+0.66 +2.06% 28.542M 30.738M 9.165B -- +274.09%,3.31,40.20
NIO,NIO Inc.,5.03,-0.07 -1.37% 28.303M 65.442M 12.719B -- +7.71%,3.02,8.02
IREN,IREN Limited,46.84,+0.50 +1.08% 27.709M 42.057M 13.52B 22.48 +244.16%,5.13,76.87
HBAN,Huntington Bancshares Incorporated,16.99,+0.05 +0.30% 27.654M 31.273M 26.756B 11.82 -2.30%,11.92,18.03
VZ,Verizon Communications Inc.,40.14,-1.16 -2.81% 27.466M 26.866M 169.247B 8.89 -4.41%,37.59,47.36
NU,Nu Holdings Ltd.,16.68,+0.06 +0.36% 26.867M 39.757M 80.824B 32.37 +36.05%,9.01,17.84
HPE,Hewlett Packard Enterprise Company,24.77,+0.91 +3.81% 26.581M 31.332M 32.683B -- +13.05%,11.97,26.44
RIG,Transocean Ltd.,4.45,+0.01 +0.23% 25.268M 48.249M 4.901B -- +8.80%,1.97,4.56
