Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,181.35,+0.71 +0.39% 289.77M 189.295M 4.423T -- +27.26%,86.62,212.19
OPEN,Opendoor Technologies Inc.,6.97,+0.81 +13.10% 109.234M 249.147M 6.642B -- +209.55%,0.51,10.87
ONDS,Ondas Holdings Inc.,6.80,+0.53 +8.37% 104.483M 68.672M 2.532B -- +606.88%,0.57,11.70
PLUG,Plug Power Inc.,1.96,+0.07 +3.70% 87.83M 122.806M 2.727B -- -1.56%,0.69,4.58
TSLA,"Tesla, Inc.",398.60,+3.55 +0.90% 85.412M 89.631M 1.326T 276.89 +12.10%,214.25,488.54
BBAI,"BigBear.ai Holdings, Inc.",5.47,-0.05 -0.82% 81.52M 113.401M 2.386B -- +124.90%,2.02,10.36
SOFI,"SoFi Technologies, Inc.",25.35,+0.44 +1.77% 77.212M 74.521M 30.57B 48.40 +59.68%,8.60,32.73
INTC,Intel Corporation,34.87,+1.25 +3.70% 68.81M 112.47M 166.306B 762.50 +37.22%,17.67,42.48
PLTR,Palantir Technologies Inc.,156.99,"+1.25 +0.80% 60.812M 58.388M 374.176B 1,550.31 +142.03%",61.37,207.52
DNN,Denison Mines Corp.,2.26,-0.06 -2.59% 60.219M 86.349M 2.028B -- -2.93%,1.08,3.42
F,Ford Motor Company,12.86,+0.45 +3.67% 58.572M 91.106M 51.261B 11.13 +11.00%,8.44,13.97
GOOGL,Alphabet Inc.,301.37,+11.92 +4.12% 56.028M 35.704M 3.65T 28.05 +75.68%,140.53,306.42
AMD,"Advanced Micro Devices, Inc.",205.97,-0.05 -0.02% 55.211M 58.171M 335.328B 120.58 +48.91%,76.48,267.08
GRAB,Grab Holdings Limited,4.91,-0.07 -1.33% 55.193M 53.281M 20.081B 264.81 -1.78%,3.36,6.62
PFE,Pfizer Inc.,25.12,+0.73 +2.97% 54.572M 66.63M 142.853B 14.79 -4.87%,20.92,27.69
AAL,American Airlines Group Inc.,12.91,+0.68 +5.51% 53.136M 69.967M 8.525B 13.45 -14.88%,8.50,19.10
AMZN,"Amazon.com, Inc.",221.20,+4.06 +1.87% 50.362M 47.035M 2.365T 31.45 +10.16%,161.38,258.60
ACHR,Archer Aviation Inc.,7.20,+0.34 +4.88% 50.208M 56.1M 4.693B -- +13.74%,5.48,14.62
CIFR,Cipher Mining Inc.,14.31,-0.25 -1.72% 49.61M 50.769M 5.654B -- +114.75%,1.86,25.52
NU,Nu Holdings Ltd.,15.92,+0.60 +3.95% 48.51M 41.958M 77.163B 29.70 +10.14%,9.01,16.55
BBD,Banco Bradesco S.A.,3.50,+0.02 +0.57% 47.474M 47.494M 37.191B 9.48 +46.22%,1.84,3.77
BMNR,"Bitmine Immersion Technologies, Inc.",25.83,-0.19 -0.71% 46.494M 45.055M 7.356B -- +235.74%,3.92,161.00
NIO,NIO Inc.,5.61,+0.21 +3.98% 45.654M 77.117M 13.836B -- +11.57%,3.02,8.02
MARA,"MARA Holdings, Inc.",10.09,-0.15 -1.51% 44.899M 57.211M 3.814B 5.59 -60.66%,9.81,30.28
IREN,IREN Limited,42.38,-1.09 -2.51% 44.309M 41.274M 12.013B 24.57 +303.25%,5.13,76.87
T,AT&T Inc.,25.92,+0.40 +1.56% 42.938M 46.911M 183.741B 8.32 +10.09%,21.38,29.79
RGTI,"Rigetti Computing, Inc.",23.59,"+0.79 +3.46% 42.308M 82.211M 7.785B -- +1,210.34%",1.54,58.15
WULF,TeraWulf Inc.,11.52,-0.05 -0.39% 41.665M 43.051M 4.821B -- +55.17%,2.06,17.05
AAPL,Apple Inc.,272.19,+5.94 +2.23% 38.533M 50.81M 4.039T 35.85 +15.83%,169.21,277.32
NOK,Nokia Oyj,5.97,+0.10 +1.62% 37.825M 48.156M 33.079B 35.84 +40.43%,4.00,8.19
SOUN,"SoundHound AI, Inc.",11.19,-0.10 -0.84% 36.821M 56.308M 4.703B -- +36.85%,6.52,24.98
ORCL,Oracle Corporation,198.95,-11.74 -5.57% 36.114M 25.227M 567.165B 51.05 +9.57%,118.86,345.72
QBTS,D-Wave Quantum Inc.,20.40,-0.11 -0.54% 35.683M 52.88M 7.142B -- +600.00%,1.97,46.75
CRWV,"CoreWeave, Inc.",72.66,+3.45 +4.99% 33.279M 30.147M 36.209B -- +73.03%,33.52,187.00
RIG,Transocean Ltd.,3.88,+0.05 +1.17% 33.266M 46.901M 4.279B -- -14.09%,1.97,4.51
BE,Bloom Energy Corporation,89.89,"-3.49 -3.74% 33.053M 14.26M 21.26B 1,592.34 +262.50%",15.15,147.86
HOOD,"Robinhood Markets, Inc.",108.48,+2.27 +2.14% 32.614M 35.593M 97.545B 47.81 +189.80%,29.66,153.86
ABEV,Ambev S.A.,2.48,+0.05 +2.26% 32.435M 42.283M 39.59B 13.47 +10.96%,1.76,2.64
RIVN,"Rivian Automotive, Inc.",15.03,+0.37 +2.52% 32.101M 50.869M 18.425B -- +43.16%,10.00,18.13
GOOG,Alphabet Inc.,301.45,+11.47 +3.96% 31.95M 23.025M 3.639T 28.05 +74.09%,142.66,306.89
BULL,Webull Corporation,8.27,+0.02 +0.20% 30.94M 21.765M 4.088B 23.84 -27.88%,7.99,79.56
NBIS,Nebius Group N.V.,85.62,+0.98 +1.16% 30.66M 20.098M 21.56B 183.85 +260.32%,18.31,141.10
SNAP,Snap Inc.,7.68,-0.10 -1.22% 30.256M 93.216M 13.213B -- -31.87%,6.90,13.28
APLD,Applied Digital Corporation,21.14,-0.24 -1.10% 29.773M 30.722M 5.911B -- +116.95%,3.31,40.20
BAC,Bank of America Corporation,51.58,+0.58 +1.14% 29.438M 35.447M 515.194B 14.11 +8.51%,33.07,54.69
MU,"Micron Technology, Inc.",210.19,+8.82 +4.38% 29.021M 25.533M 235.93B 30.11 +96.19%,61.54,260.58
WMT,Walmart Inc.,105.79,-1.32 -1.23% 28.809M 16.517M 844.288B 38.27 +18.43%,79.81,109.58
RXRX,"Recursion Pharmaceuticals, Inc.",4.23,+0.38 +9.85% 27.574M 42.139M 2.204B -- -32.46%,3.79,12.36
QS,QuantumScape Corporation,11.55,-0.18 -1.49% 27.062M 41.833M 6.942B -- +127.13%,3.40,19.07
VALE,Vale S.A.,12.05,+0.12 +1.05% 26.112M 30.601M 51.54B 9.22 +18.96%,8.06,12.60
UBER,"Uber Technologies, Inc.",83.24,-0.12 -0.14% 25.864M 17.16M 173.59B 11.65 +16.57%,59.33,101.99
WBD,"Warner Bros. Discovery, Inc.",23.10,+0.23 +0.98% 25.588M 52.086M 57.254B 122.04 +126.31%,7.52,24.19
IONQ,"IonQ, Inc.",41.25,+0.25 +0.61% 24.863M 29.315M 14.614B -- +28.93%,17.88,84.64
MTSR,"Metsera, Inc.",70.50,-0.25 -0.35% 24.769M 3.288M 7.429B -- +166.04%,12.30,83.86
BTE,Baytex Energy Corp.,3.15,-0.01 -0.20% 24.744M 24.229M 2.427B 16.04 +4.64%,1.36,3.32
EOSE,"Eos Energy Enterprises, Inc.",12.49,-0.39 -3.03% 24.652M 22.833M 3.6B -- +377.04%,2.46,19.86
RKT,"Rocket Companies, Inc.",17.33,+1.16 +7.20% 24.341M 39.264M 48.804B -- +17.69%,10.06,22.56
JOBY,"Joby Aviation, Inc.",13.15,+0.11 +0.84% 23.863M 41.931M 11.99B -- +83.92%,4.96,20.95
MSTR,Strategy Inc,172.17,-4.96 -2.80% 23.489M 12.631M 49.474B 7.56 -58.01%,171.48,457.22
NFLX,"Netflix, Inc.",105.06,-0.61 -0.58% 23.353M 36.439M 445.152B 47.68 +17.70%,82.11,134.12
PCG,PG&E Corporation,15.69,-0.15 -0.92% 23.128M 23.905M 34.496B 13.59 -25.88%,12.97,21.72
HBAN,Huntington Bancshares Incorporated,15.91,+0.60 +3.88% 22.989M 31.06M 24.945B 10.74 -14.37%,11.92,18.45
BBWI,"Bath & Body Works, Inc.",15.08,-0.54 -3.46% 22.679M 7.382M 3.191B -- -48.49%,15.43,41.87
SMCI,"Super Micro Computer, Inc.",32.39,+0.83 +2.63% 22.661M 29.663M 19.336B 27.76 -4.80%,25.71,66.44
VZ,Verizon Communications Inc.,41.40,+0.64 +1.56% 22.106M 25.301M 174.539B 8.84 -5.54%,37.59,47.36
CLSK,"CleanSpark, Inc.",9.72,-0.06 -0.66% 21.578M 31.583M 2.597B 11.01 -35.23%,6.45,23.61
MSFT,Microsoft Corporation,474.52,-3.91 -0.82% 21.308M 21.415M 3.527T 35.12 +14.73%,344.79,555.45
AGNC,AGNC Investment Corp.,10.27,+0.20 +1.99% 20.912M 21.131M 11.017B 14.36 +3.39%,7.85,10.63
BTG,B2Gold Corp.,3.81,+0.02 +0.46% 20.364M 49.266M 5.087B 25.64 +29.79%,2.20,5.94
AVGO,Broadcom Inc.,343.62,-3.20 -0.92% 20.349M 23.507M 1.623T 87.47 +111.18%,138.10,386.48
SMR,NuScale Power Corporation,18.48,-0.22 -1.18% 20.348M 21.775M 3.098B -- -38.10%,11.08,57.42
QUBT,Quantum Computing Inc.,10.32,+0.05 +0.49% 19.821M 38.169M 2.313B -- +68.36%,4.37,27.15
CMCSA,Comcast Corporation,27.33,+0.70 +2.65% 18.983M 28.019M 100.926B 4.55 -38.74%,25.75,44.03
ET,Energy Transfer LP,16.56,-0.08 -0.48% 18.96M 13.498M 56.857B 13.55 -12.74%,14.60,21.45
OKLO,Oklo Inc.,88.16,+0.16 +0.18% 18.907M 19.663M 13.774B -- +249.21%,17.14,193.84
SNDK,Sandisk Corporation,203.22,+7.26 +3.70% 18.345M 9.018M 29.783B -- +444.33%,27.89,284.76
GAP,"The Gap, Inc.",25.13,+2.07 +8.98% 18.186M 9.89M 9.375B 10.28 -7.28%,16.99,29.29
GGB,Gerdau S.A.,3.41,+0.03 +1.04% 17.751M 17.267M 6.771B 12.63 -0.29%,2.27,3.66
KO,The Coca-Cola Company,73.01,+1.80 +2.53% 17.446M 16.351M 314.211B 23.58 +11.40%,60.62,74.38
TSM,Taiwan Semiconductor Manufacturing Company Limited,276.28,-1.22 -0.44% 16.874M 12.869M 1.433T 23.18 +45.99%,134.25,311.37
STLA,Stellantis N.V.,9.91,+0.69 +7.42% 16.815M 16.524M 28.642B -- -29.27%,8.39,14.28
ITUB,Itaú Unibanco Holding S.A.,7.38,+0.03 +0.41% 16.400M 25.711M 79.162B 9.83 +38.21%,4.42,7.86
SLB,SLB N.V.,36.07,+0.88 +2.50% 16.221M 16.344M 53.841B 14.02 -20.44%,31.11,44.97
RKLB,Rocket Lab Corporation,40.62,+1.14 +2.87% 16.206M 22.866M 21.687B -- +69.73%,14.71,73.97
NVO,Novo Nordisk A/S,47.88,+0.28 +0.58% 15.967M 15.132M 213.087B 13.07 -54.69%,45.05,112.52
META,"Meta Platforms, Inc.",596.16,+6.94 +1.18% 15.867M 15.88M 1.504T 26.41 +5.37%,479.80,796.25
PYPL,"PayPal Holdings, Inc.",60.69,+2.58 +4.45% 15.760M 15.408M 57.996B 12.19 -33.04%,55.85,93.66
CLF,Cleveland-Cliffs Inc.,11.41,+0.44 +3.96% 15.864M 27.72M 6.517B -- -11.88%,5.63,16.70
CRCL,Circle Internet Group,71.92,+4.99 +7.46% 15.700M 12.842M 18.294B -- -19.58%,64.00,298.99
EXAS,Exact Sciences Corporation,100.90,+0.24 +0.23% 15.082M 3.898M 19.119B -- +90.27%,38.81,101.87
MRK,"Merck & Co., Inc.",98.29,+3.32 +3.49% 14.956M 12.583M 245.707B 12.76 -4.24%,73.31,105.07
CMG,"Chipotle Mexican Grill, Inc.",31.83,+1.48 +4.86% 14.851M 22.402M 42.7B 27.24 -51.06%,29.75,66.74
CSCO,"Cisco Systems, Inc.",76.60,+1.15 +1.53% 14.518M 20.272M 302.383B 29.88 +28.85%,52.11,80.06
HIMS,"Hims & Hers Health, Inc.",34.49,+0.87 +2.59% 14.411M 28.713M 7.845B 67.54 +32.73%,23.03,72.98
RIOT,"Riot Platforms, Inc.",12.70,-0.07 -0.59% 14.338M 32.949M 4.729B 34.66 +3.82%,6.19,23.94
VICI,VICI Properties Inc.,28.91,+0.11 +0.36% 14.353M 9.11M 30.899B 11.24 -10.64%,27.98,34.03
AMCR,Amcor plc,8.48,+0.13 +1.50% 14.101M 23.277M 19.586B 26.38 -20.31%,7.67,10.71
DOW,Dow Inc.,22.19,+1.24 +5.94% 13.991M 13.444M 15.758B -- -53.92%,20.40,46.35
OWL,Blue Owl Capital Inc.,14.02,+0.28 +2.00% 13.905M 12.68M 21.924B 179.40 -44.03%,13.25,26.73
FCX,Freeport-McMoRan Inc.,39.99,+0.36 +0.92% 13.848M 18.685M 57.43B 27.98 -9.35%,27.66,49.12
UUUU,Energy Fuels Inc.,12.60,-0.61 -4.58% 13.254M 23.086M 2.991B -- +89.26%,3.20,27.33
PATH,UiPath Inc.,13.05,+0.32 +2.47% 13.216M 22.645M 6.98B 372.36 -10.60%,9.38,18.74
HPQ,HP Inc.,24.14,+1.53 +6.77% 12.698M 11.334M 22.675B 8.23 -40.70%,21.21,39.80
LYFT,"Lyft, Inc.",19.70,-0.06 -0.30% 12.673M 20.835M 8.007B 59.81 +17.69%,9.66,25.54
BABA,Alibaba Group Holding Limited,153.97,+0.69 +0.45% 12.46M 19.64M 367.372B 18.39 +84.39%,80.06,192.67
PBR,Petróleo Brasileiro S.A. - Petrobras,12.74,-0.04 -0.31% 12.452M 22.92M 82.101B 5.48 -14.23%,11.03,15.10
CCL,Carnival Corporation & plc,26.65,+1.33 +5.23% 12.281M 21.452M 36.127B 13.29 +1.69%,15.07,32.80
INFY,Infosys Limited,17.72,+0.59 +3.42% 12.197M 16.845M 73.434B 21.30 -24.84%,15.82,23.63
CORZ,"Core Scientific, Inc.",14.78,-0.38 -2.51% 12.131M 16.119M 4.583B -- -16.84%,6.20,23.63
ANET,Arista Networks Inc,117.37,-2.22 -1.86% 12.109M 8.821M 147.802B 46.95 +17.68%,59.43,164.94
HPE,Hewlett Packard Enterprise Company,20.66,+0.64 +3.19% 11.774M 31.158M 27.258B 24.27 -9.41%,11.97,26.44
AUR,"Aurora Innovation, Inc.",3.82,+0.05 +1.40% 11.716M 17.758M 7.398B -- -41.91%,3.69,10.77
KEY,KeyCorp,17.89,+0.60 +3.50% 11.676M 24.214M 19.611B 19.88 -11.84%,12.73,20.04
KVUE,Kenvue Inc.,16.42,+0.27 +1.70% 11.624M 38.931M 31.521B 21.71 -32.93%,14.02,25.17
CPRT,"Copart, Inc.",40.29,-0.73 -1.78% 11.361M 7.619M 38.994B 25.99 -34.58%,39.58,64.38
ASTS,"AST SpaceMobile, Inc.",51.74,+1.03 +2.04% 11.259M 12.621M 14.383B -- +110.37%,17.50,102.79
COMP,"Compass, Inc.",9.90,+0.72 +7.90% 11.219M 11.939M 5.557B -- +34.41%,5.10,10.25
CDE,"Coeur Mining, Inc.",14.00,+0.14 +1.01% 11.196M 16.939M 8.991B 19.49 +110.96%,4.58,23.62
AG,First Majestic Silver Corp.,11.18,+0.15 +1.41% 11.064M 21.355M 5.48B 73.88 +74.64%,5.09,15.69
CVE,Cenovus Energy Inc.,17.87,-0.19 -1.05% 10.98M 17.564M 33.71B 15.09 +11.55%,10.23,18.75
LYG,Lloyds Banking Group plc,4.61,+0.09 +1.99% 10.929M 6.928M 83.053B 15.74 +65.57%,2.56,5.05
ERIC,Telefonaktiebolaget LM Ericsson (publ),9.45,+0.16 +1.75% 10.738M 15.524M 31.508B 12.24 +14.13%,6.64,10.35
CAG,"Conagra Brands, Inc.",17.78,+0.40 +2.29% 10.688M 11.677M 8.504B 9.82 -36.62%,16.60,28.69
MRVL,"Marvell Technology, Inc.",78.77,+2.09 +2.73% 10.686M 21.234M 67.915B -- -17.11%,47.09,127.48
COLD,"Americold Realty Trust, Inc.",10.49,+0.37 +3.63% 10.683M 6.51M 2.997B -- -56.17%,10.12,24.22
LEN,Lennar Corporation,123.00,+6.75 +5.81% 10.524M 4.59M 31.368B 11.42 -29.01%,98.42,174.37
IQ,"iQIYI, Inc.",2.13,-0.06 -2.62% 10.506M 14.314M 2.054B -- +12.31%,1.50,2.84
CSX,CSX Corporation,34.32,+0.64 +1.90% 10.483M 16.732M 63.982B 22.08 -5.87%,26.22,37.25
C,Citigroup Inc.,98.94,+1.31 +1.34% 10.383M 12.943M 248.992B 13.84 +39.79%,55.51,105.59
NCLH,Norwegian Cruise Line Holdings Ltd.,18.33,+0.83 +4.72% 10.25M 16.267M 8.343B 12.77 -34.85%,14.21,29.29
GLXY,Galaxy Digital,23.43,-0.60 -2.50% 10.211M 9.118M 9.463B -- +5.39%,17.40,45.92
MRNA,"Moderna, Inc.",23.50,+1.14 +5.12% 10.018M 11.646M 9.184B -- -45.61%,22.32,48.92
COIN,"Coinbase Global, Inc.",242.21,+4.05 +1.70% 10.005M 9.535M 65.312B 22.80 -21.82%,142.58,444.65
RF,Regions Financial Corporation,24.95,+0.85 +3.55% 9.979M 25.915M 22.268B 10.65 -11.66%,17.74,27.96
DKNG,DraftKings Inc.,30.08,+1.08 +3.71% 9.837M 15.663M 14.971B -- -32.70%,26.23,53.61
HL,Hecla Mining Company,13.23,+0.02 +0.15% 9.783M 23.488M 8.865B 45.42 +139.31%,4.46,16.10
TTD,"The Trade Desk, Inc.",39.51,+1.16 +3.02% 9.667M 14.281M 19.318B 45.96 -70.43%,38.28,141.53
JD,"JD.com, Inc.",28.99,+0.60 +2.10% 9.662M 16.585M 42.765B 9.84 -18.14%,28.34,46.45
NGD,New Gold Inc.,6.78,+0.09 +1.27% 9.574M 20.394M 5.407B 22.04 +136.75%,2.43,7.75
XYZ,"Block, Inc.",62.20,+0.25 +0.40% 9.523M 6.698M 37.915B 11.53 -32.85%,44.27,99.26
WFC,Wells Fargo & Company,83.13,+0.73 +0.89% 9.464M 14.795M 266.302B 13.81 +8.48%,58.42,88.64
MP,MP Materials Corp.,55.76,-0.92 -1.61% 9.44M 14.971M 9.883B -- +188.59%,15.56,100.25
ON,ON Semiconductor Corporation,47.31,+2.41 +5.37% 9.319M 8.464M 19.349B 60.35 -35.51%,31.04,74.52
