Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,164.10,+1.22,+0.75%,164.169M,215.41M,4.002T,53.11,+27.85%
AAL,American Airlines Group Inc.,12.94,+1.46,+12.72%,147.976M,58.013M,8.534B,12.94,+6.99%
NU,Nu Holdings Ltd.,13.03,-0.61,-4.47%,105.122M,60.088M,62.862B,29.61,+2.94%
TSLA,"Tesla, Inc.",309.87,+13.99,+4.73%,102.601M,113.033M,998.079B,177.07,+22.76%
LCID,"Lucid Group, Inc.",2.3300,+0.0500,+2.19%,96.887M,129.336M,7.107B,--,-32.94%
MP,MP Materials Corp.,45.28,+15.25,+50.78%,84.283M,9.866M,7.401B,--,+101.81%
SOFI,"SoFi Technologies, Inc.",20.97,+0.75,+3.71%,85.139M,66.829M,23.179B,48.77,+198.67%
VALE,Vale S.A.,9.95,+0.09,+0.91%,82.062M,34.201M,42.821B,7.21,-13.43%
PROK,ProKidney Corp.,5.18,+0.84,+19.35%,72.487M,10.319M,2.162B,--,+80.83%
NIO,NIO Inc.,3.6950,+0.2150,+6.18%,70.421M,34.12M,8.324B,--,-25.64%
PLTR,Palantir Technologies Inc.,142.50,-0.63,-0.44%,62.774M,92.226M,336.287B,619.57,+417.84%
SOUN,"SoundHound AI, Inc.",12.29,-0.61,-4.73%,62.108M,33.473M,4.937B,--,+140.22%
F,Ford Motor Company,11.90,+0.07,+0.63%,58.736M,103.239M,47.341B,9.52,-12.18%
AMD,"Advanced Micro Devices, Inc.",144.16,+5.75,+4.15%,60.173M,44.861M,233.741B,105.23,-23.93%
ITUB,Itaú Unibanco Holding S.A.,6.36,-0.29,-4.32%,50.992M,29.018M,66.048B,8.96,+18.17%
BTG,B2Gold Corp.,3.4750,-0.0950,-2.66%,52.494M,51.728M,4.592B,--,+19.80%
BBD,Banco Bradesco S.A.,2.9250,-0.0850,-2.82%,50.339M,40.494M,28.787B,9.44,+28.63%
QS,QuantumScape Corporation,9.09,+0.73,+8.67%,50.009M,22.229M,5.078B,--,+18.41%
INTC,Intel Corporation,23.82,+0.38,+1.62%,53.309M,83.703M,103.903B,--,-30.03%
HOOD,"Robinhood Markets, Inc.",98.70,+4.16,+4.40%,47.752M,43.283M,87.095B,56.40,+328.95%
DAL,"Delta Air Lines, Inc.",56.79,+6.09,+12.01%,45.141M,10.229M,37.081B,10.07,+12.69%
CIFR,Cipher Mining Inc.,6.24,-0.02,-0.32%,44.502M,26.25M,2.316B,--,+43.58%
MARA,"MARA Holdings, Inc.",18.99,+0.53,+2.89%,44.193M,44.665M,6.684B,--,-2.94%
MBLY,Mobileye Global Inc.,16.67,-0.65,-3.75%,44.062M,3.839M,13.544B,--,-35.92%
WBD,"Warner Bros. Discovery, Inc.",11.65,+0.16,+1.39%,40.277M,46.826M,28.823B,--,+55.69%
BAC,Bank of America Corporation,46.95,+0.11,+0.23%,39.32M,41.68M,353.622B,14.01,+12.03%
CLF,Cleveland-Cliffs Inc.,9.77,+0.92,+10.45%,38.512M,30.976M,4.835B,--,-44.30%
SNAP,Snap Inc.,9.35,+0.23,+2.52%,38.107M,37.586M,15.626B,--,-44.29%
AAPL,Apple Inc.,212.41,+1.27,+0.60%,42.577M,55.614M,3.173T,33.09,-7.22%
OSCR,"Oscar Health, Inc.",15.53,-0.55,-3.42%,35.94M,15.067M,3.955B,38.82,-3.07%
AES,The AES Corporation,12.40,-0.86,-6.45%,32.533M,17.598M,8.831B,6.74,-28.90%
PFE,Pfizer Inc.,25.78,+0.22,+0.86%,32.355M,43.644M,146.569B,18.68,-10.82%
JOBY,"Joby Aviation, Inc.",12.31,+0.75,+6.49%,31.453M,21.669M,10.359B,--,+86.15%
HPE,Hewlett Packard Enterprise Company,21.27,+0.47,+2.25%,31.325M,19.024M,27.909B,20.45,-1.89%
RIG,Transocean Ltd.,2.8850,+0.0250,+0.87%,31.839M,41.206M,2.548B,--,-44.79%
SMCI,"Super Micro Computer, Inc.",50.36,+0.34,+0.68%,32.161M,45.99M,30.056B,27.37,-43.75%
GOOGL,Alphabet Inc.,177.62,+1.00,+0.57%,28.474M,40.409M,2.161T,19.85,-4.82%
RXRX,"Recursion Pharmaceuticals, Inc.",5.72,+0.12,+2.24%,28.339M,26.037M,2.478B,--,-27.21%
RIOT,"Riot Platforms, Inc.",12.59,+0.35,+2.86%,28.565M,35.704M,4.498B,--,+31.47%
STLA,Stellantis N.V.,10.38,+0.10,+0.92%,28.14M,16.737M,29.971B,4.80,-49.26%
CAG,"Conagra Brands, Inc.",19.48,-0.90,-4.44%,27.224M,7.185M,9.297B,28.64,-28.19%
GRAB,Grab Holdings Limited,4.9200,-0.0700,-1.40%,27.768M,35.068M,20.29B,492.00,+39.00%
CORZ,"Core Scientific, Inc.",13.18,-0.25,-1.86%,26.246M,16.448M,4.003B,--,+38.31%
QBTS,D-Wave Quantum Inc.,16.01,-0.38,-2.29%,26.052M,66.499M,5.004B,--,"+1,288.98%"
ACHR,Archer Aviation Inc.,10.80,+0.35,+3.35%,25.978M,34.445M,5.929B,--,+128.67%
INFY,Infosys Limited,18.10,-0.72,-3.80%,26.099M,11.142M,76B,23.82,-5.38%
AMZN,"Amazon.com, Inc.",222.26,-0.28,-0.13%,28.96M,44.086M,2.36T,36.20,+14.09%
VRT,Vertiv Holdings Co,120.68,-7.69,-5.99%,24.212M,7.548M,45.992B,70.16,+38.24%
RGTI,"Rigetti Computing, Inc.",13.03,-0.48,-3.55%,24.813M,48.495M,4.205B,--,"+1,224.51%"
CNH,CNH Industrial N.V.,13.80,+0.11,+0.80%,23.344M,18.823M,17.242B,17.25,+36.63%
CLSK,"CleanSpark, Inc.",12.90,+0.43,+3.45%,24.013M,27.317M,3.624B,--,-16.64%
UAA,"Under Armour, Inc.",7.09,+0.16,+2.24%,22.464M,12.502M,2.951B,--,-0.86%
IREN,IREN Limited,17.03,+0.07,+0.41%,22.587M,19.507M,4.119B,--,+51.43%
LUV,Southwest Airlines Co.,37.33,+2.79,+8.08%,21.39M,11.797M,21.273B,41.94,+28.07%
GGB,Gerdau S.A.,3.0050,-0.0550,-1.80%,21.242M,12.765M,5.809B,10.36,-7.55%
GOOG,Alphabet Inc.,178.70,+1.04,+0.59%,23.672M,26.886M,2.162T,19.97,-5.15%
PBR,Petróleo Brasileiro S.A. - Petrobras,12.84,-0.04,-0.31%,20.688M,23.954M,80.518B,9.58,-15.21%
