Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,185.98,+4.10 +2.26% 149.366M 172.362M 4.528T 51.95 +55.43%,86.62,187.35
SNAP,Snap Inc.,7.78,-0.62 -7.38% 146.468M 77.455M 12.944B -- -19.39%,6.90,13.28
OPEN,Opendoor Technologies Inc.,8.14,-0.06 -0.78% 110.16M 341.862M 6.487B -- +331.58%,0.51,10.87
PFE,Pfizer Inc.,25.03,+1.18 +4.95% 95.473M 43.345M 142.31B 13.17 -16.81%,20.92,30.43
NIO,NIO Inc.,7.56,+0.35 +4.82% 80.003M 81.998M 18.785B -- +2.56%,3.02,7.78
INTC,Intel Corporation,33.59,-0.88 -2.56% 77.536M 115.245M 161.515B -- +51.96%,17.67,36.30
SOFI,"SoFi Technologies, Inc.",25.96,-1.59 -5.77% 64.183M 69.176M 31.572B 52.98 +261.07%,7.57,30.30
PATH,UiPath Inc.,13.82,+1.26 +10.07% 62.02M 12.455M 7.137B 460.83 +1.29%,9.38,15.93
DNN,Denison Mines Corp.,2.7600,-0.0300 -1.08% 62.497M 72.014M 2.474B -- +46.84%,1.08,2.95
CRWV,"CoreWeave, Inc.",138.36,+15.84 +12.93% 57.138M 23.183M 67.284B -- +206.30%,33.52,187.00
PSLV,Sprott Physical Silver Trust,15.65,-0.07 -0.48% 58.1M 30.896M 8.687B 6.87 +49.67%,9.60,15.88
AAL,American Airlines Group Inc.,11.11,-0.27 -2.33% 55.389M 74.174M 7.334B 13.08 +4.40%,8.50,19.10
RGTI,"Rigetti Computing, Inc.",29.76,"+0.12 +0.42% 31.433M 52.512M 10.147B -- +3,837.58%",0.73,34.40
NOK,Nokia Oyj,4.7900,+0.0900 +1.91% 43.136M 23.803M 25.766B 25.21 +8.05%,3.91,5.48
BBAI,"BigBear.ai Holdings, Inc.",6.44,-0.02 -0.24% 42.887M 103.318M 2.489B -- +368.12%,1.36,10.36
TSLA,"Tesla, Inc.",437.50,-5.71 -1.29% 42.519M 89.835M 1.455T 260.42 +71.77%,212.11,488.54
F,Ford Motor Company,11.95,-0.14 -1.12% 39.376M 63.525M 47.264B 15.33 +12.47%,8.44,12.32
WOLF,"Wolfspeed, Inc.",32.44,+10.34 +46.75% 38.573M 57.614M 5.076B -- +148.59%,0.39,34.28
QS,QuantumScape Corporation,12.15,-0.23 -1.86% 36.412M 43.688M 7.033B -- +130.54%,3.40,15.03
PLUG,Plug Power Inc.,2.2400,-0.0300 -1.32% 35.595M 74.068M 2.724B -- +10.19%,0.69,3.32
ITUB,Itaú Unibanco Holding S.A.,7.31,-0.02 -0.27% 34.962M 28.697M 72.975B 9.62 +23.67%,4.42,7.44
BTG,B2Gold Corp.,4.9250,-0.0350 -0.71% 33.625M 38.87M 6.516B -- +57.96%,2.20,5.07
HOOD,"Robinhood Markets, Inc.",139.26,+2.54 +1.86% 32.663M 47.165M 110.232B 63.01 +512.27%,22.05,142.48
RIG,Transocean Ltd.,3.0699,-0.0401 -1.29% 31.934M 31.885M 3.467B -- -29.16%,1.97,4.74
SOUN,"SoundHound AI, Inc.",15.60,-0.08 -0.51% 30.575M 59.572M 6.465B -- +243.86%,4.45,24.98
MARA,"MARA Holdings, Inc.",18.25,-0.41 -2.22% 29.247M 54.804M 6.759B 8.49 +23.82%,9.81,30.28
ABEV,Ambev S.A.,2.2300,-0.0600 -2.62% 28.115M 32.718M 35.476B 13.12 -8.40%,1.76,2.64
BBD,Banco Bradesco S.A.,3.3800,+0.0300 +0.90% 27.67M 37.181M 32.594B 9.66 +24.07%,1.84,3.41
QBTS,D-Wave Quantum Inc.,24.13,"-1.18 -4.66% 26.921M 45.781M 8.726B -- +2,651.09%",0.87,29.18
DKNG,DraftKings Inc.,37.51,-4.79 -11.32% 26.914M 8.805M 18.632B -- +10.60%,29.64,53.61
