Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
INTC,Intel Corporation,19.80,-0.61,-3.01%,87.572M,82.573M,86.643B,--,-0.39%
NVDA,NVIDIA Corporation,180.32,+0.90,+0.50%,90.12M,191.85M,4.398T,58.17,+70.93%
AMD,"Advanced Micro Devices, Inc.",171.12,+8.01,+4.91%,66.52M,52.914M,277.709B,103.09,+19.66%
AAPL,Apple Inc.,219.01,+5.74,+2.69%,55.605M,54.179M,3.25T,33.23,-0.03%
PARA,Paramount Global,11.04,0.00,0.00%,46.684M,9.985M,7.682B,368.00,+8.13%
QBTS,D-Wave Quantum Inc.,17.27,-0.31,-1.73%,47.677M,71.6M,5.398B,--,"+2,097.50%"
PLTR,Palantir Technologies Inc.,181.19,+1.65,+0.92%,46.651M,77.098M,429.847B,584.49,+513.18%
BMNR,"Bitmine Immersion Technologies, Inc.",40.00,+1.53,+3.98%,46.092M,21.289M,4.492B,--,+396.39%
F,Ford Motor Company,11.20,-0.01,-0.04%,41.548M,86.892M,44.594B,14.37,+10.66%
TSLA,"Tesla, Inc.",318.93,-0.98,-0.31%,40.051M,106.911M,1.029T,187.61,+60.89%
LCID,"Lucid Group, Inc.",2.1650,-0.0200,-0.91%,38.176M,150.82M,6.652B,--,-30.63%
HL,Hecla Mining Company,7.26,+1.15,+18.90%,35.87M,20.654M,4.596B,60.54,+21.96%
SNAP,Snap Inc.,7.53,-0.25,-3.15%,36.992M,37.608M,12.732B,--,-12.98%
WBD,"Warner Bros. Discovery, Inc.",11.93,-0.88,-6.87%,34.776M,59.498M,29.503B,--,+82.19%
BBD,Banco Bradesco S.A.,2.8597,+0.0097,+0.34%,34.292M,41.763M,28.184B,8.41,+10.89%
RUN,Sunrun Inc.,11.65,+2.58,+28.39%,33.479M,24.012M,2.661B,--,-51.83%
NBIS,Nebius Group N.V.,66.10,+11.01,+19.99%,33.586M,13.5M,15.779B,--,+175.45%
SOFI,"SoFi Technologies, Inc.",21.92,+0.47,+2.17%,34.487M,71.614M,26.226B,43.85,+223.19%
FTNT,"Fortinet, Inc.",72.39,-24.19,-25.05%,33.16M,4.606M,55.405B,29.79,+40.62%
PTON,"Peloton Interactive, Inc.",7.08,+0.01,+0.14%,32.595M,14.238M,2.822B,--,+137.25%
NVO,Novo Nordisk A/S,48.81,+3.43,+7.56%,31.703M,13.668M,214.679B,12.61,-64.59%
HOOD,"Robinhood Markets, Inc.",109.48,+3.83,+3.63%,31.05M,44.275M,97.292B,55.57,+495.88%
SMCI,"Super Micro Computer, Inc.",47.09,+0.30,+0.64%,28.964M,45.898M,28.104B,28.03,-8.24%
JOBY,"Joby Aviation, Inc.",17.07,-1.86,-9.81%,29.897M,32.105M,14.368B,--,+264.04%
AAL,American Airlines Group Inc.,11.62,-0.12,-1.01%,26.67M,61.704M,7.668B,13.84,+18.71%
AMZN,"Amazon.com, Inc.",222.46,+0.16,+0.07%,23.601M,43.705M,2.373T,33.91,+34.08%
LYFT,"Lyft, Inc.",13.66,-0.37,-2.64%,23.391M,17.674M,5.748B,91.10,+38.93%
GRAB,Grab Holdings Limited,4.8750,+0.1050,+2.20%,22.864M,37.548M,19.871B,243.75,+47.68%
PFE,Pfizer Inc.,24.34,+0.41,+1.73%,24.019M,42.67M,138.41B,12.88,-16.79%
QS,QuantumScape Corporation,8.82,+0.55,+6.58%,20.485M,41.428M,4.995B,--,+44.25%
IONQ,"IonQ, Inc.",39.89,-1.34,-3.24%,19.165M,23.615M,11.62B,--,+479.89%
BTG,B2Gold Corp.,3.8100,+0.0500,+1.33%,19.455M,44.291M,5.045B,--,+36.23%
HIMS,"Hims & Hers Health, Inc.",51.01,-0.12,-0.23%,19.133M,43.98M,11.53B,64.57,+222.59%
CDE,"Coeur Mining, Inc.",10.99,+1.10,+11.17%,18.221M,13.988M,7.033B,37.91,+83.83%
LLY,Eli Lilly and Company,646.13,-100.24,-13.43%,18.325M,3.688M,580.058B,52.45,-11.70%
NU,Nu Holdings Ltd.,12.36,+0.14,+1.19%,18.237M,64.308M,59.654B,28.10,+2.78%
SOUN,"SoundHound AI, Inc.",10.56,-0.24,-2.18%,18.134M,38.522M,4.244B,--,+107.29%
APLD,Applied Digital Corporation,13.82,-0.97,-6.58%,18.334M,51.95M,3.613B,--,+257.25%
RGTI,"Rigetti Computing, Inc.",15.56,-0.43,-2.72%,17.755M,54.502M,5.02B,--,"+1,824.19%"
APP,AppLovin Corporation,429.16,+38.59,+9.88%,16.616M,5.767M,145.223B,77.33,+409.02%
NIO,NIO Inc.,4.6450,+0.0350,+0.76%,16.831M,48.213M,10.5B,--,+20.68%
RIVN,"Rivian Automotive, Inc.",11.88,+0.24,+2.06%,16.223M,33.474M,14.416B,--,-20.92%
DKNG,DraftKings Inc.,44.31,-1.05,-2.31%,15.538M,9.878M,21.99B,--,+48.53%
OSCR,"Oscar Health, Inc.",14.95,+0.61,+4.29%,15.537M,24.557M,3.86B,--,-22.36%
UBER,"Uber Technologies, Inc.",89.50,+0.28,+0.31%,15.449M,20.858M,187.161B,15.25,+29.29%
T,AT&T Inc.,27.92,+0.43,+1.58%,15.582M,32.816M,199.672B,15.96,+41.70%
CELH,"Celsius Holdings, Inc.",50.10,+7.36,+17.21%,15.108M,6.356M,12.922B,151.80,+7.96%
RIOT,"Riot Platforms, Inc.",11.47,-0.19,-1.62%,15.401M,39.84M,4.24B,--,+40.65%
ITUB,Itaú Unibanco Holding S.A.,6.76,+0.11,+1.73%,15.372M,31.101M,67.204B,9.27,+21.11%
KVUE,Kenvue Inc.,21.80,+0.35,+1.66%,14.851M,19.353M,41.844B,38.92,+0.89%
ACHR,Archer Aviation Inc.,9.71,-0.14,-1.42%,15.343M,40.341M,5.331B,--,+146.87%
MARA,"MARA Holdings, Inc.",15.68,-0.21,-1.29%,15.011M,48.14M,5.811B,8.43,-8.63%
PSLV,Sprott Physical Silver Trust,12.96,+0.13,+0.98%,14.309M,29.337M,6.826B,4.26,+37.22%
BAC,Bank of America Corporation,45.10,-0.31,-0.69%,14.621M,40.074M,334.09B,13.23,+18.87%
GOOGL,Alphabet Inc.,196.04,-0.05,-0.03%,13.496M,41.024M,2.375T,20.92,+21.02%
TSM,Taiwan Semiconductor Manufacturing Company Limited,241.88,+10.51,+4.54%,13.111M,11.59M,1.255T,28.97,+40.61%
OXY,Occidental Petroleum Corporation,44.38,+1.84,+4.34%,12.991M,11.67M,43.681B,17.97,-27.32%
IREN,IREN Limited,17.66,-0.66,-3.60%,13.613M,23.938M,4.271B,--,+141.05%
STLA,Stellantis N.V.,9.27,+0.31,+3.40%,13.002M,20.152M,26.764B,--,-42.27%
VALE,Vale S.A.,9.97,+0.12,+1.19%,12.957M,42.431M,42.547B,8.17,-3.15%
APA,APA Corporation,19.58,+1.52,+8.39%,12.829M,7.376M,7.064B,7.02,-36.52%
CLSK,"CleanSpark, Inc.",10.53,-0.47,-4.31%,12.972M,27.075M,2.957B,--,-10.06%
ZETA,Zeta Global Holdings Corp.,18.92,-1.31,-6.50%,12.301M,8.243M,4.455B,--,-14.02%
RIG,Transocean Ltd.,2.9550,-0.0750,-2.48%,12.013M,38.048M,2.787B,--,-42.61%
CRBG,"Corebridge Financial, Inc.",33.24,-0.99,-2.88%,12.136M,3.022M,17.908B,--,+32.16%
HLN,Haleon plc,9.48,+0.23,+2.43%,11.672M,15.059M,42.784B,21.53,-3.85%
U,Unity Software Inc.,32.81,+0.89,+2.80%,11.874M,14.6M,13.797B,--,+122.28%
EXAS,Exact Sciences Corporation,41.00,-5.91,-12.60%,12.035M,2.793M,7.734B,--,-18.08%
UWMC,UWM Holdings Corporation,4.5550,+0.3350,+7.94%,11.308M,6.706M,10.652B,--,-50.18%
MU,"Micron Technology, Inc.",111.39,+2.61,+2.40%,11.407M,21.959M,124.665B,20.07,+18.15%
ABEV,Ambev S.A.,2.2750,+0.0150,+0.66%,11.923M,30.211M,35.472B,13.38,+0.44%
CMCSA,Comcast Corporation,31.97,-0.19,-0.59%,11.386M,20.713M,118.04B,5.30,-18.27%
MQ,"Marqeta, Inc.",6.43,+0.75,+13.12%,11.497M,6.925M,3.009B,64.25,+6.17%
PBR,Petróleo Brasileiro S.A. - Petrobras,13.15,+0.14,+1.11%,11.275M,22.656M,80.855B,9.82,-8.25%
BCS,Barclays PLC,19.61,+0.05,+0.26%,11.076M,15.95M,69.083B,9.12,+77.82%
AMCR,Amcor plc,9.59,+0.18,+1.91%,10.737M,25.368M,21.974B,17.12,-11.31%
