Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
AAL,American Airlines Group Inc.,12.95,+1.47,+12.80%,92.638M,58.013M,8.544B,12.95,+6.99%
NVDA,NVIDIA Corporation,162.69,-0.19,-0.12%,88.644M,215.41M,3.967T,52.64,+27.85%
MP,MP Materials Corp.,43.58,+13.55,+45.12%,60.404M,9.866M,7.123B,--,+101.81%
PROK,ProKidney Corp.,5.28,+0.94,+21.66%,56.571M,10.319M,2.204B,--,+80.83%
SOFI,"SoFi Technologies, Inc.",20.96,+0.74,+3.66%,55.451M,66.829M,23.168B,48.74,+198.67%
NU,Nu Holdings Ltd.,12.94,-0.70,-5.13%,53.624M,60.088M,62.428B,29.41,+2.94%
TSLA,"Tesla, Inc.",303.42,+7.54,+2.55%,50.597M,113.033M,977.299B,173.38,+22.76%
LCID,"Lucid Group, Inc.",2.2999,+0.0199,+0.87%,43.468M,129.336M,7.015B,--,-32.94%
SOUN,"SoundHound AI, Inc.",12.29,-0.61,-4.73%,42.202M,33.473M,4.937B,--,+140.22%
AMD,"Advanced Micro Devices, Inc.",143.28,+4.87,+3.52%,41.319M,44.861M,232.314B,104.58,-23.93%
PLTR,Palantir Technologies Inc.,140.60,-2.53,-1.77%,38.417M,92.226M,331.803B,611.30,+417.84%
NIO,NIO Inc.,3.6050,+0.1250,+3.59%,37.249M,34.12M,8.121B,--,-25.64%
VALE,Vale S.A.,10.22,+0.36,+3.65%,36.612M,34.201M,43.983B,7.41,-13.43%
F,Ford Motor Company,11.90,+0.07,+0.59%,34.502M,103.239M,47.321B,9.52,-12.18%
QS,QuantumScape Corporation,8.97,+0.61,+7.30%,31.221M,22.229M,5.014B,--,+18.41%
MBLY,Mobileye Global Inc.,16.80,-0.52,-3.03%,30.701M,3.839M,13.646B,--,-35.92%
DAL,"Delta Air Lines, Inc.",56.76,+6.06,+11.96%,30.398M,10.229M,37.065B,10.06,+12.69%
INTC,Intel Corporation,23.67,+0.23,+0.98%,27.289M,83.703M,103.248B,--,-30.03%
CIFR,Cipher Mining Inc.,6.37,+0.11,+1.76%,24.926M,26.25M,2.365B,--,+43.58%
CLF,Cleveland-Cliffs Inc.,9.68,+0.83,+9.38%,24.615M,30.976M,4.788B,--,-44.30%
BTG,B2Gold Corp.,3.4450,-0.1250,-3.50%,24.746M,51.728M,4.552B,--,+19.80%
HOOD,"Robinhood Markets, Inc.",96.24,+1.69,+1.79%,23.231M,43.283M,84.92B,54.99,+328.95%
ITUB,Itaú Unibanco Holding S.A.,6.43,-0.22,-3.38%,22.937M,29.018M,66.695B,9.05,+18.17%
AAPL,Apple Inc.,212.02,+0.88,+0.42%,21.755M,55.614M,3.167T,33.02,-7.22%
OSCR,"Oscar Health, Inc.",15.98,-0.10,-0.62%,20.469M,15.067M,4.07B,39.95,-3.07%
SMCI,"Super Micro Computer, Inc.",50.55,+0.53,+1.06%,20.514M,45.99M,30.169B,27.47,-43.75%
MARA,"MARA Holdings, Inc.",18.58,+0.12,+0.65%,19.785M,44.665M,6.539B,--,-2.94%
STLA,Stellantis N.V.,10.47,+0.19,+1.80%,18.343M,16.737M,30.232B,4.85,-49.26%
RXRX,"Recursion Pharmaceuticals, Inc.",5.71,+0.12,+2.15%,18.26M,26.037M,2.476B,--,-27.21%
BBD,Banco Bradesco S.A.,2.9350,-0.0750,-2.49%,18.147M,40.494M,28.886B,9.47,+28.63%
BAC,Bank of America Corporation,47.12,+0.28,+0.61%,17.957M,41.68M,354.94B,14.07,+12.03%
PFE,Pfizer Inc.,25.88,+0.32,+1.25%,17.836M,43.644M,147.137B,18.75,-10.82%
WBD,"Warner Bros. Discovery, Inc.",11.62,+0.13,+1.13%,17.737M,46.826M,28.748B,--,+55.69%
VRT,Vertiv Holdings Co,119.79,-8.57,-6.68%,17.594M,7.548M,45.654B,69.65,+38.24%
UAA,"Under Armour, Inc.",7.21,+0.28,+4.04%,16.801M,12.502M,3.003B,--,-0.86%
