Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,2.8800,-0.3300,-10.28%,1.037B,137.631M,2.1B,--,+24.42%
LCID,"Lucid Group, Inc.",3.1300,+0.3100,+10.99%,249.34M,148.618M,9.547B,--,-18.85%
NVDA,NVIDIA Corporation,167.03,-4.35,-2.54%,181.149M,200.302M,4.073T,53.88,+39.80%
NIO,NIO Inc.,5.01,+0.49,+10.73%,129.373M,41.343M,10.996B,--,+0.89%
QS,QuantumScape Corporation,13.80,+1.27,+10.18%,101.962M,32.733M,7.71B,--,+55.53%
WBD,"Warner Bros. Discovery, Inc.",12.85,+0.05,+0.39%,88.026M,52.898M,31.792B,--,+48.49%
NOK,Nokia Oyj,4.4630,-0.2870,-6.04%,83.688M,17.519M,24.17B,17.17,+28.03%
OSCR,"Oscar Health, Inc.",14.72,+1.10,+8.08%,79.228M,20.217M,3.749B,36.80,-12.64%
F,Ford Motor Company,11.19,-0.12,-1.11%,74.287M,95.522M,44.478B,8.95,-18.22%
TSLA,"Tesla, Inc.",332.11,+3.62,+1.10%,75.833M,110.475M,1.07T,190.87,+33.33%
CIFR,Cipher Mining Inc.,6.94,+0.69,+11.04%,72.526M,29.459M,2.576B,--,+1.96%
VALE,Vale S.A.,10.36,+0.23,+2.32%,70.419M,36.776M,44.246B,7.51,-5.94%
WULF,TeraWulf Inc.,5.26,+0.27,+5.41%,69.273M,46.374M,2.049B,--,-9.60%
SOFI,"SoFi Technologies, Inc.",20.98,-0.18,-0.85%,62.534M,69.07M,23.19B,48.79,+184.79%
RIOT,"Riot Platforms, Inc.",14.27,+0.25,+1.78%,54.843M,38.678M,5.098B,--,+20.97%
AAL,American Airlines Group Inc.,12.50,+0.18,+1.46%,53.933M,60.323M,8.244B,12.50,+17.56%
CLF,Cleveland-Cliffs Inc.,11.31,+0.65,+6.10%,50.167M,32.658M,5.595B,--,-32.87%
ACHR,Archer Aviation Inc.,10.99,-0.86,-7.27%,49.921M,38.877M,6.033B,--,+159.87%
GRAB,Grab Holdings Limited,5.47,+0.12,+2.24%,50.812M,36.937M,22.558B,547.00,+58.28%
INTC,Intel Corporation,23.24,-0.02,-0.09%,52.56M,79.437M,101.373B,--,-29.41%
RKT,"Rocket Companies, Inc.",16.01,+0.97,+6.45%,47.151M,13.722M,33.792B,--,-0.73%
PLTR,Palantir Technologies Inc.,149.07,-2.72,-1.79%,48.608M,86.591M,351.792B,648.13,+426.87%
AMD,"Advanced Micro Devices, Inc.",154.72,-2.28,-1.45%,47.887M,46.737M,250.863B,112.93,+1.95%
JOBY,"Joby Aviation, Inc.",16.59,-0.25,-1.45%,43.204M,26.989M,13.965B,--,+152.10%
PFE,Pfizer Inc.,25.12,+0.86,+3.54%,43.246M,42.731M,142.816B,18.20,-17.76%
RIVN,"Rivian Automotive, Inc.",14.12,+0.42,+3.07%,44.492M,31.01M,16.915B,--,-21.71%
HBAN,Huntington Bancshares Incorporated,16.66,-0.15,-0.92%,45.22M,26.958M,24.414B,12.43,+11.55%
HOOD,"Robinhood Markets, Inc.",101.85,-2.49,-2.39%,43.972M,45.077M,89.875B,58.20,+356.23%
