Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,156.91,+3.61,+2.35%,71.555M,248.473M,3.827T,50.62,+19.50%
INTC,Intel Corporation,21.99,-0.86,-3.76%,66.124M,92.295M,95.92B,--,-26.83%
TSLA,"Tesla, Inc.",316.52,+15.81,+5.26%,65.462M,120.786M,1.019T,181.91,+22.05%
SOUN,"SoundHound AI, Inc.",10.90,+0.43,+4.06%,27.393M,30.965M,4.381B,--,+166.67%
LCID,"Lucid Group, Inc.",2.0500,+0.0200,+0.99%,60.647M,129.329M,6.253B,--,-31.19%
HOOD,"Robinhood Markets, Inc.",98.79,+6.46,+7.00%,54.302M,44.515M,87.179B,56.45,+303.36%
F,Ford Motor Company,11.60,+0.25,+2.20%,52.267M,115.327M,46.128B,9.28,-11.81%
CNC,Centene Corporation,35.19,-21.46,-37.87%,47.477M,5.217M,17.513B,5.19,-15.14%
VALE,Vale S.A.,10.24,+0.42,+4.32%,43.992M,36.537M,43.732B,7.42,-15.42%
OSCR,"Oscar Health, Inc.",17.52,-2.93,-14.30%,39.825M,11.932M,4.463B,43.81,+19.80%
AAPL,Apple Inc.,212.56,+4.74,+2.28%,31.489M,64.082M,3.175T,33.11,-6.20%
MARA,"MARA Holdings, Inc.",17.12,+1.42,+9.02%,29.765M,44.062M,6.023B,--,-25.17%
CLF,Cleveland-Cliffs Inc.,8.53,+0.41,+5.11%,18.067M,31.214M,4.222B,--,-49.09%
QBTS,D-Wave Quantum Inc.,15.06,+0.24,+1.65%,28.052M,65.91M,4.707B,--,"+1,247.27%"
PLTR,Palantir Technologies Inc.,132.08,+1.40,+1.07%,26.485M,99.819M,311.697B,550.33,+405.53%
RGTI,"Rigetti Computing, Inc.",12.17,+0.84,+7.40%,26.423M,48.265M,3.927B,--,"+1,080.21%"
SOFI,"SoFi Technologies, Inc.",18.06,+0.42,+2.35%,24.802M,67.46M,19.957B,41.99,+170.55%
AZEK,The AZEK Company Inc.,54.35,-0.51,-0.93%,26.82M,4.022M,7.818B,52.77,+33.67%
SNAP,Snap Inc.,9.53,+0.18,+1.98%,21.263M,39.509M,15.935B,--,-40.63%
GRAB,Grab Holdings Limited,5.06,+0.13,+2.70%,21.207M,37.985M,20.881B,506.33,+39.27%
NU,Nu Holdings Ltd.,13.58,-0.06,-0.42%,19.262M,62.369M,65.531B,30.87,+9.73%
NKE,"NIKE, Inc.",75.26,+1.85,+2.52%,19.15M,21.427M,111.083B,34.84,-2.43%
PSLV,Sprott Physical Silver Trust,12.39,+0.15,+1.22%,13.777M,37.043M,6.528B,4.08,+18.15%
CLSK,"CleanSpark, Inc.",12.16,+1.09,+9.79%,18.572M,26.866M,3.418B,--,-31.39%
RIOT,"Riot Platforms, Inc.",12.05,+0.78,+6.92%,18.495M,34.999M,4.305B,--,+17.76%
RIVN,"Rivian Automotive, Inc.",13.19,-0.28,-2.04%,18.147M,30.576M,15.127B,--,-8.05%
QUBT,Quantum Computing Inc.,18.82,+0.18,+0.94%,17.41M,26.041M,2.915B,--,"+3,591.09%"
LYG,Lloyds Banking Group plc,4.0350,-0.1950,-4.61%,16.834M,25.497M,60.425B,11.87,+49.47%
