Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
PROK,ProKidney Corp.,3.6200,+3.0135,+496.87%,292.218M,1.137M,10.814B,--,-75.72%
LCID,"Lucid Group, Inc.",2.3400,+0.2300,+10.87%,158.918M,128.196M,7.138B,--,-31.72%
SOUN,"SoundHound AI, Inc.",13.05,+1.66,+14.63%,98.584M,31.542M,5.241B,--,+174.88%
NVDA,NVIDIA Corporation,159.59,+1.35,+0.85%,92.151M,227.563M,3.892T,51.48,+20.44%
SOFI,"SoFi Technologies, Inc.",20.00,+0.76,+3.95%,90.327M,66.401M,22.107B,46.51,+201.57%
INTC,Intel Corporation,23.68,+1.68,+7.65%,82.397M,86.428M,103.301B,--,-36.40%
TSLA,"Tesla, Inc.",302.71,+8.77,+2.98%,66.963M,116.733M,975.009B,171.99,+12.05%
BAC,Bank of America Corporation,47.33,-1.33,-2.72%,59.528M,43.633M,356.522B,14.13,+17.48%
NU,Nu Holdings Ltd.,13.56,+0.20,+1.46%,57.509M,60.076M,65.395B,30.81,+1.60%
QS,QuantumScape Corporation,8.37,+1.36,+19.40%,54.631M,20.671M,4.678B,--,+32.26%
F,Ford Motor Company,11.73,+0.14,+1.25%,50.096M,106.991M,46.665B,9.39,-10.16%
WBD,"Warner Bros. Discovery, Inc.",11.26,+0.23,+2.13%,47.232M,46.966M,27.846B,--,+50.14%
HOOD,"Robinhood Markets, Inc.",92.57,-0.89,-0.95%,47.094M,44.122M,81.686B,52.90,+313.54%
PLTR,Palantir Technologies Inc.,139.22,+0.10,+0.07%,45.785M,95.282M,328.546B,580.08,+407.92%
RXRX,"Recursion Pharmaceuticals, Inc.",5.51,+0.58,+11.84%,39.089M,25.813M,2.241B,--,-33.74%
AAL,American Airlines Group Inc.,11.68,+0.09,+0.73%,38.673M,59.671M,7.7B,11.68,+5.56%
VALE,Vale S.A.,10.10,+0.16,+1.66%,34.711M,35.437M,44.26B,7.32,-14.01%
BTG,B2Gold Corp.,3.5450,-0.1350,-3.67%,36.513M,52.388M,4.697B,--,+31.90%
RIG,Transocean Ltd.,2.9450,+0.2350,+8.67%,34.077M,42.116M,2.601B,--,-45.91%
PFE,Pfizer Inc.,25.58,+0.34,+1.34%,33.774M,44.966M,145.421B,18.53,-8.95%
NIO,NIO Inc.,3.5098,+0.0998,+2.93%,32.063M,35.486M,7.878B,--,-24.22%
STLA,Stellantis N.V.,10.14,+0.34,+3.43%,31.184M,17.173M,30.152B,4.67,-49.61%
AMZN,"Amazon.com, Inc.",220.68,-2.79,-1.25%,30.147M,45.774M,2.343T,35.88,+12.10%
FCX,Freeport-McMoRan Inc.,47.23,+2.10,+4.65%,29.097M,13.587M,67.832B,38.71,-11.16%
OSCR,"Oscar Health, Inc.",16.43,-0.38,-2.26%,28.961M,14.102M,4.184B,41.07,+6.73%
CIFR,Cipher Mining Inc.,6.22,+0.43,+7.34%,28.88M,25.269M,2.307B,--,+32.49%
CORZ,"Core Scientific, Inc.",14.43,-0.40,-2.73%,28.38M,15.604M,4.296B,--,+55.13%
RGTI,"Rigetti Computing, Inc.",13.64,-0.11,-0.80%,28.079M,48.962M,4.402B,--,"+1,222.12%"
QBTS,D-Wave Quantum Inc.,16.53,-0.23,-1.37%,27.759M,66.72M,5.165B,--,"+1,396.43%"
AMD,"Advanced Micro Devices, Inc.",138.66,+3.86,+2.86%,26.246M,46.359M,224.823B,101.21,-23.88%
HL,Hecla Mining Company,5.64,-0.52,-8.52%,26.131M,22.179M,3.564B,46.96,+16.89%
ACHR,Archer Aviation Inc.,10.39,+0.37,+3.69%,25.242M,34.355M,5.704B,--,+134.11%
RUN,Sunrun Inc.,9.99,-1.11,-10.03%,25.25M,23.001M,2.284B,--,-15.90%
AAPL,Apple Inc.,210.07,+0.12,+0.06%,25.117M,59.191M,3.138T,32.72,-8.19%
GOOGL,Alphabet Inc.,173.91,-2.88,-1.63%,24.883M,40.991M,2.115T,19.41,-6.45%
CNH,CNH Industrial N.V.,13.81,+0.34,+2.54%,24.318M,18.421M,17.257B,17.26,+42.24%
AZEK,The AZEK Company Inc.,54.35,-0.51,-0.93%,26.82M,3.828M,7.818B,52.77,+30.59%
MARA,"MARA Holdings, Inc.",17.52,+0.77,+4.59%,23.716M,44.892M,6.165B,--,-11.98%
GRAB,Grab Holdings Limited,4.8450,-0.1250,-2.51%,23.456M,35.428M,19.981B,484.50,+38.83%
ABEV,Ambev S.A.,2.4150,+0.0250,+1.05%,22.611M,32.458M,39.418B,14.21,+14.90%
JOBY,"Joby Aviation, Inc.",11.68,+1.02,+9.55%,22.643M,21.284M,9.827B,--,+108.61%
IREN,IREN Limited,17.48,+0.53,+3.13%,22.223M,19.285M,4.228B,--,+32.22%
