Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,183.53,+6.93 +3.93% 161.75M 174.392M 4.468T 52.14 +51.96%,86.62,184.55
SNAP,Snap Inc.,8.49,+0.33 +3.98% 149.72M 63.917M 14.338B -- -20.00%,6.90,13.28
OPEN,Opendoor Technologies Inc.,8.95,-0.62 -6.48% 144.473M 325.51M 6.587B -- +371.43%,0.51,10.87
PLUG,Plug Power Inc.,2.4250,+0.2450 +11.24% 124.946M 66.897M 2.8B -- +9.00%,0.69,3.32
INTC,Intel Corporation,29.27,-0.31 -1.05% 79.286M 105.321M 136.692B -- +31.12%,17.67,32.38
NIO,NIO Inc.,6.88,-0.49 -6.65% 78.218M 76.701M 17.346B -- +38.53%,3.02,7.71
BBAI,"BigBear.ai Holdings, Inc.",6.80,-0.05 -0.80% 77.856M 118.13M 2.519B -- +339.10%,1.36,10.36
AAPL,Apple Inc.,254.05,+8.55 +3.48% 67.167M 56.212M 3.77T 38.61 +8.40%,169.21,260.10
RGTI,"Rigetti Computing, Inc.",28.32,"-0.20 -0.72% 65.987M 45.579M 9.179B -- +3,628.10%",0.71,29.59
DNN,Denison Mines Corp.,2.7650,+0.0950 +3.56% 65.71M 75.456M 2.497B -- +50.85%,1.08,2.77
TSLA,"Tesla, Inc.",432.86,+6.79 +1.59% 64.818M 91.739M 1.439T 260.76 +70.43%,212.11,488.54
AAL,American Airlines Group Inc.,12.12,-0.33 -2.62% 57.373M 70.51M 8B 14.43 +13.39%,8.50,19.10
QUBT,Quantum Computing Inc.,19.80,"-3.47 -14.91% 53.557M 20.525M 3.166B -- +3,317.03%",0.64,27.15
QBTS,D-Wave Quantum Inc.,25.70,"-1.17 -4.37% 51.008M 43.449M 8.792B -- +2,886.67%",0.87,27.33
GRAB,Grab Holdings Limited,6.49,+0.11 +1.64% 51.021M 41.118M 26.477B 324.75 +75.07%,3.36,6.53
BMNR,"Bitmine Immersion Technologies, Inc.",55.34,-5.95 -9.72% 47.559M 44.034M 9.601B -- +690.84%,3.92,161.00
MARA,"MARA Holdings, Inc.",17.89,-0.40 -2.20% 45.348M 51.495M 6.627B 9.62 +13.81%,9.81,30.28
PFE,Pfizer Inc.,24.24,+0.20 +0.85% 43.249M 42.27M 137.789B 12.82 -18.01%,20.92,30.43
SOUN,"SoundHound AI, Inc.",16.55,+0.30 +1.82% 42.188M 56.684M 6.745B -- +232.99%,4.45,24.98
SOFI,"SoFi Technologies, Inc.",30.13,+0.62 +2.10% 41.892M 72.414M 36.079B 60.26 +272.60%,7.57,30.26
KVUE,Kenvue Inc.,17.34,-1.00 -5.43% 40.588M 21.616M 33.286B 23.13 -20.33%,16.89,25.17
BTG,B2Gold Corp.,4.7699,+0.2799 +6.23% 40.11M 38.543M 6.328B -- +38.58%,2.20,4.77
QS,QuantumScape Corporation,13.59,+0.17 +1.27% 37.255M 48.745M 7.692B -- +135.44%,3.40,15.03
PSLV,Sprott Physical Silver Trust,14.78,+0.32 +2.25% 36.785M 26.589M 8.204B 6.48 +39.71%,9.60,14.81
ONDS,Ondas Holdings Inc.,7.14,+0.42 +6.18% 36.311M 35.839M 2.333B -- +813.04%,0.57,7.36
IREN,IREN Limited,41.67,+3.03 +7.84% 35.86M 29.921M 11.333B 106.85 +387.26%,5.13,42.93
BBD,Banco Bradesco S.A.,3.2964,-0.0336 -1.01% 35.315M 35.097M 31.803B 9.42 +29.57%,1.84,3.34
RIVN,"Rivian Automotive, Inc.",14.82,+0.44 +3.09% 34.747M 41.075M 17.989B -- +20.74%,9.50,17.15
AMD,"Advanced Micro Devices, Inc.",161.64,+4.25 +2.70% 32.116M 55.999M 262.309B 96.79 +0.41%,76.48,186.65
B,Barrick Mining Corporation,35.31,+2.32 +7.05% 31.745M 15.153M 60.31B 22.21 +63.24%,15.11,35.68
JOBY,"Joby Aviation, Inc.",15.69,-0.89 -5.38% 29.676M 36.663M 13.429B -- +223.83%,4.78,20.95
PLTR,Palantir Technologies Inc.,179.75,-2.64 -1.45% 29.655M 70.11M 426.429B 619.83 +380.61%,36.05,190.00
F,Ford Motor Company,11.61,-0.01 -0.09% 28.813M 66.108M 46.206B 14.88 +6.51%,8.44,11.99
AG,First Majestic Silver Corp.,11.91,+1.29 +12.15% 27.671M 19.719M 5.831B -- +75.54%,5.09,11.97
WBD,"Warner Bros. Discovery, Inc.",19.35,+0.02 +0.13% 27.672M 71.359M 47.919B 62.44 +136.89%,7.25,19.70
ORCL,Oracle Corporation,324.64,+15.98 +5.18% 26.937M 17.972M 922.534B 75.15 +86.00%,118.86,345.72
IONQ,"IonQ, Inc.",71.45,+1.04 +1.48% 26.477M 21.536M 23.082B -- +779.03%,7.50,73.17
CRWV,"CoreWeave, Inc.",133.48,+8.62 +6.90% 26.551M 21.817M 66.086B -- +212.15%,33.52,187.00
NOK,Nokia Oyj,4.7500,+0.0100 +0.21% 26.482M 22.324M 25.551B 25.00 +9.98%,3.91,5.48
OKLO,Oklo Inc.,137.01,"+1.78 +1.31% 26.092M 17.647M 20.223B -- +1,527.32%",7.90,138.82
COMP,"Compass, Inc.",7.86,-1.54 -16.38% 25.482M 7.666M 4.133B -- +51.61%,5.10,10.25
ACHR,Archer Aviation Inc.,9.42,-0.44 -4.43% 24.326M 34.053M 6.078B -- +224.34%,2.82,13.92
RIOT,"Riot Platforms, Inc.",17.41,-0.04 -0.23% 24.12M 40.272M 6.435B -- +138.20%,6.19,18.24
SMCI,"Super Micro Computer, Inc.",48.22,+2.41 +5.27% 22.843M 36.33M 28.658B 28.70 -1.68%,17.25,66.44
APLD,Applied Digital Corporation,23.70,+3.22 +15.70% 22.756M 31.447M 6.209B -- +205.67%,3.31,23.70
RXRX,"Recursion Pharmaceuticals, Inc.",4.9842,+0.0742 +1.51% 22.11M 24.29M 2.176B -- -26.39%,3.79,12.36
LUMN,"Lumen Technologies, Inc.",6.34,+0.63 +11.12% 21.79M 13.876M 6.511B -- -21.57%,3.01,10.33
AMZN,"Amazon.com, Inc.",228.57,-2.91 -1.26% 21.543M 42.568M 2.438T 34.90 +19.39%,161.38,242.52
NU,Nu Holdings Ltd.,16.15,-0.02 -0.12% 21.648M 61.586M 78.043B 34.36 +10.07%,9.01,16.35
RKT,"Rocket Companies, Inc.",19.93,-0.58 -2.83% 21.314M 21.52M 42.066B -- +7.05%,10.06,22.56
CIFR,Cipher Mining Inc.,12.73,+0.45 +3.66% 21.29M 36.406M 5.006B -- +310.70%,1.86,12.86
CLSK,"CleanSpark, Inc.",13.26,-0.36 -2.68% 21.229M 24.021M 3.726B 15.41 +48.53%,6.45,17.97
WULF,TeraWulf Inc.,11.33,+0.35 +3.17% 21.067M 53.594M 4.621B -- +124.54%,2.06,11.63
HL,Hecla Mining Company,11.24,+0.28 +2.55% 20.902M 25.106M 7.531B 70.25 +66.31%,4.46,11.90
EOSE,"Eos Energy Enterprises, Inc.",10.23,+0.47 +4.82% 20.609M 14.403M 2.856B -- +295.14%,2.06,10.48
ASST,"Strive, Inc.",3.8300,-0.4700 -10.93% 19.222M 6.991M 2.433B -- +200.70%,0.34,13.42
HOOD,"Robinhood Markets, Inc.",124.24,-0.54 -0.43% 18.801M 48.288M 110.409B 63.07 +449.69%,22.05,125.18
PATH,UiPath Inc.,13.05,+1.18 +9.90% 18.166M 11.806M 6.927B 434.83 -8.06%,9.38,15.93
VALE,Vale S.A.,10.90,+0.04 +0.32% 17.784M 38.776M 46.508B 8.93 +4.42%,8.06,12.05
ITUB,Itaú Unibanco Holding S.A.,7.22,-0.11 -1.43% 17.516M 29.122M 72.455B 9.63 +24.24%,4.42,7.38
UBER,"Uber Technologies, Inc.",100.80,+2.29 +2.32% 17.215M 18.457M 210.203B 17.17 +31.86%,59.33,101.99
GOOGL,Alphabet Inc.,251.12,-3.60 -1.41% 17.108M 38.733M 3.04T 26.80 +57.38%,140.53,256.00
SMR,NuScale Power Corporation,45.48,-1.29 -2.75% 17.05M 14.177M 6.09B -- +329.48%,10.40,53.50
FSM,Fortuna Mining Corp.,8.48,+0.32 +3.92% 16.722M 14.342M 2.603B 15.42 +74.36%,4.13,8.64
RKLB,Rocket Lab Corporation,49.81,+2.02 +4.24% 16.484M 23.244M 24.109B -- +532.14%,7.28,55.17
NBIS,Nebius Group N.V.,106.35,+7.04 +7.08% 16.406M 14.848M 26.535B 118.16 +396.55%,14.09,106.45
AGNC,AGNC Investment Corp.,9.83,-0.14 -1.41% 16.256M 20.104M 10.354B 32.77 -3.67%,7.85,10.63
SBET,"SharpLink Gaming, Inc.",16.33,-1.00 -5.80% 15.148M 40.75M 3.137B -- +74.00%,2.28,124.12
CVE,Cenovus Energy Inc.,17.11,+0.12 +0.73% 14.889M 13.929M 30.801B 16.46 -1.16%,10.23,18.61
EXK,Endeavour Silver Corp.,7.74,+0.98 +14.57% 14.834M 11.184M 2.247B -- +86.23%,2.95,7.76
MU,"Micron Technology, Inc.",166.47,+3.74 +2.30% 14.613M 22.589M 186.301B 29.99 +73.91%,61.54,170.45
