Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
RGTI,"Rigetti Computing, Inc.",16.48,+3.76,+29.56%,166.282M,48.888M,5.319B,--,+987.18%
NVDA,NVIDIA Corporation,170.94,+0.24,+0.14%,124.136M,207.49M,4.169T,54.97,+44.67%
NU,Nu Holdings Ltd.,13.72,+0.18,+1.29%,84.358M,63.18M,66.167B,31.17,+2.42%
F,Ford Motor Company,11.28,-0.29,-2.48%,79.932M,97.648M,44.869B,9.03,-20.10%
WBD,"Warner Bros. Discovery, Inc.",12.63,+0.60,+4.99%,78.683M,48.604M,31.248B,--,+44.59%
TSLA,"Tesla, Inc.",320.53,+9.75,+3.14%,77.655M,111.667M,1.032T,184.21,+25.06%
QS,QuantumScape Corporation,11.16,+0.31,+2.86%,68.086M,25.776M,6.238B,--,+21.64%
JOBY,"Joby Aviation, Inc.",16.06,+2.11,+15.10%,67.741M,23.046M,13.511B,--,+97.59%
LCID,"Lucid Group, Inc.",2.2550,-0.0750,-3.22%,59.091M,128.47M,6.878B,--,-38.52%
NIO,NIO Inc.,4.0922,-0.1578,-3.71%,58.443M,38.148M,9.256B,--,-7.41%
AAL,American Airlines Group Inc.,12.26,+0.09,+0.70%,56.076M,59.639M,8.082B,12.26,+10.54%
ABEV,Ambev S.A.,2.4150,+0.0650,+2.77%,48.368M,32.957M,38.198B,15.09,+7.80%
BAC,Bank of America Corporation,45.94,-0.22,-0.47%,47.982M,40.336M,345.977B,13.71,+4.93%
SOFI,"SoFi Technologies, Inc.",21.33,+0.37,+1.77%,47.549M,69.153M,23.577B,49.60,+167.35%
PLTR,Palantir Technologies Inc.,150.96,+2.38,+1.60%,47.401M,88.877M,356.252B,686.18,+426.51%
ACHR,Archer Aviation Inc.,11.91,+0.65,+5.77%,46.722M,36.112M,6.539B,--,+122.09%
HOOD,"Robinhood Markets, Inc.",103.80,+4.26,+4.28%,45.429M,43.777M,91.596B,59.31,+311.66%
WULF,TeraWulf Inc.,5.24,+0.37,+7.60%,42.971M,46.033M,2.041B,--,-17.46%
INTC,Intel Corporation,22.50,-0.42,-1.81%,42.064M,80.946M,98.167B,--,-33.49%
QBTS,D-Wave Quantum Inc.,16.52,+0.37,+2.29%,41.286M,66.807M,5.162B,--,"+1,304.35%"
MARA,"MARA Holdings, Inc.",19.62,+0.86,+4.59%,41.118M,46.35M,6.905B,--,-26.58%
AMD,"Advanced Micro Devices, Inc.",157.35,+1.74,+1.12%,39.696M,45.945M,255.127B,114.85,-2.40%
CIFR,Cipher Mining Inc.,6.22,+0.25,+4.19%,37.811M,28.389M,2.309B,--,-11.95%
VALE,Vale S.A.,9.80,+0.11,+1.14%,37.269M,35.542M,42.871B,7.10,-13.56%
