Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,156.50,-1.25,-0.79%,25.598M,249.8M,3.817T,50.32,+26.91%
PLTR,Palantir Technologies Inc.,136.32,+5.58,+4.27%,19.471M,99.718M,321.703B,568.00,+405.18%
SOFI,"SoFi Technologies, Inc.",18.12,+0.94,+5.50%,16.198M,65.154M,20.035B,42.15,+167.19%
QS,QuantumScape Corporation,6.70,+0.08,+1.24%,12.35M,18.733M,3.746B,--,+35.93%
TSLA,"Tesla, Inc.",321.00,-2.79,-0.86%,11.747M,123.22M,1.034T,183.43,+54.21%
HPE,Hewlett Packard Enterprise Company,20.40,+1.98,+10.75%,11.287M,19.744M,26.769B,19.62,-13.00%
JOBY,"Joby Aviation, Inc.",10.71,+1.26,+13.33%,11.773M,19.378M,9.012B,--,+93.84%
LCID,"Lucid Group, Inc.",2.1450,+0.0250,+1.18%,10.595M,127.438M,6.543B,--,-19.70%
CSCO,"Cisco Systems, Inc.",69.24,+0.59,+0.86%,9.022M,22.6M,274.19B,28.26,+44.47%
GOOGL,Alphabet Inc.,177.99,-0.54,-0.30%,8.834M,42.316M,2.158T,19.86,-2.44%
HOOD,"Robinhood Markets, Inc.",87.10,+4.07,+4.90%,8.778M,42.274M,76.856B,49.77,+264.33%
JNPR,"Juniper Networks, Inc.",39.90,+3.08,+8.36%,8.624M,2.503M,13.344B,38.00,+0.19%
INTC,Intel Corporation,22.43,-0.26,-1.15%,8.242M,91.331M,97.84B,--,-26.43%
SOUN,"SoundHound AI, Inc.",10.21,+0.38,+3.91%,7.766M,29.932M,4.103B,--,+152.70%
ACHR,Archer Aviation Inc.,10.92,+0.44,+4.20%,7.857M,33.082M,5.995B,--,+206.14%
AMZN,"Amazon.com, Inc.",221.35,-1.95,-0.87%,8.232M,50.409M,2.35T,36.05,+13.24%
AMD,"Advanced Micro Devices, Inc.",141.74,-2.07,-1.44%,7.88M,46.935M,229.809B,103.46,-8.80%
ORCL,Oracle Corporation,220.34,+10.05,+4.78%,7.088M,11.938M,618.884B,50.89,+46.93%
IREN,IREN Limited,14.36,+0.36,+2.57%,6.612M,17.061M,3.473B,--,+10.94%
HIMS,"Hims & Hers Health, Inc.",49.18,-0.25,-0.51%,6.527M,45.573M,11.024B,72.43,+130.67%
GOOG,Alphabet Inc.,178.59,+0.32,+0.18%,6.523M,28.038M,2.169T,19.91,-3.37%
IONQ,"IonQ, Inc.",42.20,+1.98,+4.92%,5.74M,21.907M,11.041B,--,+488.45%
RGTI,"Rigetti Computing, Inc.",11.28,+0.21,+1.89%,5.854M,48.03M,3.64B,--,"+1,008.11%"
QBTS,D-Wave Quantum Inc.,13.93,-0.11,-0.80%,5.66M,65.347M,4.352B,--,"+1,198.15%"
SMCI,"Super Micro Computer, Inc.",49.09,+1.51,+3.18%,6.014M,48.258M,29.31B,26.69,-41.43%
GRAB,Grab Holdings Limited,5.03,+0.11,+2.23%,6.406M,37.254M,20.723B,502.50,+39.38%
