Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
LCID,"Lucid Group, Inc.",3.0850,-0.0450,-1.44%,122.946M,150.793M,9.41B,--,-4.57%
NIO,NIO Inc.,4.9789,-0.0311,-0.62%,87.851M,42.75M,10.443B,--,+16.51%
NVDA,NVIDIA Corporation,169.07,+2.04,+1.22%,82.642M,199.403M,4.123T,54.36,+46.20%
MARA,"MARA Holdings, Inc.",17.70,-2.18,-10.95%,62.328M,46.384M,6.23B,--,-3.82%
WBD,"Warner Bros. Discovery, Inc.",13.20,+0.35,+2.72%,50.98M,53.429M,32.657B,--,+51.71%
QS,QuantumScape Corporation,12.61,-1.19,-8.59%,46.588M,34.23M,7.051B,--,+84.99%
F,Ford Motor Company,11.44,+0.26,+2.28%,46.635M,94.221M,45.512B,9.16,-18.14%
HIMS,"Hims & Hers Health, Inc.",56.65,+6.64,+13.28%,44.795M,46.957M,12.68B,83.31,+122.17%
RIOT,"Riot Platforms, Inc.",14.24,-0.03,-0.18%,44.53M,38.925M,5.089B,--,+26.06%
RKT,"Rocket Companies, Inc.",16.38,+0.38,+2.37%,42.982M,14.337M,34.573B,--,+9.07%
QBTS,D-Wave Quantum Inc.,19.11,+1.52,+8.67%,42.679M,69.716M,5.973B,--,"+1,694.90%"
AAL,American Airlines Group Inc.,12.70,+0.20,+1.64%,41.045M,59.541M,8.379B,12.70,+22.91%
STLA,Stellantis N.V.,10.26,+0.99,+10.68%,39.06M,17.748M,29.877B,--,-52.70%
TSLA,"Tesla, Inc.",332.82,+0.71,+0.21%,38.646M,109.275M,1.072T,189.10,+53.76%
VALE,Vale S.A.,10.39,+0.02,+0.14%,37.053M,37.493M,44.331B,7.53,-2.81%
INTC,Intel Corporation,23.41,+0.17,+0.71%,36.857M,78.722M,102.093B,--,-26.69%
T,AT&T Inc.,27.40,-0.02,-0.07%,34.654M,31.769M,197.3B,16.81,+43.11%
PSLV,Sprott Physical Silver Trust,13.27,-0.05,-0.34%,34.23M,29.975M,6.989B,4.36,+34.17%
NU,Nu Holdings Ltd.,12.95,+0.16,+1.29%,28.53M,66.11M,62.5B,29.44,+1.99%
RXRX,"Recursion Pharmaceuticals, Inc.",6.34,-0.20,-3.06%,27.521M,27.428M,2.749B,--,-16.26%
SOFI,"SoFi Technologies, Inc.",21.45,+0.47,+2.24%,26.215M,69.189M,23.71B,49.88,+195.49%
OSCR,"Oscar Health, Inc.",14.94,+0.24,+1.60%,25.393M,21.519M,3.804B,37.34,-7.55%
NOK,Nokia Oyj,4.4850,+0.0250,+0.56%,24.969M,18.49M,26.03B,17.25,+21.53%
AMD,"Advanced Micro Devices, Inc.",158.32,+3.60,+2.32%,24.466M,46.866M,256.692B,114.72,+6.98%
CIFR,Cipher Mining Inc.,6.56,-0.38,-5.50%,24.038M,30.38M,2.434B,--,+21.33%
